n,positions_per_day,total_return_fixed,total_return_dynamic,final_equity_fixed,final_equity_dynamic,sharpe,max_dd,win_rate,profit_factor,avg_win,avg_loss,avg_return,stop_rate,total_positions,trading_days
1,1.9969325153374233,204.5249987428319,2665.7694850198554,3045.2499874283194,27657.694850198553,4.964562366986609,-2.1754323560718607,17.20430107526882,3.164587002080795,8.899162046242395,-0.5843342363074389,1.0472350166043602,81.72043010752688,1953,978
2,3.9937434827945775,357.8492157940944,33166.78446290817,4578.492157940944,332667.84462908166,6.777620376556192,-2.1341768563362162,18.198433420365532,2.9638039007441916,7.748517864650456,-0.5816229791638756,0.9343321561203511,80.36553524804178,3830,959
3,5.990526315789474,532.8395257695937,564581.2403728254,6328.395257695937,5646812.403728254,8.418261797851471,-1.847024954841461,18.994904234756632,2.993941247544462,7.401191736781971,-0.5796731040705817,0.9362845295547231,79.24793533649623,5691,950
5,9.985263157894737,795.9458174526962,37589033.726506256,8959.458174526962,375891337.2650626,9.665026304117758,-1.1046980381214138,19.36538056082648,2.8020983295467077,6.737196831983061,-0.5774313512649952,0.839074233030459,78.48408180476491,9486,950
7,13.98,1026.727332080394,1439882803.9716613,11267.273320803939,14398829039.716614,10.433545855097046,-1.379243855840366,19.606957307431667,2.6673244998049244,6.307683094343955,-0.5767475374044867,0.7730798374221786,78.10405842933514,13281,950
10,19.972251867662752,1351.7368107848172,222095867273.58398,14517.368107848173,2220958673735.84,10.990235607857619,-1.9037229704338723,19.76060703216843,2.5615989364809053,5.99607233816424,-0.5764589370460302,0.7223131403146397,77.8775248477076,18714,937
15,29.955223880597014,1759.6830821368467,96242363349762.81,18596.83082136847,962423633498628.0,11.210967411551819,-2.2590349056387273,19.500977348510983,2.455224023832465,5.8351043260546325,-0.5757358467646284,0.6744406431860979,78.00007665478518,26091,871
20,39.93897882938979,2212.1746655168945,6.488042343962633e+16,23121.746655168943,6.488042343962643e+17,11.546050759003716,-2.6628072174946937,19.328988806086496,2.4841585618782633,5.973058789135148,-0.5761149033194122,0.6897741465862913,78.25449783293318,32071,803
30,59.90407358738502,2969.968264125659,1.603481730689714e+21,30699.68264125659,1.603481730689714e+22,11.110777389048378,-1.8048837874119434,19.56259459933753,2.4015323674720586,5.7064977851686365,-0.5778958959032781,0.6514945629512054,78.31399302432712,45587,761
50,99.79385171790236,3517.7382176858364,1.0932625615970574e+23,36177.382176858366,1.0932625615970574e+24,10.315696368407558,-11.39082608369386,19.760446490051827,2.3697061114725324,5.580909013870346,-0.5799875933108498,0.6374330840586089,78.46011669626355,55186,553
