evidence_set,candidate,metric,value
overlap,fixed_1.5,windows_evaluated,33
overlap,fixed_1.5,window_pass_rate_pct,60.60606060606061
overlap,fixed_1.5,test_positive_ratio_pct,96.96969696969695
overlap,fixed_1.5,median_test_return_pct,35.95042550752496
overlap,fixed_1.5,median_test_sharpe,6.23364139572239
overlap,fixed_1.5,median_test_max_drawdown_pct,-4.51205017850407
overlap,fixed_1.5,median_test_cvar5_pct,-1.520393619614921
overlap,fixed_1.5,test_return_iqr_pct,14.870242369604632
overlap,fixed_1.5,median_generalization_gap_abs_pct,75.37534812013334
overlap,fixed_1.5,objective_score,0.4016137923785479
overlap,fixed_1.5,selected_by_objective,False
overlap,fixed_1.5,in_robust_band,False
overlap,fixed_1.5,window_dist_window_count,33.0
overlap,fixed_1.5,window_dist_positive_window_ratio_pct,96.96969696969697
overlap,fixed_1.5,window_dist_median_test_return_pct,35.95042550752496
overlap,fixed_1.5,window_dist_mean_test_return_pct,38.01897573910362
overlap,fixed_1.5,window_dist_worst_test_return_pct,-3.2849572262094062
overlap,fixed_1.68,windows_evaluated,33
overlap,fixed_1.68,window_pass_rate_pct,81.81818181818183
overlap,fixed_1.68,test_positive_ratio_pct,96.96969696969695
overlap,fixed_1.68,median_test_return_pct,36.72563727613676
overlap,fixed_1.68,median_test_sharpe,5.823486650538456
overlap,fixed_1.68,median_test_max_drawdown_pct,-4.493024182692299
overlap,fixed_1.68,median_test_cvar5_pct,-1.6135673859036026
overlap,fixed_1.68,test_return_iqr_pct,12.430815902986936
overlap,fixed_1.68,median_generalization_gap_abs_pct,73.15200941323732
overlap,fixed_1.68,objective_score,0.7684025097789746
overlap,fixed_1.68,selected_by_objective,True
overlap,fixed_1.68,in_robust_band,True
overlap,fixed_1.68,window_dist_window_count,33.0
overlap,fixed_1.68,window_dist_positive_window_ratio_pct,96.96969696969697
overlap,fixed_1.68,window_dist_median_test_return_pct,36.72563727613676
overlap,fixed_1.68,window_dist_mean_test_return_pct,37.55023313233118
