signal_date,trade_date,top_coins,bottom_coins,short_return,long_return,combined_return,cum_short_return,cum_long_return,cum_combined_return,short_equity,long_equity,combined_equity
2023-05-12,2023-05-13,"['OP', 'ARB', 'DYDX']","['BTC', 'LTC', 'BNB']",-0.07149051871963019,-0.02369839395316801,-0.0475944563363991,0.9992850948128037,0.9997630160604684,0.999524055436636,99928.50948128037,99976.30160604684,99952.4055436636
2023-05-13,2023-05-14,"['DYDX', 'BNB', 'ARB']","['AVAX', 'ATOM', 'OP']",-0.9255753898320007,0.5944458342182601,-0.1655647778068703,0.990035957900957,1.0057060656614947,0.9978691956551261,99003.5957900957,100570.60656614946,99786.91956551261
2023-05-14,2023-05-15,"['SUI', 'LTC', 'DYDX']","['ETH', 'BNB', 'DOGE']",-5.164137021676218,1.0418108704683589,-2.06116307560393,0.9389091444710869,1.0161836207785158,0.9773014842514567,93890.91444710869,101618.36207785158,97730.14842514567
2023-05-15,2023-05-16,"['INJ', 'SUI', 'DYDX']","['CRV', 'ATOM', 'BNB']",2.105969553878928,0.3336717793758696,1.2198206666273987,0.9586822851922332,1.0195743387476934,0.9892228097316123,95868.22851922332,101957.43387476934,98922.28097316122
2023-05-16,2023-05-17,"['LDO', 'LTC', 'APE']","['INJ', 'SUI', 'SOL']",-2.708238123686113,3.640974941595424,0.46636840895465537,0.9327188860596319,1.0566967849324342,0.9938362324103742,93271.88860596319,105669.67849324342,99383.62324103742
2023-05-17,2023-05-18,"['OP', 'LDO', 'INJ']","['APE', 'CRV', 'ETH']",3.6861380330685236,-0.8949152728294663,1.3956113801195287,0.967100191660289,1.047240244016576,1.0077063239696444,96710.0191660289,104724.0244016576,100770.63239696444
2023-05-18,2023-05-19,"['STX', 'INJ', 'CRV']","['LDO', 'SUI', 'ARB']",-2.7931439977302444,0.8135379168627018,-0.9898030404337712,0.9400876907048921,1.0557599404822962,0.9977320161363495,94008.7690704892,105575.99404822962,99773.20161363496
2023-05-19,2023-05-20,"['INJ', 'LDO', 'STX']","['OP', 'ATOM', 'SUI']",-1.7987799921129755,1.554962409146284,-0.12190879148334577,0.9231775814161756,1.072176610687621,0.9965156930932353,92317.75814161755,107217.6610687621,99651.56930932353
2023-05-20,2023-05-21,"['INJ', 'OP', 'STX']","['LDO', 'LINK', 'SOL']",5.316667643887947,-3.1073521469259013,1.104657748481023,0.9722598651829566,1.038860307756582,1.0075237809118192,97225.98651829566,103886.03077565819,100752.37809118192
2023-05-21,2023-05-22,"['APE', 'CRV', 'LTC']","['INJ', 'SUI', 'STX']",-0.5197272946797837,0.10259534860331081,-0.20856597303823646,0.9672067652883839,1.0399261301108262,1.0054224291345688,96720.67652883839,103992.61301108262,100542.24291345688
2023-05-22,2023-05-23,"['AVAX', 'OP', 'DOGE']","['LDO', 'LTC', 'SUI']",-1.2988940470932093,1.174118657768915,-0.06238769466214711,0.9546437741909702,1.0521360968314717,1.0047951692594157,95464.37741909703,105213.60968314717,100479.51692594157
2023-05-23,2023-05-24,"['ARB', 'DYDX', 'OP']","['STX', 'LINK', 'DOGE']",4.060735310461513,-3.8848054987732255,0.08796490584414363,0.9934093310186655,1.0112626558871847,1.0056790363839814,99340.93310186654,101126.26558871847,100567.90363839814
2023-05-24,2023-05-25,"['LDO', 'ATOM', 'BNB']","['LTC', 'STX', 'SUI']",0.3330499754004901,0.9883656609082895,0.6607078181543897,0.9967178805512493,1.021257628719563,1.01232363640291,99671.78805512493,102125.76287195629,101232.363640291
2023-05-25,2023-05-26,"['LTC', 'OP', 'SUI']","['APE', 'LDO', 'GMX']",-0.05657920856445934,1.2052569237899362,0.5743388576127384,0.996153945462813,1.0335664069994384,1.01813780441157,99615.3945462813,103356.64069994383,101813.78044115701
2023-05-26,2023-05-27,"['SNX', 'ARB', 'GMX']","['OP', 'CFX', 'LDO']",-0.5955760998227514,1.5288140060444657,0.46661895311085716,0.9902210906461951,1.0493677149914165,1.0228886283757412,99022.10906461951,104936.77149914164,102288.86283757412
2023-05-27,2023-05-28,"['SOL', 'CFX', 'DOGE']","['CRV', 'OP', 'LDO']",-0.9683460120056608,2.2838633710547582,0.6577586795245487,0.9806323242048838,1.0733338398617795,1.0296167671107523,98063.23242048838,107333.38398617796,102961.67671107524
2023-05-28,2023-05-29,"['INJ', 'SUI', 'LDO']","['DOGE', 'CRV', 'SOL']",-2.1170083974844953,-0.9700256824218342,-1.5435170399531648,0.9598722555530189,1.0629222259569957,1.013724456864183,95987.22555530189,106292.22259569957,101372.4456864183
2023-05-29,2023-05-30,"['LDO', 'INJ', 'LINK']","['OP', 'CFX', 'FTM']",-0.344654712712041,-1.4395246064264196,-0.8920896595692303,0.95656401058824,1.0476211989671693,1.0046811258079733,95656.401058824,104762.11989671693,100468.11258079733
2023-05-30,2023-05-31,"['DYDX', 'SOL', 'CFX']","['OP', 'SUI', 'CRV']",6.653591398469968,-4.128223070005487,1.2626841642322404,1.0202098713175987,1.0043730589451385,1.0173670752845807,102020.98713175986,100437.30589451385,101736.70752845806
2023-05-31,2023-06-01,"['DOGE', 'BNB', 'APE']","['CFX', 'OP', 'ARB']",1.2152449717911074,-0.17518294939381138,0.520031011198648,1.0326079204805023,1.0026135685975615,1.022657699573785,103260.79204805024,100261.35685975614,102265.7699573785
2023-06-01,2023-06-02,"['LTC', 'INJ', 'OP']","['APE', 'LINK', 'SUI']",-4.051081420165296,2.184952834022069,-0.9330642930716135,0.9907761328707615,1.0245202021789237,1.0131156457387145,99077.61328707615,102452.02021789236,101311.56457387145
2023-06-02,2023-06-03,"['LDO', 'INJ', 'ARB']","['BNB', 'LTC', 'LINK']",-0.0716714952776587,0.499519938110297,0.21392422141631914,0.9900660288014789,1.0296378848587755,1.015282945495908,99006.60288014788,102963.78848587755,101528.2945495908
2023-06-03,2023-06-04,"['OP', 'LTC', 'INJ']","['CFX', 'ARB', 'DYDX']",0.6230452231738903,1.0132048334828985,0.8181250283283944,0.9962345879001939,1.0400702256755359,1.0235892293813598,99623.45879001939,104007.02256755359,102358.92293813598
2023-06-04,2023-06-05,"['APE', 'SOL', 'DYDX']","['INJ', 'LDO', 'LTC']",9.356981935677238,-5.774613067493455,1.7911844340918917,1.0894520783269837,0.9800101945125678,1.04192360032708,108945.20783269836,98001.01945125678,104192.36003270799
2023-06-05,2023-06-06,"['LDO', 'ETH', 'ARB']","['APE', 'SUI', 'CFX']",-5.654887568811636,5.446395554743444,-0.10424600703409581,1.027844788181511,1.0333854261825328,1.0408374365773931,102784.4788181511,103338.54261825328,104083.74365773931
2023-06-06,2023-06-07,"['STX', 'LDO', 'APE']","['BNB', 'ATOM', 'SOL']",3.291344676129023,-7.636827472767261,-2.1727413983191193,1.0616747028961926,0.9544675640562521,1.0182227307036726,106167.47028961926,95446.75640562522,101822.27307036726
2023-06-07,2023-06-08,"['STX', 'LTC', 'ETH']","['SOL', 'OP', 'BNB']",0.9874737034443045,0.19060576486000422,0.5890397341521544,1.0721584614034128,0.9562868342570622,1.0242204671696864,107215.84614034128,95628.68342570621,102422.04671696865
2023-06-08,2023-06-09,"['INJ', 'FTM', 'LINK']","['LDO', 'SUI', 'STX']",0.8645767794029183,0.38046613553141356,0.6225214574671659,1.0814280944991104,0.9599251818199558,1.0305964593495882,108142.80944991103,95992.51818199558,103059.64593495883
2023-06-09,2023-06-10,"['DOGE', 'SUI', 'LTC']","['SOL', 'APE', 'FTM']",13.093597380638158,-13.335800805514786,-0.12110171243831402,1.223025935153931,0.8319114716904709,1.0293483893889872,122302.5935153931,83191.14716904708,102934.83893889873
