date,equity_usd,cash_usd,option_mtm_usd,hedge_units,spot_close,active_cycles
2024-01-02,0.0,0.0,0.0,-0.0,45060.0,0
2024-01-03,0.0,0.0,0.0,-0.0,42806.5,0
2024-01-04,0.0,0.0,0.0,-0.0,43847.0,0
2024-01-05,0.0,0.0,0.0,-0.0,43701.0,0
2024-01-06,0.0,0.0,0.0,-0.0,44107.0,0
2024-01-07,0.0,0.0,0.0,-0.0,43998.0,0
2024-01-08,0.0,0.0,0.0,-0.0,46885.5,0
2024-01-09,0.0,0.0,0.0,-0.0,45781.0,0
2024-01-10,0.0,0.0,0.0,-0.0,46128.0,0
2024-01-11,0.0,0.0,0.0,-0.0,46045.0,0
2024-01-12,0.0,0.0,0.0,-0.0,43076.0,0
2024-01-13,0.0,0.0,0.0,-0.0,42997.5,0
2024-01-14,0.0,0.0,0.0,-0.0,42698.0,0
2024-01-15,0.0,0.0,0.0,-0.0,42750.0,0
2024-01-16,0.0,0.0,0.0,-0.0,42640.5,0
2024-01-17,0.0,0.0,0.0,-0.0,42885.5,0
2024-01-18,0.0,0.0,0.0,-0.0,41231.0,0
2024-01-19,0.0,0.0,0.0,-0.0,41637.5,0
2024-01-20,0.0,0.0,0.0,-0.0,41629.5,0
2024-01-21,0.0,0.0,0.0,-0.0,40992.0,0
2024-01-22,0.0,0.0,0.0,-0.0,39747.5,0
2024-01-23,0.0,0.0,0.0,-0.0,39950.5,0
2024-01-24,0.0,0.0,0.0,-0.0,40124.0,0
2024-01-25,0.0,0.0,0.0,-0.0,39983.5,0
2024-01-26,0.0,0.0,0.0,-0.0,41727.0,0
2024-01-27,0.0,0.0,0.0,-0.0,42408.5,0
2024-01-28,0.0,0.0,0.0,-0.0,42055.0,0
2024-01-29,0.0,0.0,0.0,-0.0,43381.5,0
2024-01-30,0.0,0.0,0.0,-0.0,43041.0,0
2024-01-31,0.0,0.0,0.0,-0.0,42149.5,0
2024-02-01,0.0,0.0,0.0,-0.0,43082.0,0
2024-02-02,0.0,0.0,0.0,-0.0,43055.0,0
2024-02-03,0.0,0.0,0.0,-0.0,42831.0,0
2024-02-04,0.0,0.0,0.0,-0.0,43051.0,0
2024-02-05,0.0,0.0,0.0,-0.0,42849.0,0
2024-02-06,0.0,0.0,0.0,-0.0,42882.0,0
2024-02-07,0.0,0.0,0.0,-0.0,44529.0,0
2024-02-08,0.0,0.0,0.0,-0.0,46236.0,0
2024-02-09,0.0,0.0,0.0,-0.0,47191.0,0
2024-02-10,0.0,0.0,0.0,-0.0,48247.5,0
2024-02-11,0.0,0.0,0.0,-0.0,48227.0,0
2024-02-12,0.0,0.0,0.0,-0.0,50043.5,0
2024-02-13,0.0,0.0,0.0,-0.0,49881.5,0
2024-02-14,0.0,0.0,0.0,-0.0,51850.5,0
2024-02-15,0.0,0.0,0.0,-0.0,51810.5,0
2024-02-16,0.0,0.0,0.0,-0.0,51947.5,0
2024-02-17,0.0,0.0,0.0,-0.0,51691.5,0
2024-02-18,0.0,0.0,0.0,-0.0,52430.0,0
2024-02-19,0.0,0.0,0.0,-0.0,51862.0,0
2024-02-20,0.0,0.0,0.0,-0.0,51565.5,0
2024-02-21,0.0,0.0,0.0,-0.0,51844.0,0
2024-02-22,0.0,0.0,0.0,-0.0,50885.5,0
2024-02-23,0.0,0.0,0.0,-0.0,51068.5,0
2024-02-24,0.0,0.0,0.0,-0.0,51762.5,0
2024-02-25,0.0,0.0,0.0,-0.0,51293.5,0
2024-02-26,0.0,0.0,0.0,-0.0,56130.0,0
2024-02-27,0.0,0.0,0.0,-0.0,58349.0,0
2024-02-28,0.0,0.0,0.0,-0.0,62738.0,0
2024-02-29,0.0,0.0,0.0,-0.0,61465.0,0
2024-03-01,0.0,0.0,0.0,-0.0,62120.0,0
2024-03-02,0.0,0.0,0.0,-0.0,61665.5,0
2024-03-03,0.0,0.0,0.0,-0.0,64172.0,0
2024-03-04,0.0,0.0,0.0,-0.0,66329.0,0
2024-03-05,0.0,0.0,0.0,-0.0,66749.5,0
2024-03-06,0.0,0.0,0.0,-0.0,66454.5,0
