date,event,prev_return_pct,expected_recovery_days,requested_strike,selected_strike,long_instrument,short_instrument,long_price_usd,short_price_usd,reason,strike,anchor_open,instrument,price_usd
2025-04-27,cycle_open,-0.5875266817422914,4.380952380952381,94634.0,95000.0,BTC-27MAR26-95000-C,BTC-27MAR26-95000-C,21175.0605,21175.0605,,,,,
2025-04-28,cycle_close,,,,,BTC-27MAR26-95000-C,,,,recovered,95000.0,94634.0,,
2025-04-30,cycle_open,-0.3054818185648675,4.2272727272727275,94932.0,95000.0,BTC-27MAR26-95000-C,BTC-27MAR26-95000-C,20913.31,20913.31,,,,,
2025-05-01,cycle_close,,,,,BTC-27MAR26-95000-C,,,,recovered,95000.0,94932.0,,
2025-05-06,cycle_open,-0.3915071442139254,4.086956521739131,94762.0,95000.0,BTC-27MAR26-95000-C,BTC-27MAR26-95000-C,20561.456,20561.456,,,,,
2025-05-07,cycle_close,,,,,BTC-27MAR26-95000-C,,,,recovered,95000.0,94762.0,,
2025-05-24,cycle_open,-2.8389671721846232,23.25,110744.5,110000.0,BTC-27MAR26-110000-C,BTC-27MAR26-110000-C,23637.7355,23637.7355,,,,,
2025-05-27,cycle_open,-0.5318304132576428,11.84375,110185.5,110000.0,BTC-27MAR26-110000-C,BTC-27MAR26-110000-C,23515.811999999998,23515.811999999998,,,,,
2025-05-27,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,23515.811999999998
2025-05-27,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,23515.811999999998
2025-05-28,cycle_open,-0.6656082628491136,11.84375,109599.0,110000.0,BTC-27MAR26-110000-C,BTC-27MAR26-110000-C,23312.556,23312.556,,,,,
2025-05-28,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,23312.556
2025-05-28,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,23312.556
2025-05-28,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,23312.556
2025-05-29,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,20174.4
2025-05-29,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,20174.4
2025-05-29,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,20174.4
2025-05-30,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,18730.845999999998
2025-05-30,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,18730.845999999998
2025-05-30,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,18730.845999999998
2025-05-31,cycle_open,-1.2400666190816085,20.363636363636363,105075.0,105000.0,BTC-27MAR26-105000-C,BTC-27MAR26-105000-C,20810.4435,20810.4435,,,,,
2025-06-01,cycle_close,,,,,BTC-27MAR26-105000-C,,,,recovered,105000.0,105075.0,,
2025-06-03,cycle_open,-0.197277943756817,11.84375,105435.0,105000.0,BTC-27MAR26-105000-C,BTC-27MAR26-105000-C,21495.377999999997,21495.377999999997,,,,,
2025-06-05,cycle_open,-0.7796336718230995,11.84375,105370.0,105000.0,BTC-27MAR26-105000-C,BTC-27MAR26-105000-C,18315.958749999998,18315.958749999998,,,,,
2025-06-05,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,16922.914
2025-06-05,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,16922.914
2025-06-05,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,16922.914
2025-06-05,add_short_call,,,,,,,,,,105000.0,,BTC-27MAR26-105000-C,18315.958749999998
2025-06-05,add_short_call,,,,,,,,,,105000.0,,BTC-27MAR26-105000-C,18315.958749999998
2025-06-06,cycle_open,-1.3013036949181722,18.833333333333332,104549.0,105000.0,BTC-27MAR26-105000-C,BTC-27MAR26-105000-C,20148.864,20148.864,,,,,
2025-06-07,cycle_close,,,,,BTC-27MAR26-105000-C,,,,recovered,105000.0,105435.0,,
2025-06-07,cycle_close,,,,,BTC-27MAR26-105000-C,,,,recovered,105000.0,105370.0,,
2025-06-07,cycle_close,,,,,BTC-27MAR26-105000-C,,,,recovered,105000.0,104549.0,,
2025-06-12,cycle_open,-1.686332170450602,17.46153846153846,109498.0,110000.0,BTC-27MAR26-110000-C,BTC-27MAR26-110000-C,17158.671000000002,17158.671000000002,,,,,
2025-06-12,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,17158.671000000002
2025-06-12,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,17158.671000000002
2025-06-12,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,17158.671000000002
2025-06-12,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,17158.671000000002
2025-06-17,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,18216.02525
2025-06-17,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,18216.02525
2025-06-17,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,18216.02525
2025-06-17,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,18216.02525
2025-06-18,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,17580.612
2025-06-18,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,17580.612
2025-06-18,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,17580.612
2025-06-18,add_short_call,,,,,,,,,,110000.0,,BTC-27MAR26-110000-C,17580.612
