date,equity_usd,cash_usd,option_mtm_usd,hedge_units,spot_close,active_cycles
2025-01-02,0.0,0.0,0.0,-0.0,96288.5,0
2025-01-03,0.0,0.0,0.0,-0.0,98264.0,0
2025-01-04,0.0,0.0,0.0,-0.0,98249.0,0
2025-01-05,0.0,0.0,0.0,-0.0,99365.0,0
2025-01-06,0.0,0.0,0.0,-0.0,101688.5,0
2025-01-07,0.0,0.0,0.0,-0.0,95589.5,0
2025-01-08,0.0,0.0,0.0,-0.0,93149.0,0
2025-01-09,0.0,0.0,0.0,-0.0,94499.5,0
2025-01-10,0.0,0.0,0.0,-0.0,94239.0,0
2025-01-11,0.0,0.0,0.0,-0.0,94292.5,0
2025-01-12,0.0,0.0,0.0,-0.0,93531.0,0
2025-01-13,0.0,0.0,0.0,-0.0,94884.0,0
2025-01-14,0.0,0.0,0.0,-0.0,97298.0,0
2025-01-15,0.0,0.0,0.0,-0.0,99837.0,0
2025-01-16,0.0,0.0,0.0,-0.0,101523.0,0
2025-01-17,0.0,0.0,0.0,-0.0,102804.5,0
2025-01-18,0.0,0.0,0.0,-0.0,105078.0,0
2025-01-19,0.0,0.0,0.0,-0.0,107079.0,0
2025-01-20,0.0,0.0,0.0,-0.0,101865.5,0
2025-01-21,0.0,0.0,0.0,-0.0,105096.0,0
2025-01-22,0.0,0.0,0.0,-0.0,102654.0,0
2025-01-23,0.0,0.0,0.0,-0.0,105062.0,0
2025-01-24,0.0,0.0,0.0,-0.0,104390.0,0
2025-01-25,0.0,0.0,0.0,-0.0,105036.5,0
2025-01-26,0.0,0.0,0.0,-0.0,99029.0,0
2025-01-27,0.0,0.0,0.0,-0.0,102806.0,0
2025-01-28,0.0,0.0,0.0,-0.0,102719.5,0
2025-01-29,0.0,0.0,0.0,-0.0,105153.0,0
2025-01-30,0.0,0.0,0.0,-0.0,104205.0,0
2025-01-31,0.0,0.0,0.0,-0.0,102175.5,0
2025-02-01,0.0,0.0,0.0,-0.0,99606.0,0
2025-02-02,0.0,0.0,0.0,-0.0,95390.0,0
2025-02-03,0.0,0.0,0.0,-0.0,98557.0,0
2025-02-04,0.0,0.0,0.0,-0.0,97929.0,0
2025-02-05,0.0,0.0,0.0,-0.0,98257.5,0
2025-02-06,0.0,0.0,0.0,-0.0,96757.0,0
2025-02-07,0.0,0.0,0.0,-0.0,96202.0,0
2025-02-08,0.0,0.0,0.0,-0.0,97106.5,0
2025-02-09,0.0,0.0,0.0,-0.0,97465.0,0
2025-02-10,0.0,0.0,0.0,-0.0,98302.5,0
2025-02-11,0.0,0.0,0.0,-0.0,96097.0,0
2025-02-12,0.0,0.0,0.0,-0.0,96067.5,0
2025-02-13,0.0,0.0,0.0,-0.0,96964.0,0
2025-02-14,0.0,0.0,0.0,-0.0,97431.0,0
2025-02-15,0.0,0.0,0.0,-0.0,97276.5,0
2025-02-16,0.0,0.0,0.0,-0.0,96073.5,0
2025-02-17,0.0,0.0,0.0,-0.0,95469.5,0
2025-02-18,0.0,0.0,0.0,-0.0,95693.5,0
2025-02-19,0.0,0.0,0.0,-0.0,96904.0,0
2025-02-20,0.0,0.0,0.0,-0.0,98255.5,0
2025-02-21,0.0,0.0,0.0,-0.0,96294.0,0
2025-02-22,0.0,0.0,0.0,-0.0,96550.5,0
2025-02-23,0.0,0.0,0.0,-0.0,95897.0,0
2025-02-24,0.0,0.0,0.0,-0.0,89322.5,0
2025-02-25,0.0,0.0,0.0,-0.0,88642.5,0
2025-02-26,0.0,0.0,0.0,-0.0,86208.5,0
2025-02-27,0.0,0.0,0.0,-0.0,79123.5,0
2025-02-28,0.0,0.0,0.0,-0.0,84693.0,0
2025-03-01,0.0,0.0,0.0,-0.0,86198.0,0
2025-03-02,0.0,0.0,0.0,-0.0,92350.0,0
2025-03-03,0.0,0.0,0.0,-0.0,83105.0,0
2025-03-04,0.0,0.0,0.0,-0.0,87585.5,0
2025-03-05,0.0,0.0,0.0,-0.0,91302.5,0
2025-03-06,0.0,0.0,0.0,-0.0,88346.5,0
2025-03-07,0.0,0.0,0.0,-0.0,86179.0,0
2025-03-08,0.0,0.0,0.0,-0.0,85965.5,0
2025-03-09,0.0,0.0,0.0,-0.0,82285.0,0
2025-03-10,0.0,0.0,0.0,-0.0,80371.0,0
2025-03-11,0.0,0.0,0.0,-0.0,82368.0,0
2025-03-12,0.0,0.0,0.0,-0.0,83137.0,0
2025-03-13,0.0,0.0,0.0,-0.0,82178.5,0
2025-03-14,0.0,0.0,0.0,-0.0,83823.5,0
2025-03-15,0.0,0.0,0.0,-0.0,84258.5,0
2025-03-16,0.0,0.0,0.0,-0.0,83547.5,0
2025-03-17,0.0,0.0,0.0,-0.0,83135.0,0
2025-03-18,0.0,0.0,0.0,-0.0,83155.0,0
2025-03-19,0.0,0.0,0.0,-0.0,85830.5,0
2025-03-20,0.0,0.0,0.0,-0.0,83866.5,0
2025-03-21,0.0,0.0,0.0,-0.0,84215.0,0
2025-03-22,0.0,0.0,0.0,-0.0,84265.0,0
2025-03-23,0.0,0.0,0.0,-0.0,86907.5,0
2025-03-24,0.0,0.0,0.0,-0.0,86461.0,0
2025-03-25,0.0,0.0,0.0,-0.0,88190.0,0
2025-03-26,0.0,0.0,0.0,-0.0,87387.0,0
2025-03-27,0.0,0.0,0.0,-0.0,85150.0,0
2025-03-28,0.0,0.0,0.0,-0.0,83690.0,0
2025-03-29,0.0,0.0,0.0,-0.0,83001.0,0
2025-03-30,0.0,0.0,0.0,-0.0,81914.0,0
2025-03-31,0.0,0.0,0.0,-0.0,83481.5,0
2025-04-01,0.0,0.0,0.0,-0.0,84417.0,0
2025-04-02,0.0,0.0,0.0,-0.0,83473.0,0
2025-04-03,0.0,0.0,0.0,-0.0,84004.5,0
2025-04-04,0.0,0.0,0.0,-0.0,83476.0,0
2025-04-05,0.0,0.0,0.0,-0.0,83003.5,0
2025-04-06,0.0,0.0,0.0,-0.0,75057.0,0
2025-04-07,0.0,0.0,0.0,-0.0,79492.5,0
2025-04-08,0.0,0.0,0.0,-0.0,77638.0,0
2025-04-09,0.0,0.0,0.0,-0.0,81576.5,0
2025-04-10,0.0,0.0,0.0,-0.0,81217.5,0
2025-04-11,0.0,0.0,0.0,-0.0,83729.5,0
2025-04-12,0.0,0.0,0.0,-0.0,84454.0,0
2025-04-13,0.0,0.0,0.0,-0.0,84582.0,0
2025-04-14,0.0,0.0,0.0,-0.0,85731.5,0
2025-04-15,0.0,0.0,0.0,-0.0,83342.0,0
2025-04-16,0.0,0.0,0.0,-0.0,84699.5,0
2025-04-17,0.0,0.0,0.0,-0.0,84656.0,0
2025-04-18,0.0,0.0,0.0,-0.0,85231.5,0
2025-04-19,0.0,0.0,0.0,-0.0,84796.5,0
2025-04-20,0.0,0.0,0.0,-0.0,87454.5,0
2025-04-21,0.0,0.0,0.0,-0.0,88518.0,0
2025-04-22,0.0,0.0,0.0,-0.0,94145.5,0
2025-04-23,0.0,0.0,0.0,-0.0,92184.0,0
2025-04-24,0.0,0.0,0.0,-0.0,93805.5,0
2025-04-25,0.0,0.0,0.0,-0.0,94634.0,0
2025-04-26,0.0,0.0,0.0,-0.0,94078.0,0
2025-04-27,0.0,0.0,0.0,-0.0,94743.0,0
2025-04-28,0.0,0.0,0.0,-0.0,94932.0,0
2025-04-29,0.0,0.0,0.0,-0.0,94642.0,0
