t,time,close
1702267200000,2023-12-11 04:00:00,42168.0
1702281600000,2023-12-11 08:00:00,42410.0
1702296000000,2023-12-11 12:00:00,41834.0
1702310400000,2023-12-11 16:00:00,40813.0
1702324800000,2023-12-11 20:00:00,41299.0
1702339200000,2023-12-12 00:00:00,41796.0
1702353600000,2023-12-12 04:00:00,41952.0
1702368000000,2023-12-12 08:00:00,41619.0
1702382400000,2023-12-12 12:00:00,41385.0
1702396800000,2023-12-12 16:00:00,41186.0
1702411200000,2023-12-12 20:00:00,41549.0
1702425600000,2023-12-13 00:00:00,40849.0
1702440000000,2023-12-13 04:00:00,41152.0
1702454400000,2023-12-13 08:00:00,41037.0
1702468800000,2023-12-13 12:00:00,41978.0
1702483200000,2023-12-13 16:00:00,42752.0
1702497600000,2023-12-13 20:00:00,42891.0
1702512000000,2023-12-14 00:00:00,42716.0
1702526400000,2023-12-14 04:00:00,42888.0
1702540800000,2023-12-14 08:00:00,43257.0
1702555200000,2023-12-14 12:00:00,42473.0
1702569600000,2023-12-14 16:00:00,43139.0
1702584000000,2023-12-14 20:00:00,43065.0
1702598400000,2023-12-15 00:00:00,42801.0
1702612800000,2023-12-15 04:00:00,42712.0
1702627200000,2023-12-15 08:00:00,42812.0
1702641600000,2023-12-15 12:00:00,41947.0
1702656000000,2023-12-15 16:00:00,42109.0
1702670400000,2023-12-15 20:00:00,41965.0
1702684800000,2023-12-16 00:00:00,42367.0
1702699200000,2023-12-16 04:00:00,42240.0
1702713600000,2023-12-16 08:00:00,42347.0
1702728000000,2023-12-16 12:00:00,42577.0
1702742400000,2023-12-16 16:00:00,42354.0
1702756800000,2023-12-16 20:00:00,42251.0
1702771200000,2023-12-17 00:00:00,41915.0
1702785600000,2023-12-17 04:00:00,41878.0
1702800000000,2023-12-17 08:00:00,41956.0
1702814400000,2023-12-17 12:00:00,41811.0
1702828800000,2023-12-17 16:00:00,42130.0
1702843200000,2023-12-17 20:00:00,41362.0
1702857600000,2023-12-18 00:00:00,41098.0
1702872000000,2023-12-18 04:00:00,41153.0
1702886400000,2023-12-18 08:00:00,41104.0
1702900800000,2023-12-18 12:00:00,41297.0
1702915200000,2023-12-18 16:00:00,41713.0
1702929600000,2023-12-18 20:00:00,42692.0
1702944000000,2023-12-19 00:00:00,43134.0
1702958400000,2023-12-19 04:00:00,43070.0
1702972800000,2023-12-19 08:00:00,42996.0
1702987200000,2023-12-19 12:00:00,42542.0
1703001600000,2023-12-19 16:00:00,42393.0
1703016000000,2023-12-19 20:00:00,42322.0
1703030400000,2023-12-20 00:00:00,42472.0
1703044800000,2023-12-20 04:00:00,42982.0
1703059200000,2023-12-20 08:00:00,42919.0
1703073600000,2023-12-20 12:00:00,44047.0
1703088000000,2023-12-20 16:00:00,43762.0
1703102400000,2023-12-20 20:00:00,43700.0
1703116800000,2023-12-21 00:00:00,43716.0
1703131200000,2023-12-21 04:00:00,43833.0
1703145600000,2023-12-21 08:00:00,43988.0
1703160000000,2023-12-21 12:00:00,43870.0
1703174400000,2023-12-21 16:00:00,43647.0
1703188800000,2023-12-21 20:00:00,43934.0
1703203200000,2023-12-22 00:00:00,44043.0
1703217600000,2023-12-22 04:00:00,43634.0
1703232000000,2023-12-22 08:00:00,43797.0
1703246400000,2023-12-22 12:00:00,43734.0
1703260800000,2023-12-22 16:00:00,43691.0
1703275200000,2023-12-22 20:00:00,44026.0
1703289600000,2023-12-23 00:00:00,43570.0
1703304000000,2023-12-23 04:00:00,43620.0
1703318400000,2023-12-23 08:00:00,43600.0
1703332800000,2023-12-23 12:00:00,43810.0
1703347200000,2023-12-23 16:00:00,43750.0
1703361600000,2023-12-23 20:00:00,43749.0
1703376000000,2023-12-24 00:00:00,43882.0
1703390400000,2023-12-24 04:00:00,43737.0
1703404800000,2023-12-24 08:00:00,43681.0
1703419200000,2023-12-24 12:00:00,43711.0
1703433600000,2023-12-24 16:00:00,43664.0
1703448000000,2023-12-24 20:00:00,43020.0
1703462400000,2023-12-25 00:00:00,43205.0
1703476800000,2023-12-25 04:00:00,43256.0
1703491200000,2023-12-25 08:00:00,43219.0
1703505600000,2023-12-25 12:00:00,43690.0
1703520000000,2023-12-25 16:00:00,43528.0
1703534400000,2023-12-25 20:00:00,43656.0
1703548800000,2023-12-26 00:00:00,43489.0
1703563200000,2023-12-26 04:00:00,42814.0
1703577600000,2023-12-26 08:00:00,42731.0
1703592000000,2023-12-26 12:00:00,42441.0
1703606400000,2023-12-26 16:00:00,42155.0
1703620800000,2023-12-26 20:00:00,42582.0
1703635200000,2023-12-27 00:00:00,42273.0
1703649600000,2023-12-27 04:00:00,42528.0
1703664000000,2023-12-27 08:00:00,43075.0
1703678400000,2023-12-27 12:00:00,43038.0
1703692800000,2023-12-27 16:00:00,43204.0
1703707200000,2023-12-27 20:00:00,43454.0
1703721600000,2023-12-28 00:00:00,43434.0
1703736000000,2023-12-28 04:00:00,43069.0
1703750400000,2023-12-28 08:00:00,43099.0
1703764800000,2023-12-28 12:00:00,42488.0
1703779200000,2023-12-28 16:00:00,42682.0
1703793600000,2023-12-28 20:00:00,42620.0
1703808000000,2023-12-29 00:00:00,42762.0
1703822400000,2023-12-29 04:00:00,42333.0
1703836800000,2023-12-29 08:00:00,42933.0
1703851200000,2023-12-29 12:00:00,42339.0
1703865600000,2023-12-29 16:00:00,42158.0
1703880000000,2023-12-29 20:00:00,42132.0
1703894400000,2023-12-30 00:00:00,42003.0
1703908800000,2023-12-30 04:00:00,41995.0
1703923200000,2023-12-30 08:00:00,41926.0
1703937600000,2023-12-30 12:00:00,42399.0
1703952000000,2023-12-30 16:00:00,42414.0
1703966400000,2023-12-30 20:00:00,42184.0
1703980800000,2023-12-31 00:00:00,42221.0
