t,time,close
1597795200000,2020-08-19 00:00:00,407.65
1597881600000,2020-08-20 00:00:00,416.29
1597968000000,2020-08-21 00:00:00,388.25
1598054400000,2020-08-22 00:00:00,395.44
1598140800000,2020-08-23 00:00:00,391.0
1598227200000,2020-08-24 00:00:00,407.94
1598313600000,2020-08-25 00:00:00,383.11
1598400000000,2020-08-26 00:00:00,386.02
1598486400000,2020-08-27 00:00:00,383.6
1598572800000,2020-08-28 00:00:00,395.14
1598659200000,2020-08-29 00:00:00,398.66
1598745600000,2020-08-30 00:00:00,429.11
1598832000000,2020-08-31 00:00:00,434.03
1598918400000,2020-09-01 00:00:00,475.61
1599004800000,2020-09-02 00:00:00,439.75
1599091200000,2020-09-03 00:00:00,381.62
1599177600000,2020-09-04 00:00:00,385.2
1599264000000,2020-09-05 00:00:00,334.85
1599350400000,2020-09-06 00:00:00,352.69
1599436800000,2020-09-07 00:00:00,353.49
1599523200000,2020-09-08 00:00:00,337.32
1599609600000,2020-09-09 00:00:00,350.65
1599696000000,2020-09-10 00:00:00,367.69
1599782400000,2020-09-11 00:00:00,373.45
1599868800000,2020-09-12 00:00:00,387.65
1599955200000,2020-09-13 00:00:00,366.24
1600041600000,2020-09-14 00:00:00,377.13
1600128000000,2020-09-15 00:00:00,364.06
1600214400000,2020-09-16 00:00:00,364.95
1600300800000,2020-09-17 00:00:00,389.24
1600387200000,2020-09-18 00:00:00,384.44
1600473600000,2020-09-19 00:00:00,384.96
1600560000000,2020-09-20 00:00:00,370.85
1600646400000,2020-09-21 00:00:00,340.19
1600732800000,2020-09-22 00:00:00,344.06
1600819200000,2020-09-23 00:00:00,320.64
1600905600000,2020-09-24 00:00:00,348.77
1600992000000,2020-09-25 00:00:00,351.88
1601078400000,2020-09-26 00:00:00,353.88
1601164800000,2020-09-27 00:00:00,357.4
1601251200000,2020-09-28 00:00:00,353.85
1601337600000,2020-09-29 00:00:00,359.7
1601424000000,2020-09-30 00:00:00,359.71
1601510400000,2020-10-01 00:00:00,352.53
1601596800000,2020-10-02 00:00:00,345.41
1601683200000,2020-10-03 00:00:00,345.72
1601769600000,2020-10-04 00:00:00,352.23
1601856000000,2020-10-05 00:00:00,353.45
1601942400000,2020-10-06 00:00:00,340.65
1602028800000,2020-10-07 00:00:00,341.41
1602115200000,2020-10-08 00:00:00,351.08
1602201600000,2020-10-09 00:00:00,365.04
1602288000000,2020-10-10 00:00:00,370.68
1602374400000,2020-10-11 00:00:00,374.39
1602460800000,2020-10-12 00:00:00,386.73
1602547200000,2020-10-13 00:00:00,381.12
1602633600000,2020-10-14 00:00:00,378.75
1602720000000,2020-10-15 00:00:00,377.63
1602806400000,2020-10-16 00:00:00,365.41
1602892800000,2020-10-17 00:00:00,368.26
1602979200000,2020-10-18 00:00:00,378.29
1603065600000,2020-10-19 00:00:00,379.47
1603152000000,2020-10-20 00:00:00,368.74
1603238400000,2020-10-21 00:00:00,390.96
1603324800000,2020-10-22 00:00:00,414.39
1603411200000,2020-10-23 00:00:00,409.4
1603497600000,2020-10-24 00:00:00,412.34
1603584000000,2020-10-25 00:00:00,406.14
1603670400000,2020-10-26 00:00:00,392.43
1603756800000,2020-10-27 00:00:00,403.6
1603843200000,2020-10-28 00:00:00,388.17
1603929600000,2020-10-29 00:00:00,386.94
1604016000000,2020-10-30 00:00:00,382.4
1604102400000,2020-10-31 00:00:00,386.29
1604188800000,2020-11-01 00:00:00,396.82
1604275200000,2020-11-02 00:00:00,383.16
1604361600000,2020-11-03 00:00:00,388.11
1604448000000,2020-11-04 00:00:00,402.92
1604534400000,2020-11-05 00:00:00,417.14
1604620800000,2020-11-06 00:00:00,456.38
1604707200000,2020-11-07 00:00:00,435.58
1604793600000,2020-11-08 00:00:00,454.75
1604880000000,2020-11-09 00:00:00,444.72
1604966400000,2020-11-10 00:00:00,450.67
1605052800000,2020-11-11 00:00:00,463.35
1605139200000,2020-11-12 00:00:00,462.68
1605225600000,2020-11-13 00:00:00,476.8
1605312000000,2020-11-14 00:00:00,461.0
1605398400000,2020-11-15 00:00:00,448.16
1605484800000,2020-11-16 00:00:00,460.72
1605571200000,2020-11-17 00:00:00,482.49
1605657600000,2020-11-18 00:00:00,478.61
1605744000000,2020-11-19 00:00:00,471.38
1605830400000,2020-11-20 00:00:00,510.37
1605916800000,2020-11-21 00:00:00,554.1
1606003200000,2020-11-22 00:00:00,560.42
1606089600000,2020-11-23 00:00:00,609.12
1606176000000,2020-11-24 00:00:00,605.72
1606262400000,2020-11-25 00:00:00,569.79
1606348800000,2020-11-26 00:00:00,520.25
1606435200000,2020-11-27 00:00:00,518.92
1606521600000,2020-11-28 00:00:00,537.46
1606608000000,2020-11-29 00:00:00,576.38
1606694400000,2020-11-30 00:00:00,617.42
1606780800000,2020-12-01 00:00:00,585.98
1606867200000,2020-12-02 00:00:00,596.96
1606953600000,2020-12-03 00:00:00,616.2
1607040000000,2020-12-04 00:00:00,567.68
1607126400000,2020-12-05 00:00:00,596.97
1607212800000,2020-12-06 00:00:00,601.86
1607299200000,2020-12-07 00:00:00,591.84
1607385600000,2020-12-08 00:00:00,555.17
1607472000000,2020-12-09 00:00:00,573.27
1607558400000,2020-12-10 00:00:00,559.71
1607644800000,2020-12-11 00:00:00,544.74
1607731200000,2020-12-12 00:00:00,568.34
1607817600000,2020-12-13 00:00:00,590.91
1607904000000,2020-12-14 00:00:00,586.33
1607990400000,2020-12-15 00:00:00,588.8
1608076800000,2020-12-16 00:00:00,637.8
1608163200000,2020-12-17 00:00:00,643.12
1608249600000,2020-12-18 00:00:00,654.51
1608336000000,2020-12-19 00:00:00,658.81
1608422400000,2020-12-20 00:00:00,638.27
1608508800000,2020-12-21 00:00:00,608.18
1608595200000,2020-12-22 00:00:00,637.2
1608681600000,2020-12-23 00:00:00,585.34
1608768000000,2020-12-24 00:00:00,612.31
1608854400000,2020-12-25 00:00:00,627.18
1608940800000,2020-12-26 00:00:00,637.9
1609027200000,2020-12-27 00:00:00,685.97
1609113600000,2020-12-28 00:00:00,731.07
1609200000000,2020-12-29 00:00:00,733.45
1609286400000,2020-12-30 00:00:00,753.04
1609372800000,2020-12-31 00:00:00,737.19
1609459200000,2021-01-01 00:00:00,729.77
1609545600000,2021-01-02 00:00:00,775.02
1609632000000,2021-01-03 00:00:00,980.24
1609718400000,2021-01-04 00:00:00,1043.11
1609804800000,2021-01-05 00:00:00,1101.29
1609891200000,2021-01-06 00:00:00,1212.64
1609977600000,2021-01-07 00:00:00,1227.12
1610064000000,2021-01-08 00:00:00,1218.39
1610150400000,2021-01-09 00:00:00,1279.96
1610236800000,2021-01-10 00:00:00,1257.96
1610323200000,2021-01-11 00:00:00,1086.94
1610409600000,2021-01-12 00:00:00,1050.82
1610496000000,2021-01-13 00:00:00,1130.4
1610582400000,2021-01-14 00:00:00,1234.86
1610668800000,2021-01-15 00:00:00,1168.79
1610755200000,2021-01-16 00:00:00,1230.19
1610841600000,2021-01-17 00:00:00,1233.71
1610928000000,2021-01-18 00:00:00,1262.99
1611014400000,2021-01-19 00:00:00,1367.51
1611100800000,2021-01-20 00:00:00,1379.24
1611187200000,2021-01-21 00:00:00,1111.23
1611273600000,2021-01-22 00:00:00,1234.55
1611360000000,2021-01-23 00:00:00,1235.66
1611446400000,2021-01-24 00:00:00,1394.24
1611532800000,2021-01-25 00:00:00,1318.61
1611619200000,2021-01-26 00:00:00,1368.4
1611705600000,2021-01-27 00:00:00,1238.55
1611792000000,2021-01-28 00:00:00,1329.86
1611878400000,2021-01-29 00:00:00,1381.99
1611964800000,2021-01-30 00:00:00,1380.48
1612051200000,2021-01-31 00:00:00,1313.12
1612137600000,2021-02-01 00:00:00,1376.48
1612224000000,2021-02-02 00:00:00,1516.26
1612310400000,2021-02-03 00:00:00,1666.0
1612396800000,2021-02-04 00:00:00,1596.0
1612483200000,2021-02-05 00:00:00,1721.16
1612569600000,2021-02-06 00:00:00,1679.34
1612656000000,2021-02-07 00:00:00,1611.99
1612742400000,2021-02-08 00:00:00,1755.61
1612828800000,2021-02-09 00:00:00,1770.79
1612915200000,2021-02-10 00:00:00,1743.31
1613001600000,2021-02-11 00:00:00,1789.32
1613088000000,2021-02-12 00:00:00,1843.08
1613174400000,2021-02-13 00:00:00,1818.02
1613260800000,2021-02-14 00:00:00,1803.59
1613347200000,2021-02-15 00:00:00,1781.34
1613433600000,2021-02-16 00:00:00,1784.31
1613520000000,2021-02-17 00:00:00,1849.86
1613606400000,2021-02-18 00:00:00,1941.26
1613692800000,2021-02-19 00:00:00,1958.58
1613779200000,2021-02-20 00:00:00,1914.58
1613865600000,2021-02-21 00:00:00,1934.75
