t,time,close
1702267200000,2023-12-11 04:00:00,2240.2
1702281600000,2023-12-11 08:00:00,2252.5
1702296000000,2023-12-11 12:00:00,2221.8
1702310400000,2023-12-11 16:00:00,2190.4
1702324800000,2023-12-11 20:00:00,2227.5
1702339200000,2023-12-12 00:00:00,2234.1
1702353600000,2023-12-12 04:00:00,2235.3
1702368000000,2023-12-12 08:00:00,2209.3
1702382400000,2023-12-12 12:00:00,2194.7
1702396800000,2023-12-12 16:00:00,2180.0
1702411200000,2023-12-12 20:00:00,2205.1
1702425600000,2023-12-13 00:00:00,2167.8
1702440000000,2023-12-13 04:00:00,2174.5
1702454400000,2023-12-13 08:00:00,2173.5
1702468800000,2023-12-13 12:00:00,2219.6
1702483200000,2023-12-13 16:00:00,2255.2
1702497600000,2023-12-13 20:00:00,2263.5
1702512000000,2023-12-14 00:00:00,2253.7
1702526400000,2023-12-14 04:00:00,2286.5
1702540800000,2023-12-14 08:00:00,2311.2
1702555200000,2023-12-14 12:00:00,2278.2
1702569600000,2023-12-14 16:00:00,2294.1
1702584000000,2023-12-14 20:00:00,2317.6
1702598400000,2023-12-15 00:00:00,2279.3
1702612800000,2023-12-15 04:00:00,2271.9
1702627200000,2023-12-15 08:00:00,2275.1
1702641600000,2023-12-15 12:00:00,2233.3
1702656000000,2023-12-15 16:00:00,2244.4
1702670400000,2023-12-15 20:00:00,2222.5
1702684800000,2023-12-16 00:00:00,2257.4
1702699200000,2023-12-16 04:00:00,2243.0
1702713600000,2023-12-16 08:00:00,2255.8
1702728000000,2023-12-16 12:00:00,2258.0
1702742400000,2023-12-16 16:00:00,2235.5
1702756800000,2023-12-16 20:00:00,2229.5
1702771200000,2023-12-17 00:00:00,2217.5
1702785600000,2023-12-17 04:00:00,2209.9
1702800000000,2023-12-17 08:00:00,2218.3
1702814400000,2023-12-17 12:00:00,2223.6
1702828800000,2023-12-17 16:00:00,2238.4
1702843200000,2023-12-17 20:00:00,2200.0
1702857600000,2023-12-18 00:00:00,2176.4
1702872000000,2023-12-18 04:00:00,2170.4
1702886400000,2023-12-18 08:00:00,2143.7
1702900800000,2023-12-18 12:00:00,2156.3
1702915200000,2023-12-18 16:00:00,2175.8
