fr_threshold,min_consecutive,exit_strategy,exit_param,config,n_trades,avg_pnl,std_pnl,sharpe,win_rate,total_pnl,avg_hold,max_dd
0.001,1,fixed,4,FR>0.1%_Cons>=1_Fixed4h,1046,0.0018875696332267067,0.059292613107525115,0.031834819453878074,0.5334608030592735,1.9743978363551353,4.0,2.38115771717821
0.001,1,fixed,8,FR>0.1%_Cons>=1_Fixed8h,1042,0.004871537984776843,0.0830282491073411,0.05867325924793127,0.5806142034548945,5.07614258013747,8.0,3.493024590865245
0.001,1,fixed,12,FR>0.1%_Cons>=1_Fixed12h,1038,0.004952765148154067,0.10186752267199965,0.048619668155682305,0.5847784200385356,5.140970223783921,12.0,5.325622255082848
0.001,1,fixed,24,FR>0.1%_Cons>=1_Fixed24h,1028,0.009385993618530545,0.14717171403271587,0.06377579876826103,0.6342412451361867,9.6488014398494,24.0,11.731109273962234
0.001,1,fixed,36,FR>0.1%_Cons>=1_Fixed36h,1017,0.015307878276990497,0.16733573919047584,0.09148002901858139,0.6224188790560472,15.568112207699336,36.0,14.493744523186626
0.001,1,fixed,48,FR>0.1%_Cons>=1_Fixed48h,1003,0.007083976118244767,0.1691905832448762,0.04186980139427647,0.5752741774675972,7.1052280465995015,48.0,19.55859228615471
0.001,1,normalized,0.0001,FR>0.1%_Cons>=1_Norm<0.01%,662,0.04939148451012447,0.1579491767495535,0.3127049189274365,0.716012084592145,32.6971627457024,33.63293051359516,3.349442578547043
0.001,1,normalized,0.0003,FR>0.1%_Cons>=1_Norm<0.03%,932,0.0239176638740826,0.08096338034724399,0.2954133556615607,0.6920600858369099,22.291262730644984,26.213519313304722,2.24606624162965
0.001,1,normalized,0.0005,FR>0.1%_Cons>=1_Norm<0.05%,1028,0.008258753803090234,0.08772222057110932,0.09414665690542488,0.6429961089494164,8.48999890957676,20.88035019455253,14.078235277617543
0.001,1,fixed_or_normalized,"(24, 0.0003)",FR>0.1%_Cons>=1_Max24h_OR_Norm<0.03%,1049,0.0035070698834405115,0.11929567849240579,0.0293981301566072,0.6415633937082936,3.6789163077290965,18.163012392755004,11.996245232147205
0.001,1,fixed_or_normalized,"(48, 0.0003)",FR>0.1%_Cons>=1_Max48h_OR_Norm<0.03%,1049,-0.0012990927712548228,0.11160838213240933,-0.011639741983837848,0.6148713060057197,-1.362748317046309,27.218303145853195,20.68898493698049
0.001,2,fixed,4,FR>0.1%_Cons>=2_Fixed4h,822,0.0026959364616411163,0.05735520172093564,0.04700421898537326,0.5462287104622872,2.2160597714689976,4.0,2.4794857266623236
0.001,2,fixed,8,FR>0.1%_Cons>=2_Fixed8h,820,0.0049160162565513605,0.080100667339362,0.06137297503057877,0.5853658536585366,4.031133330372116,8.0,3.7181016157604256
0.001,2,fixed,12,FR>0.1%_Cons>=2_Fixed12h,816,0.004879958648078,0.09776867346783294,0.049913315533360134,0.5894607843137255,3.982046256831648,12.0,5.017844601394855
0.001,2,fixed,24,FR>0.1%_Cons>=2_Fixed24h,809,0.007500734991013094,0.14093649126350866,0.053220673537196166,0.646477132262052,6.068094607729593,24.0,11.183441286121322
0.001,2,fixed,36,FR>0.1%_Cons>=2_Fixed36h,798,0.011886757757154276,0.15866077586624278,0.07491932200795033,0.62531328320802,9.485632690209112,36.0,13.129801715316582
0.001,2,fixed,48,FR>0.1%_Cons>=2_Fixed48h,788,0.0024626541922997455,0.1647690697002861,0.01494609514260958,0.5697969543147208,1.9405715035321993,48.0,17.622944561221548
0.001,2,normalized,0.0001,FR>0.1%_Cons>=2_Norm<0.01%,483,0.054546568791317716,0.15519972558129116,0.3514604718984963,0.7432712215320911,26.345992726206457,35.83022774327122,2.4992414833078342
0.001,2,normalized,0.0003,FR>0.1%_Cons>=2_Norm<0.03%,724,0.026480932502878893,0.0805421572910045,0.3287835016288602,0.7099447513812155,19.17219513208432,28.849447513812155,2.099213053452768
0.001,2,normalized,0.0005,FR>0.1%_Cons>=2_Norm<0.05%,809,0.008390730174686258,0.09029858614980615,0.0929220548455317,0.6588380716934487,6.788100711321182,23.34734239802225,13.361615687146603
0.001,2,fixed_or_normalized,"(24, 0.0003)",FR>0.1%_Cons>=2_Max24h_OR_Norm<0.03%,825,0.003428756294784425,0.12003096970580673,0.02856559688877155,0.6545454545454545,2.8287239431971507,19.32969696969697,11.235784320585147
0.001,2,fixed_or_normalized,"(48, 0.0003)",FR>0.1%_Cons>=2_Max48h_OR_Norm<0.03%,825,-0.0022007170936569594,0.11460839352735219,-0.01920205864443725,0.6218181818181818,-1.8155916022669913,29.523636363636363,18.8398837827739
0.001,3,fixed,4,FR>0.1%_Cons>=3_Fixed4h,680,0.0037924571216508933,0.05549390247365666,0.06834006895534513,0.5588235294117647,2.5788708427226075,4.0,1.9978048811334814
0.001,3,fixed,8,FR>0.1%_Cons>=3_Fixed8h,679,0.0060997217353262806,0.07702593023619111,0.07919049749379448,0.5949926362297496,4.141711058286544,8.0,3.200671923799532
0.001,3,fixed,12,FR>0.1%_Cons>=3_Fixed12h,675,0.004979511352927396,0.09101047672468042,0.05471360586310435,0.5955555555555555,3.3611701632259927,12.0,4.293439178180666
0.001,3,fixed,24,FR>0.1%_Cons>=3_Fixed24h,670,0.005584495301805292,0.1300199031977507,0.042951080292004874,0.655223880597015,3.7416118522095454,24.0,10.211522525503877
0.001,3,fixed,36,FR>0.1%_Cons>=3_Fixed36h,659,0.007345622814060718,0.1424211941361736,0.05157675343627105,0.629742033383915,4.840765434466013,36.0,11.98986484288123
0.001,3,fixed,48,FR>0.1%_Cons>=3_Fixed48h,652,-0.0025208851138080342,0.15606703367081598,-0.01615257914829858,0.5705521472392638,-1.6436170942028383,48.0,16.4822525365405
0.001,3,normalized,0.0001,FR>0.1%_Cons>=3_Norm<0.01%,374,0.05637926078603996,0.14298254197176283,0.3943087037659054,0.7593582887700535,21.085843533978945,37.24331550802139,1.749670218606755
0.001,3,normalized,0.0003,FR>0.1%_Cons>=3_Norm<0.03%,592,0.02871797552597954,0.07767769051652071,0.36970686609009984,0.7263513513513513,17.00104151137989,30.6875,1.7130320710672962
0.001,3,normalized,0.0005,FR>0.1%_Cons>=3_Norm<0.05%,670,0.008519836324893443,0.09117043671840439,0.09344955044153651,0.673134328358209,5.708290337678607,25.165671641791043,12.195316993146442
0.001,3,fixed_or_normalized,"(24, 0.0003)",FR>0.1%_Cons>=3_Max24h_OR_Norm<0.03%,683,0.003928542476982464,0.11610321384208852,0.03383663851308765,0.6691068814055637,2.683194511779023,20.0805270863836,10.21152252550388
0.001,3,fixed_or_normalized,"(48, 0.0003)",FR>0.1%_Cons>=3_Max48h_OR_Norm<0.03%,683,-0.003014106540803521,0.11610462532401741,-0.025960262413249634,0.6295754026354319,-2.0586347673688046,31.16544655929722,17.117233812592296
0.001,4,fixed,4,FR>0.1%_Cons>=4_Fixed4h,582,0.004891773274716322,0.05339777601250361,0.09161005644824731,0.5652920962199313,2.8470120458848993,4.0,1.775355883363393
0.001,4,fixed,8,FR>0.1%_Cons>=4_Fixed8h,582,0.006288708013781798,0.07563053521249602,0.08315038358663829,0.5962199312714777,3.6600280640210063,8.0,2.9131699088041807
0.001,4,fixed,12,FR>0.1%_Cons>=4_Fixed12h,578,0.004712488775099569,0.08813068543238066,0.05347160018079382,0.6038062283737025,2.7238185120075507,12.0,3.881525003686499
0.001,4,fixed,24,FR>0.1%_Cons>=4_Fixed24h,575,0.006143059662169081,0.12221454813177453,0.05026455324733921,0.6678260869565218,3.5322593057472216,24.0,9.451065252457287
0.001,4,fixed,36,FR>0.1%_Cons>=4_Fixed36h,564,0.006022817158848633,0.13617958048752302,0.04422702094753811,0.6436170212765957,3.396868877590629,36.0,10.951803326928465
0.001,4,fixed,48,FR>0.1%_Cons>=4_Fixed48h,560,-0.004264605092640667,0.15204428985568041,-0.02804843967957367,0.5857142857142857,-2.3881788518787737,48.0,15.283999680186941
0.001,4,normalized,0.0001,FR>0.1%_Cons>=4_Norm<0.01%,304,0.06017128164768052,0.1354998554466852,0.4440689729839304,0.7828947368421053,18.29206962089488,38.55592105263158,1.1862450761184498
0.001,4,normalized,0.0003,FR>0.1%_Cons>=4_Norm<0.03%,504,0.030861784281866974,0.07462636607452072,0.41355067793397415,0.7361111111111112,15.554339278060954,32.13690476190476,1.4453551817955983
0.001,4,normalized,0.0005,FR>0.1%_Cons>=4_Norm<0.05%,575,0.008196247900290818,0.09251395514556708,0.08859471943875216,0.68,4.712842542667221,26.612173913043478,11.512801323754674
0.001,4,fixed_or_normalized,"(24, 0.0003)",FR>0.1%_Cons>=4_Max24h_OR_Norm<0.03%,585,0.005139053267089005,0.10943396839175448,0.04696031170771485,0.676923076923077,3.006346161247068,20.565811965811967,9.45106525245729
0.001,4,fixed_or_normalized,"(48, 0.0003)",FR>0.1%_Cons>=4_Max48h_OR_Norm<0.03%,585,-0.0029947915067456282,0.1168238182276647,-0.025635110649349077,0.6358974358974359,-1.7519530314461926,32.35213675213675,15.742455056793144
0.001,6,fixed,4,FR>0.1%_Cons>=6_Fixed4h,439,0.006694485581912253,0.049939988255181485,0.13405060385086637,0.5808656036446469,2.938879170459479,4.0,1.5422563695068177
0.001,6,fixed,8,FR>0.1%_Cons>=6_Fixed8h,439,0.006594430889344909,0.06835999478377024,0.09646622867956293,0.6082004555808656,2.8949551604224153,8.0,2.3375715890236424
0.001,6,fixed,12,FR>0.1%_Cons>=6_Fixed12h,435,0.00643652155112833,0.07026482122395945,0.09160375617569427,0.6252873563218391,2.7998868747408237,12.0,3.1363784546592925
