coin,funding_start,funding_end,funding_count,price_start,price_end,price_count,has_price,gap_days,extreme_events
0G,2025-09-22 11:00:00.090000+00:00,2025-12-16 15:00:00.025000+00:00,1000,2025-09-22 11:00:00+00:00,2025-12-16 16:00:00+00:00,2050.0,True,-1.0,49.0
2Z,2025-10-02 14:00:00.020000+00:00,2025-12-16 15:00:00.025000+00:00,1000,2025-10-02 14:00:00+00:00,2025-12-16 16:00:00+00:00,1806.0,True,-1.0,2.0
AAVE,2023-07-18 00:00:00.105000+00:00,2025-12-16 15:00:00.025000+00:00,6000,2025-07-07 08:00:00+00:00,2025-12-16 16:00:00+00:00,3905.0,True,720.0,0.0
ACE,2023-12-18 14:00:00.021000+00:00,2025-12-16 15:00:00.025000+00:00,5000,2025-07-07 07:00:00+00:00,2025-12-16 16:00:00+00:00,3906.0,True,566.0,50.0
ADA,2023-10-22 06:00:00.056000+00:00,2025-12-16 15:00:00.025000+00:00,5374,2025-07-07 10:00:00+00:00,2025-12-16 16:00:00+00:00,3903.0,True,624.0,0.0
AERO,2025-11-11 07:00:00.040000+00:00,2025-12-16 15:00:00.025000+00:00,849,2025-11-11 07:00:00+00:00,2025-12-16 16:00:00+00:00,851.0,True,-1.0,0.0
AI,2024-02-19 14:00:00.174000+00:00,2025-12-16 15:00:00.025000+00:00,4500,,,,False,712.0,0.0
AI16Z,2025-01-01 05:00:00.170000+00:00,2025-12-16 15:00:00.025000+00:00,2500,2025-05-20 15:00:00+00:00,2025-11-06 08:00:00+00:00,4082.0,True,139.0,0.0
AIXBT,2025-01-01 05:00:00.170000+00:00,2025-12-16 15:00:00.025000+00:00,2500,2025-07-07 10:00:00+00:00,2025-12-16 16:00:00+00:00,3903.0,True,187.0,0.0
ALGO,2024-12-04 13:00:00.060000+00:00,2025-12-16 15:00:00.025000+00:00,3000,2025-07-07 10:00:00+00:00,2025-12-16 16:00:00+00:00,3903.0,True,214.0,0.0
ALT,2024-01-25 15:00:00.108000+00:00,2025-12-16 15:00:00.025000+00:00,4585,2025-07-07 07:00:00+00:00,2025-12-16 16:00:00+00:00,3906.0,True,528.0,12.0
