coin,entry_hour,direction,holding_hours,entry_price,exit_price,exit_hour,price_return,funding_collected,entry_funding,trading_fee,gross_pnl,net_pnl,valid,fr_magnitude,fr_bucket,entry_hour_of_day
SOPH,2025-05-28 15:00:00,long,8,0.066381,0.06632,2025-05-28 23:00:00,-0.0009189376478207864,0.023702302500000005,-0.0016590006,0.0009,0.02278336485217922,0.02188336485217922,True,0.0016590006,0.10-0.20%,15
SOPH,2025-05-28 16:00:00,long,8,0.067535,0.063316,2025-05-29 00:00:00,-0.06247131117198491,0.024298307100000003,-0.0042861883,0.0009,-0.0381730040719849,-0.0390730040719849,True,0.0042861883,0.30-0.50%,16
SOPH,2025-05-28 17:00:00,long,8,0.062741,0.063227,2025-05-29 01:00:00,0.007746130919175663,0.0217841838,-0.0053181415,0.0009,0.029530314719175662,0.02863031471917566,True,0.0053181415,0.50-1.0%,17
SOPH,2025-05-28 18:00:00,long,8,0.063618,0.063252,2025-05-29 02:00:00,-0.005753088748467279,0.0175394352,-0.00225472,0.0009,0.011786346451532722,0.010886346451532723,True,0.00225472,0.20-0.30%,18
SOPH,2025-05-28 19:00:00,long,8,0.064254,0.064262,2025-05-29 03:00:00,0.00012450586733890687,0.016253984,-0.0030194575,0.0009,0.016378489867338905,0.015478489867338905,True,0.0030194575,0.30-0.50%,19
SOPH,2025-05-28 20:00:00,long,8,0.063643,0.063071,2025-05-29 04:00:00,-0.008987634146724746,0.0147841878,-0.002850555,0.0009,0.005796553653275253,0.004896553653275253,True,0.002850555,0.20-0.30%,20
SOPH,2025-05-28 21:00:00,long,8,0.066665,0.06297,2025-05-29 05:00:00,-0.055426385659641544,0.012942511299999997,-0.0018904538,0.0009,-0.042483874359641544,-0.04338387435964154,True,0.0018904538,0.10-0.20%,21
SOPH,2025-05-28 22:00:00,long,8,0.066551,0.063544,2025-05-29 06:00:00,-0.0451833931871797,0.012890741899999999,-0.0024237858,0.0009,-0.0322926512871797,-0.0331926512871797,True,0.0024237858,0.20-0.30%,22
SOPH,2025-05-28 23:00:00,long,8,0.06632,0.063507,2025-05-29 07:00:00,-0.042415560916767334,0.012073935099999999,-0.0022550052,0.0009,-0.030341625816767335,-0.031241625816767336,True,0.0022550052,0.20-0.30%,23
SOPH,2025-05-29 00:00:00,long,8,0.063316,0.063339,2025-05-29 08:00:00,0.00036325731252778324,0.011113580299999998,-0.001772065,0.0009,0.011476837612527782,0.010576837612527782,True,0.001772065,0.10-0.20%,0
SOPH,2025-05-29 01:00:00,long,8,0.063227,0.06309,2025-05-29 09:00:00,-0.0021667958308952203,0.010392103,-0.0010733929,0.0009,0.00822530716910478,0.00732530716910478,True,0.0010733929,0.10-0.20%,1
SOPH,2025-05-29 03:00:00,long,8,0.064262,0.061436,2025-05-29 11:00:00,-0.04397622233979649,0.010128764799999999,-0.0015496613,0.0009,-0.0338474575397965,-0.034747457539796495,True,0.0015496613,0.10-0.20%,3
SOPH,2025-05-29 04:00:00,long,8,0.063071,0.061633,2025-05-29 12:00:00,-0.022799701923229405,0.009323907699999998,-0.0010088785,0.0009,-0.013475794223229406,-0.014375794223229406,True,0.0010088785,0.10-0.20%,4
SOPH,2025-05-29 05:00:00,long,8,0.06297,0.060685,2025-05-29 13:00:00,-0.03628712085119891,0.0093094947,-0.0018386844,0.0009,-0.02697762615119891,-0.02787762615119891,True,0.0018386844,0.10-0.20%,5
SOPH,2025-05-29 06:00:00,long,8,0.063544,0.062022,2025-05-29 14:00:00,-0.023951907339796085,0.0088659786,-0.001606979,0.0009,-0.015085928739796086,-0.015985928739796085,True,0.001606979,0.10-0.20%,6
SOPH,2025-05-29 07:00:00,long,8,0.063507,0.061228,2025-05-29 15:00:00,-0.03588580786370001,0.008485452300000002,-0.0012946504,0.0009,-0.02740035556370001,-0.028300355563700013,True,0.0012946504,0.10-0.20%,7
SOPH,2025-05-29 08:00:00,long,8,0.063339,0.058118,2025-05-29 16:00:00,-0.08242946683717778,0.0084309146,-0.0010505877,0.0009,-0.07399855223717777,-0.07489855223717777,True,0.0010505877,0.10-0.20%,8
SOPH,2025-05-29 13:00:00,long,8,0.060685,0.057063,2025-05-29 21:00:00,-0.05968525994891654,0.0070808727,-0.0013951683,0.0009,-0.05260438724891654,-0.05350438724891654,True,0.0013951683,0.10-0.20%,13
SOPH,2025-05-29 14:00:00,long,8,0.062022,0.057346,2025-05-29 22:00:00,-0.07539260262487504,0.0062079782,-0.0012264527,0.0009,-0.06918462442487504,-0.07008462442487504,True,0.0012264527,0.10-0.20%,14
SOPH,2025-05-29 15:00:00,long,8,0.061228,0.056673,2025-05-29 23:00:00,-0.07439406807343041,0.005249153800000001,-0.0012401127,0.0009,-0.0691449142734304,-0.0700449142734304,True,0.0012401127,0.10-0.20%,15
SOPH,2025-05-30 14:00:00,long,8,0.057874,0.056431,2025-05-30 22:00:00,-0.024933476172374465,0.0102015567,-0.0027598475,0.0009,-0.014731919472374466,-0.015631919472374467,True,0.0027598475,0.20-0.30%,14
SOPH,2025-05-30 15:00:00,long,8,0.057687,0.059867,2025-05-30 23:00:00,0.03779014335985568,0.008002817800000001,-0.0017494141,0.0009,0.04579296115985568,0.04489296115985568,True,0.0017494141,0.10-0.20%,15
SOPH,2025-05-30 17:00:00,long,8,0.057656,0.052868,2025-05-31 01:00:00,-0.08304426252254754,0.0066721913,-0.0012789488,0.0009,-0.07637207122254754,-0.07727207122254753,True,0.0012789488,0.10-0.20%,17
SOPH,2025-05-30 19:00:00,long,8,0.058853,0.052987,2025-05-31 03:00:00,-0.09967206429578786,0.0053242193,-0.0010041045,0.0009,-0.09434784499578786,-0.09524784499578785,True,0.0010041045,0.10-0.20%,19
PUMP,2025-07-10 04:00:00,short,8,0.005183,0.004972,2025-07-10 12:00:00,0.040710013505691735,0.009132899100000001,0.0026836687,0.0009,0.049842912605691736,0.04894291260569174,True,0.0026836687,0.20-0.30%,4
PUMP,2025-07-10 05:00:00,short,8,0.0052,0.0049,2025-07-10 13:00:00,0.05769230769230768,0.006553157499999999,0.0020031524,0.0009,0.06424546519230769,0.06334546519230769,True,0.0020031524,0.20-0.30%,5
PUMP,2025-07-10 06:00:00,short,8,0.00545,0.004884,2025-07-10 14:00:00,0.10385321100917425,0.004610762400000001,0.0010828758,0.0009,0.10846397340917424,0.10756397340917424,True,0.0010828758,0.10-0.20%,6
PUMP,2025-07-10 07:00:00,short,8,0.005183,0.005006,2025-07-10 15:00:00,0.034150106116148965,0.0035431877,0.0010115269,0.0009,0.037693293816148964,0.036793293816148966,True,0.0010115269,0.10-0.20%,7
PUMP,2025-07-10 08:00:00,short,8,0.005255,0.005122,2025-07-10 16:00:00,0.025309229305423463,0.0025441608000000004,0.0010105796,0.0009,0.027853390105423464,0.026953390105423462,True,0.0010105796,0.10-0.20%,8
PROVE,2025-08-06 04:00:00,long,8,1.3335,1.1972,2025-08-06 12:00:00,-0.10221222347206589,0.0208015583,-0.0044716302,0.0009,-0.0814106651720659,-0.0823106651720659,True,0.0044716302,0.30-0.50%,4
PROVE,2025-08-06 05:00:00,long,8,1.2639,1.2118,2025-08-06 13:00:00,-0.0412216156341483,0.016809357599999998,-0.0051267075,0.0009,-0.0244122580341483,-0.025312258034148303,True,0.0051267075,0.50-1.0%,5
PROVE,2025-08-06 06:00:00,long,8,1.2827,1.1892,2025-08-06 14:00:00,-0.07289311608326181,0.0123514282,-0.0072279749,0.0009,-0.06054168788326181,-0.061441687883261806,True,0.0072279749,0.50-1.0%,6
PROVE,2025-08-06 09:00:00,long,8,1.1398,1.0959,2025-08-06 17:00:00,-0.03851552904018234,0.0058535657,-0.0010215373,0.0009,-0.03266196334018234,-0.03356196334018234,True,0.0010215373,0.10-0.20%,9
PROVE,2025-08-06 15:00:00,long,8,1.1611,1.091,2025-08-06 23:00:00,-0.06037378348118168,0.005084748900000001,-0.001092005,0.0009,-0.05528903458118168,-0.05618903458118168,True,0.001092005,0.10-0.20%,15
YZY,2025-08-21 13:00:00,long,8,0.93686,0.85717,2025-08-21 21:00:00,-0.0850607347949534,0.0092607271,-0.0013888313,0.0009,-0.07580000769495339,-0.07670000769495339,True,0.0013888313,0.10-0.20%,13
YZY,2025-08-21 14:00:00,long,8,0.96924,0.84018,2025-08-21 22:00:00,-0.13315587470595514,0.008768636,-0.0020524837,0.0009,-0.12438723870595514,-0.12528723870595515,True,0.0020524837,0.20-0.30%,14
YZY,2025-08-21 15:00:00,long,8,1.0051,0.82831,2025-08-21 23:00:00,-0.1758929459755249,0.0070799501,-0.0019749605,0.0009,-0.1688129958755249,-0.1697129958755249,True,0.0019749605,0.10-0.20%,15
YZY,2025-08-21 16:00:00,long,8,0.98435,0.81274,2025-08-22 00:00:00,-0.17433839589576872,0.0055250796,-0.0016846214,0.0009,-0.1688133162957687,-0.16971331629576872,True,0.0016846214,0.10-0.20%,16
YZY,2025-08-22 09:00:00,long,8,0.66756,0.71032,2025-08-22 17:00:00,0.06405416741566287,0.008265343999999997,-0.0030745641,0.0009,0.07231951141566287,0.07141951141566287,True,0.0030745641,0.30-0.50%,9
YZY,2025-08-22 10:00:00,long,8,0.67329,0.67876,2025-08-22 18:00:00,0.0081242852262769,0.005187153600000001,-0.0017199062,0.0009,0.013311438826276901,0.012411438826276901,True,0.0017199062,0.10-0.20%,10
XPL,2025-08-22 11:00:00,short,8,0.43555,0.49488,2025-08-22 19:00:00,-0.13621857421650785,0.0043315418,0.0011963443,0.0009,-0.13188703241650784,-0.13278703241650786,True,0.0011963443,0.10-0.20%,11
YZY,2025-08-22 11:00:00,long,8,0.68788,0.683,2025-08-22 19:00:00,-0.007094260626853514,0.0034651651999999997,-0.0016587918,0.0009,-0.0036290954268535145,-0.004529095426853515,True,0.0016587918,0.10-0.20%,11
XPL,2025-08-22 17:00:00,short,8,0.48444,0.52743,2025-08-23 01:00:00,-0.08874163983155803,0.0053325736,0.0010498822,0.0009,-0.08340906623155803,-0.08430906623155802,True,0.0010498822,0.10-0.20%,17
WLFI,2025-08-23 21:00:00,long,8,0.29558,0.27818,2025-08-24 05:00:00,-0.05886731172609793,0.0071550042000000005,-0.0010395945,0.0009,-0.05171230752609793,-0.052612307526097926,True,0.0010395945,0.10-0.20%,21
WLFI,2025-08-23 22:00:00,long,8,0.27684,0.27746,2025-08-24 06:00:00,0.002239560757116058,0.0068926054,-0.0010982021,0.0009,0.009132166157116057,0.008232166157116057,True,0.0010982021,0.10-0.20%,22
WLFI,2025-08-23 23:00:00,long,8,0.30103,0.25254,2025-08-24 07:00:00,-0.16108029100089702,0.006307888,-0.001101726,0.0009,-0.154772403000897,-0.15567240300089702,True,0.001101726,0.10-0.20%,23
WLFI,2025-08-24 00:00:00,long,8,0.28945,0.25543,2025-08-24 08:00:00,-0.11753325272067713,0.005703804399999999,-0.0010655856,0.0009,-0.11182944832067714,-0.11272944832067713,True,0.0010655856,0.10-0.20%,0
YZY,2025-08-25 11:00:00,long,8,0.57443,0.57657,2025-08-25 19:00:00,0.00372543216754005,0.0069195341,-0.001748359,0.0009,0.01064496626754005,0.00974496626754005,True,0.001748359,0.10-0.20%,11
YZY,2025-08-25 12:00:00,long,8,0.57189,0.55211,2025-08-25 20:00:00,-0.03458707094021581,0.0071838545,-0.001579895,0.0009,-0.027403216440215813,-0.028303216440215814,True,0.001579895,0.10-0.20%,12
YZY,2025-08-25 18:00:00,long,8,0.55869,0.56328,2025-08-26 02:00:00,0.008215647317832756,0.0075767138,-0.0016562602,0.0009,0.015792361117832755,0.014892361117832755,True,0.0016562602,0.10-0.20%,18
YZY,2025-08-25 19:00:00,long,8,0.57657,0.56374,2025-08-26 03:00:00,-0.022252285065126536,0.0062977375,-0.0020126794,0.0009,-0.015954547565126535,-0.016854547565126537,True,0.0020126794,0.20-0.30%,19
YZY,2025-08-25 20:00:00,long,8,0.55211,0.57177,2025-08-26 04:00:00,0.03560884606328451,0.004596245,-0.0013108966,0.0009,0.04020509106328451,0.03930509106328451,True,0.0013108966,0.10-0.20%,20
XPL,2025-08-27 09:00:00,short,8,0.72288,0.81753,2025-08-27 17:00:00,-0.13093459495351928,0.0030101,0.0015071701,0.0009,-0.1279244949535193,-0.1288244949535193,True,0.0015071701,0.10-0.20%,9
WLFI,2025-08-27 10:00:00,short,8,0.30809,0.28701,2025-08-27 18:00:00,0.06842156512707322,0.0019481301999999998,0.0010063841,0.0009,0.07036969532707321,0.06946969532707321,True,0.0010063841,0.10-0.20%,10
