coin,count,mean,median,std,min,max,start,end
ETH,6037,1.3669360311412953e-05,1.25e-05,4.23264864114594e-05,-0.0007369307,0.0007230584,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
DOGE,6037,1.3142052956766605e-05,1.25e-05,5.5049493009043753e-05,-0.0006835709,0.000777206,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
DYDX,6037,1.2577295560708962e-05,1.25e-05,5.5711042323940565e-05,-0.0005115049,0.0004759148,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
BTC,6037,1.145893577936061e-05,1.25e-05,3.080645551248417e-05,-0.0008179771,0.0005980828,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
SOL,6037,8.534994566837834e-06,1.25e-05,4.472612893866892e-05,-0.0008724275,0.0003718726,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
LTC,6037,8.468843266523108e-06,1.25e-05,2.86119679555567e-05,-0.0003494155,0.0003366756,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
ARB,6037,7.706542239522943e-06,1.25e-05,3.0931530820303226e-05,-0.0003785009,0.0003014705,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
kPEPE,6037,6.8928266191817135e-06,1.25e-05,0.00014305730621732372,-0.0035496953,0.0006216322,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
OP,6037,3.537778582077191e-06,1.25e-05,6.269638056335264e-05,-0.0013074397,0.0006104776,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
AVAX,6037,1.7301099387112805e-06,1.25e-05,5.372480374488111e-05,-0.0005180578,0.0003084526,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
MATIC,6037,-1.3977613218486003e-06,0.0,6.447878675309505e-05,-0.000829023,0.0007130808,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
BNB,6037,-4.337461818784163e-06,1.25e-05,5.277450305406734e-05,-0.0006517008,0.0004751657,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
SUI,6037,-5.768325658439622e-06,1.25e-05,8.315531996070862e-05,-0.0008529859,0.0006637648,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
ATOM,6037,-1.0717080453867815e-05,5.8146e-06,4.77742200628652e-05,-0.0005473649,0.0004760527,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
INJ,6037,-1.265093395726354e-05,1.25e-05,0.00011465626574442166,-0.002066332,0.0006841199,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
APE,6037,-1.9426370631108164e-05,1.25e-05,0.0001228441479782325,-0.003050365,0.000480489,2023-05-12 00:00:00.048000+00:00,2025-12-16 15:00:00.025000+00:00
CRV,6026,-9.232067789578493e-06,1.25e-05,8.625199729778487e-05,-0.0012796177,0.0005170641,2023-05-15 16:00:00.409000+00:00,2025-12-16 15:00:00.025000+00:00
LDO,6025,1.8626352414937758e-05,1.25e-05,4.9335829592155884e-05,-0.0003051773,0.0004385316,2023-05-16 00:00:00.447000+00:00,2025-12-16 15:00:00.025000+00:00
STX,6018,1.1570200299102694e-05,1.25e-05,5.272920868542358e-05,-0.0005636926,0.0009083296,2023-05-18 08:00:00.038000+00:00,2025-12-16 15:00:00.025000+00:00
LINK,6018,1.119431015287471e-05,1.25e-05,4.748565023604074e-05,-0.000399796,0.0006579695,2023-05-18 08:00:00.038000+00:00,2025-12-16 15:00:00.025000+00:00
RNDR,6018,-2.6992600365569953e-06,0.0,8.37546673806603e-05,-0.0013913203,0.0011937681,2023-05-18 08:00:00.038000+00:00,2025-12-16 15:00:00.025000+00:00
MKR,6000,1.6126920183333333e-05,1.25e-05,3.3021014418229287e-05,-0.0002762418,0.0003384871,2023-07-21 05:00:00.008000+00:00,2025-12-16 15:00:00.025000+00:00
AAVE,6000,1.4735577650000001e-05,1.25e-05,3.283393569653354e-05,-0.0001386643,0.0007803584,2023-07-18 00:00:00.105000+00:00,2025-12-16 15:00:00.025000+00:00
CFX,6000,7.4275219166666665e-06,1.25e-05,4.8469913794423064e-05,-0.0005516809,0.0003246008,2023-05-25 00:00:00.233000+00:00,2025-12-16 15:00:00.025000+00:00
GMX,6000,5.710493000000001e-06,1.25e-05,4.732991586039909e-05,-0.0006092777,0.0006902356,2023-05-25 00:00:00.233000+00:00,2025-12-16 15:00:00.025000+00:00
APT,6000,2.69220395e-06,1.25e-05,3.999632748734145e-05,-0.0002236173,0.0003982172,2023-06-30 03:00:00.005000+00:00,2025-12-16 15:00:00.025000+00:00
FTM,6000,2.0728415000000005e-06,0.0,8.646988152748331e-05,-0.0012258818,0.0024080934,2023-05-25 00:00:00.233000+00:00,2025-12-16 15:00:00.025000+00:00
WLD,6000,1.8487963333333334e-06,1.25e-05,5.221599750308653e-05,-0.0005026383,0.0003729564,2023-07-24 14:00:00.105000+00:00,2025-12-16 15:00:00.025000+00:00
XRP,6000,1.689307666666667e-06,1.25e-05,3.120546946021521e-05,-0.000256497,0.000265643,2023-06-18 00:00:00.182000+00:00,2025-12-16 15:00:00.025000+00:00
SNX,6000,-8.265013066666665e-06,1.25e-05,6.177400244142961e-05,-0.0011912125,0.0002865488,2023-05-25 00:00:00.233000+00:00,2025-12-16 15:00:00.025000+00:00
BCH,6000,-1.4716665649999999e-05,4.0209e-06,4.746985189085066e-05,-0.000600894,0.0003472304,2023-06-30 03:00:00.005000+00:00,2025-12-16 15:00:00.025000+00:00
COMP,6000,-2.0671138666666666e-05,1.25e-05,0.00017094107415151476,-0.0085144476,0.0006871385,2023-07-18 00:00:00.105000+00:00,2025-12-16 15:00:00.025000+00:00
FXS,5875,2.037851959148936e-05,1.25e-05,4.915740219046847e-05,-0.0001158848,0.0004561668,2023-07-30 21:00:00.046000+00:00,2025-12-16 15:00:00.025000+00:00
HPOS,5852,0.00012813397276144908,1.25e-05,0.0004418518545307645,-0.0016274638,0.0077274825,2023-07-31 20:00:00.123000+00:00,2025-12-16 15:00:00.025000+00:00
RLB,5820,0.00013643134414089347,1.25e-05,0.0005130106441518247,-0.0030905873,0.0054091042,2023-08-02 04:00:00.173000+00:00,2025-12-16 15:00:00.025000+00:00
UNIBOT,5820,2.6560581237113405e-05,0.0,0.00042029278141605643,-0.0043550899,0.0045833785,2023-08-02 04:00:00.173000+00:00,2025-12-16 15:00:00.025000+00:00
YGG,5712,9.735026698179272e-06,1.25e-05,6.051048799020175e-05,-0.0009375,0.0007455593,2023-08-06 16:00:00.190000+00:00,2025-12-16 15:00:00.025000+00:00
TRX,5712,1.3999301645658266e-06,1.25e-05,2.807485639333691e-05,-0.0004243118,0.000475211,2023-08-06 16:00:00.190000+00:00,2025-12-16 15:00:00.025000+00:00
UNI,5585,1.2627580519247986e-05,1.25e-05,3.0534030674451995e-05,-0.0001523789,0.0002825992,2023-08-11 23:00:00.106000+00:00,2025-12-16 15:00:00.025000+00:00
kSHIB,5585,-1.1628450671441358e-06,1.13764e-05,3.705780318693673e-05,-0.0003008287,0.0002733032,2023-08-11 23:00:00.106000+00:00,2025-12-16 15:00:00.025000+00:00
FRIEND,5500,0.0001129936584,0.0,0.0005849378706900934,-0.0025530852,0.01,2023-08-21 03:00:00.089000+00:00,2025-12-16 15:00:00.025000+00:00
KAS,5500,3.803325458181818e-05,1.25e-05,7.099710158549332e-05,-0.000563395,0.0007578028,2023-10-12 18:00:00.059000+00:00,2025-12-16 15:00:00.025000+00:00
