hour_idx,hour,n_alpha,n_alpha_long,n_alpha_short,n_hedge,n_hedge_long,n_hedge_short,n_total,funding_paid,funding_received,net_funding,alpha_price_pnl,hedge_price_pnl,fees,positions_opened,positions_closed,hourly_pnl,cumulative_pnl
0,2023-06-08 00:00:00,4,0,4,9,7,2,13,0.37170616,0.39771722000000004,0.02601106000000003,-2.8520113633979305,6.1562175890526785,0.585,13,0,2.745217285654748,2.745217285654748
1,2023-06-08 01:00:00,1,0,1,4,2,2,5,0.01455923,0.015180059999999999,0.0006208299999999993,0.48309178743962156,-0.8928889938203434,0.7200000000000001,4,12,-1.1291763763807219,1.6160409092740262
2,2023-06-08 02:00:00,2,0,2,7,2,5,9,0.02638919,0.02707483,0.0006856400000000012,0.5867268618480233,1.5627018422243935,0.26999999999999996,5,1,1.8801143440724166,3.496155253346443
3,2023-06-08 03:00:00,1,0,1,5,1,4,6,0.01476514,0.01596537,0.00120023,-0.8993427879626358,-1.1452571426173714,0.22499999999999998,1,4,-2.2683997005800074,1.2277555527664354
4,2023-06-08 04:00:00,1,0,1,2,2,0,3,0.01653998,0.024887319999999997,0.008347339999999998,0.9256085018854882,-0.8204498316940418,0.22499999999999998,1,4,-0.11149398980855367,1.1162615629578818
5,2023-06-08 05:00:00,1,0,1,7,1,6,8,0.01775929,0.0187444,0.0009851100000000008,-0.5536332179930801,-1.985405434608511,0.31499999999999995,6,1,-2.8530535426015913,-1.7367919796437095
6,2023-06-08 06:00:00,1,0,1,3,2,1,4,0.02161886,0.02252378,0.00090492,0.6194081211287075,-0.1256476721027452,0.35999999999999993,2,6,0.13466536902596232,-1.6021266106177472
7,2023-06-08 07:00:00,1,0,1,2,2,0,3,0.01959644,0.022607389999999998,0.0030109499999999983,-0.45013850415512124,0.8672399149791374,0.135,1,2,0.2851123608240162,-1.317014249793731
8,2023-06-08 08:00:00,1,0,1,2,2,0,3,0.01494288,0.023141759999999997,0.008198879999999997,0.103412616339182,-1.0444230968375936,0.0,0,0,-0.9328116004984116,-2.2498258502921424
9,2023-06-08 09:00:00,1,0,1,7,1,6,8,0.017282190000000003,0.01758757,0.00030537999999999746,-0.4140786749482405,0.9258395348583431,0.31499999999999995,6,1,0.19706623991010275,-2.0527596103820396
10,2023-06-08 10:00:00,1,0,1,2,2,0,3,0.014937150000000001,0.02216277,0.007225619999999997,0.16165970631819734,-0.10408066780980527,0.4049999999999999,2,7,-0.34019534149160785,-2.3929549518736475
11,2023-06-08 11:00:00,1,0,1,4,1,3,5,0.01357136,0.014360859999999998,0.0007894999999999985,-1.0255026312238633,-0.04503734615404348,0.18,3,1,-1.2497504773779067,-3.642705429251554
12,2023-06-08 12:00:00,2,0,2,4,3,1,6,0.02485608,0.025939540000000004,0.0010834600000000048,0.8314219646974604,-1.430536157852447,0.4049999999999999,5,4,-1.0030307331549864,-4.645736162406541
13,2023-06-08 13:00:00,2,0,2,3,3,0,5,0.027808760000000002,0.03632685,0.008518089999999999,-2.1926046241371315,3.3335593634173755,0.22499999999999998,2,3,0.9244728292802439,-3.721263333126297
14,2023-06-08 14:00:00,3,0,3,13,6,7,16,0.04320318,0.04330117000000001,9.799000000000613e-05,1.1419059924318957,-2.006409869416881,0.585,12,1,-1.449405886984985,-5.170669220111282
15,2023-06-08 15:00:00,2,0,2,3,3,0,5,0.03178215,0.03755171,0.00576956,2.643820588350321,-2.2148025833792113,0.7650000000000001,3,14,-0.33021243502889025,-5.500881655140173
16,2023-06-08 16:00:00,2,0,2,7,2,5,9,0.03077788,0.03141497000000001,0.0006370900000000068,0.16698631062207134,-1.0142137066738866,0.4499999999999999,7,3,-1.2965903060518151,-6.797471961191988
17,2023-06-08 17:00:00,2,0,2,4,3,1,6,0.037995169999999995,0.03807789,8.272000000000834e-05,-0.7736538898202694,2.2593784269388753,0.31499999999999995,2,5,1.170807257118606,-5.626664704073383
18,2023-06-08 18:00:00,2,0,2,3,3,0,5,0.030570720000000003,0.03249009,0.0019193699999999966,-1.0958666830399058,0.9069446195962748,0.22499999999999998,2,3,-0.41200269344363094,-6.038667397517013
19,2023-06-08 19:00:00,2,0,2,6,2,4,8,0.025294870000000004,0.026071130000000005,0.0007762600000000008,-0.1598564019403924,-0.3354614948595406,0.4049999999999999,6,3,-0.8995416367999329,-6.938209034316946
20,2023-06-08 20:00:00,2,0,2,8,3,5,10,0.02832473,0.02920765000000001,0.0008829200000000093,0.5901695300534278,-0.41253252865514256,0.09,2,0,0.08851992139828521,-6.849689112918661
21,2023-06-08 21:00:00,2,0,2,9,3,6,11,0.033302,0.03385541,0.0005534100000000042,0.33117646926524014,-0.3377640853555669,0.4049999999999999,5,4,-0.4110342060903267,-7.260723319008988
22,2023-06-08 22:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4949999999999999,0,11,-0.4949999999999999,-7.755723319008988
23,2023-06-08 23:00:00,1,0,1,2,2,0,3,0.01234704,0.02352229,0.011175250000000001,-0.2059732234809553,-0.7245905341698627,0.135,3,0,-1.0543885076508182,-8.810111826659806
24,2023-06-09 00:00:00,1,0,1,3,1,2,4,0.01280978,0.0130745,0.00026471999999999954,0.616649537512855,-0.1348468794451829,0.135,2,1,0.34706737806767207,-8.463044448592134
25,2023-06-09 01:00:00,1,0,1,2,2,0,3,0.01851421,0.02763859,0.009124380000000001,1.6285714285714268,-1.2515927998624776,0.31499999999999995,3,4,0.0711030087089492,-8.391941439883185
26,2023-06-09 02:00:00,1,0,1,7,2,5,8,0.017959740000000002,0.018134789999999998,0.00017504999999999604,-0.34853325588149897,-0.4946164798781995,0.31499999999999995,6,1,-1.1579746857596984,-9.549916125642884
27,2023-06-09 03:00:00,1,0,1,2,2,0,3,0.01967829,0.029200800000000002,0.009522510000000001,-0.6657018813314075,-0.06852786784402032,0.31499999999999995,1,6,-1.0397072391754278,-10.589623364818312
28,2023-06-09 04:00:00,2,0,2,8,3,5,10,0.027803829999999998,0.027887830000000002,8.400000000000421e-05,0.4502656594498828,-0.2658130263485249,0.4949999999999999,9,2,-0.31046336689864196,-10.900086731716954
29,2023-06-09 05:00:00,1,0,1,2,2,0,3,0.01483964,0.023523679999999998,0.008684039999999999,0.3444712366517475,0.3835091083413265,0.4949999999999999,2,9,0.24166438499307408,-10.65842234672388
30,2023-06-09 06:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.135,0,3,-0.135,-10.79342234672388
31,2023-06-09 07:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-10.79342234672388
32,2023-06-09 08:00:00,1,0,1,2,1,1,3,0.011693750000000001,0.01287764,0.0011838899999999982,0.41228319590560014,-0.5292719509560657,0.135,3,0,-0.2508048650504656,-11.044227211774345
33,2023-06-09 09:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.135,0,3,-0.135,-11.179227211774345
34,2023-06-09 10:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-11.179227211774345
35,2023-06-09 11:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-11.179227211774345
36,2023-06-09 12:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-11.179227211774345
37,2023-06-09 13:00:00,1,0,1,9,0,9,10,0.01090671,0.01125,0.00034328999999999957,0.8146067415730313,1.5246396338450134,0.4499999999999999,10,0,1.8895896654180449,-9.2896375463563
38,2023-06-09 14:00:00,1,0,1,2,1,1,3,0.01029391,0.01135778,0.0010638699999999997,0.6825938566552907,-0.20780740172373158,0.4949999999999999,2,9,-0.01914967506844073,-9.30878722142474
39,2023-06-09 15:00:00,1,0,1,9,1,8,10,0.01107968,0.01146489,0.0003852100000000004,-0.20884093282282573,-0.6083772181196776,0.4949999999999999,9,2,-1.3118329409425034,-10.620620162367244
40,2023-06-09 16:00:00,1,0,1,3,1,2,4,0.012363599999999999,0.013152419999999998,0.0007888199999999991,0.4862799583188534,-0.681796321467433,0.4499999999999999,2,8,-0.6447275431485795,-11.265347705515824
41,2023-06-09 17:00:00,1,0,1,2,2,0,3,0.01337027,0.021876359999999997,0.008506089999999997,1.9138232720909965,-1.623371574639919,0.31499999999999995,3,4,-0.016042212548922574,-11.281389918064747
42,2023-06-09 18:00:00,1,0,1,2,1,1,3,0.012797120000000002,0.01340193,0.0006048099999999973,3.0995651689151376,-0.6544280921591442,0.09,1,1,2.3557418867559936,-8.925648031308754
43,2023-06-09 19:00:00,1,0,1,2,1,1,3,0.01022985,0.011397039999999999,0.0011671899999999985,-1.6051087331722464,0.42806156680125396,0.0,0,0,-1.1758799763709924,-10.101528007679747
44,2023-06-09 20:00:00,1,0,1,2,1,1,3,0.01357183,0.014080379999999998,0.0005085499999999982,0.07059654076951019,-0.3278534946319819,0.18,2,2,-0.4367484038624717,-10.538276411542219
45,2023-06-09 21:00:00,1,0,1,9,1,8,10,0.01006866,0.01060366,0.0005350000000000008,0.1319261213720318,1.7412393836628233,0.4949999999999999,9,2,1.378700505034855,-9.159575906507364
46,2023-06-09 22:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4499999999999999,0,10,-0.4499999999999999,-9.609575906507363
47,2023-06-09 23:00:00,1,0,1,9,0,9,10,0.01072644,0.01119933,0.0004728900000000001,1.5647226173541977,11.881328269713352,0.4499999999999999,10,0,12.99652377706755,3.3869478705601868
48,2023-06-10 00:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4499999999999999,0,10,-0.4499999999999999,2.936947870560187
49,2023-06-10 01:00:00,1,0,1,2,2,0,3,0.01747994,0.02139224,0.0039123000000000005,1.808318264014476,-3.0748200142778845,0.135,3,0,-1.3975894502634085,1.5393584202967785
50,2023-06-10 02:00:00,2,0,2,3,3,0,5,0.03297168,0.035437249999999997,0.0024655699999999933,3.8878735741223887,-6.312194391012667,0.18,3,1,-2.601855246890279,-1.0624968265935004
51,2023-06-10 03:00:00,2,0,2,3,3,0,5,0.030889609999999998,0.03857946,0.007689850000000005,24.906299388604502,-33.38352425268364,0.0,0,0,-8.46953501407914,-9.53203184067264
52,2023-06-10 04:00:00,2,0,2,6,2,4,8,0.03068803,0.031328310000000005,0.0006402800000000035,4.8714091193690905,3.078379917697987,0.22499999999999998,4,1,7.725429317067078,-1.8066025236055632
53,2023-06-10 05:00:00,3,0,3,10,10,0,13,0.28457796999999996,0.28870736,0.004129390000000066,1.3915259735155034,-5.7714632741605305,0.7650000000000001,11,6,-5.140807910645027,-6.94741043425059
54,2023-06-10 06:00:00,4,0,4,8,7,1,12,0.13880578,0.14589879,0.007093010000000011,-3.3442957226024737,6.736758248035011,0.4949999999999999,5,6,2.9045555354325376,-4.042854898818052
55,2023-06-10 07:00:00,4,0,4,6,6,0,10,0.11836785999999999,0.1207895,0.0024216400000000027,-1.6274166644905146,12.439182855575043,0.8100000000000002,8,10,10.004187831084527,5.961332932266475
56,2023-06-10 08:00:00,4,0,4,7,7,0,11,0.10310460000000002,0.10928462,0.0061800199999999805,2.5750635976609155,-4.188707118479517,0.4949999999999999,6,5,-2.102463500818601,3.858869431447874
57,2023-06-10 09:00:00,4,0,4,7,7,0,11,0.11202513000000001,0.11512426,0.0030991299999999916,-4.93844817192125,6.239664541363741,0.35999999999999993,4,4,0.9443154994424912,4.803184930890366
58,2023-06-10 10:00:00,3,0,3,6,6,0,9,0.10087179,0.10404786,0.003176070000000003,0.6894538158169554,1.0736536320651842,0.35999999999999993,3,5,1.4062835178821398,6.209468448772506
