coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,price_pnl,funding_pnl,fees,net_pnl,exit_reason,month
AVAX,LONG,2023-05-12 08:00:00+00:00,2023-05-12 16:00:00+00:00,8.0,14.931,14.844,-0.0004903539,-5.826803295157708,0.43279232413100266,0.9,-6.294010971026705,time,2023-05
AVAX,LONG,2023-05-12 16:00:00+00:00,2023-05-13 00:00:00+00:00,8.0,14.844,15.157,-0.0004353289,21.085960657504756,0.35862918068579897,0.9,20.544589838190557,time,2023-05
OP,LONG,2023-05-13 00:00:00+00:00,2023-05-13 08:00:00+00:00,8.0,1.6594,1.6488,-0.0009986473,-6.387851030492914,1.2990879699650477,0.9,-5.988763060527867,time,2023-05
DYDX,LONG,2023-05-13 08:00:00+00:00,2023-05-13 16:00:00+00:00,8.0,2.097,2.129,-0.0005115049,15.259895088221281,0.4371521285169289,0.9,14.79704721673821,time,2023-05
ATOM,LONG,2023-05-13 16:00:00+00:00,2023-05-14 00:00:00+00:00,8.0,10.967,10.859,-0.0004805183,-9.84772499316135,0.4618195959970821,0.9,-10.285905397164269,time,2023-05
APE,LONG,2023-05-14 00:00:00+00:00,2023-05-14 08:00:00+00:00,8.0,3.249,3.275,-0.0005273863,8.002462296091045,0.5031711411203447,0.9,7.605633437211388,time,2023-05
INJ,LONG,2023-05-14 08:00:00+00:00,2023-05-14 16:00:00+00:00,8.0,6.072,6.21,-0.0007045242,22.72727272727271,1.0112414318181817,0.9,22.83851415909089,time,2023-05
INJ,LONG,2023-05-14 16:00:00+00:00,2023-05-15 00:00:00+00:00,8.0,6.21,5.992,-0.0009887694,-35.10466988727858,0.8819310244122384,0.9,-35.12273886286634,time,2023-05
INJ,LONG,2023-05-15 00:00:00+00:00,2023-05-15 08:00:00+00:00,8.0,5.992,6.334,-0.0009140173,57.07610146862478,1.0358176668224297,0.9,57.21191913544721,time,2023-05
INJ,LONG,2023-05-15 08:00:00+00:00,2023-05-15 16:00:00+00:00,8.0,6.334,6.387,-0.0009798894,8.367540258920103,0.7488023408430692,0.9,8.216342599763172,time,2023-05
INJ,LONG,2023-05-15 16:00:00+00:00,2023-05-16 00:00:00+00:00,8.0,6.387,6.347,-0.0007425887,-6.262721152340559,0.5223390202442462,0.9,-6.640382132096313,time,2023-05
CRV,LONG,2023-05-16 00:00:00+00:00,2023-05-16 08:00:00+00:00,8.0,0.825,0.83,-0.0008213619,6.060606060606067,0.6790669648484849,0.9,5.839673025454552,time,2023-05
CRV,LONG,2023-05-16 08:00:00+00:00,2023-05-16 16:00:00+00:00,8.0,0.83,0.832,-0.0006749762,2.40963855421687,0.6429500530120482,0.9,2.152588607228918,time,2023-05
APE,LONG,2023-05-16 16:00:00+00:00,2023-05-17 00:00:00+00:00,8.0,3.441,3.431,-0.0006838871,-2.906131938389941,0.7089057218541122,0.9,-3.097226216535829,time,2023-05
INJ,LONG,2023-05-17 00:00:00+00:00,2023-05-17 08:00:00+00:00,8.0,6.204,6.08,-0.0007183785,-19.987105093488022,0.47775716827853004,0.9,-20.40934792520949,time,2023-05
APE,LONG,2023-05-17 08:00:00+00:00,2023-05-17 16:00:00+00:00,8.0,3.371,3.377,-0.0007617791,1.779887273805928,0.47327588104420054,0.9,1.3531631548501286,time,2023-05
CRV,LONG,2023-05-17 16:00:00+00:00,2023-05-18 00:00:00+00:00,8.0,0.818,0.832,-0.000555838,17.11491442542789,0.3290095178484108,0.9,16.543923943276305,time,2023-05
INJ,LONG,2023-05-18 00:00:00+00:00,2023-05-18 08:00:00+00:00,8.0,6.582,6.577,-0.000789124,-0.7596475235490571,0.6132005296110605,0.9,-1.0464469939379966,time,2023-05
INJ,LONG,2023-05-18 08:00:00+00:00,2023-05-18 16:00:00+00:00,8.0,6.577,6.414,-0.0006136667,-24.783335867416795,0.969140771750038,0.9,-24.714195095666756,time,2023-05
INJ,LONG,2023-05-18 16:00:00+00:00,2023-05-19 00:00:00+00:00,8.0,6.414,6.651,-0.0009937697,36.95042095416279,0.5994101240879327,0.9,36.64983107825072,time,2023-05
CRV,LONG,2023-05-19 00:00:00+00:00,2023-05-19 08:00:00+00:00,8.0,0.82,0.828,-0.0006371178,9.756097560975618,0.4169328365853659,0.9,9.273030397560984,time,2023-05
INJ,LONG,2023-05-19 08:00:00+00:00,2023-05-19 16:00:00+00:00,8.0,6.816,7.073,-0.0006944318,37.70539906103295,0.682324610225939,0.9,37.48772367125889,time,2023-05
INJ,LONG,2023-05-19 16:00:00+00:00,2023-05-20 00:00:00+00:00,8.0,7.073,6.941,-0.0006575321,-18.662519440124495,1.3967049575427684,0.9,-18.165814482581723,time,2023-05
CRV,LONG,2023-05-20 00:00:00+00:00,2023-05-20 08:00:00+00:00,8.0,0.823,0.829,-0.000666425,7.29040097205347,0.6626077132442285,0.9,7.053008685297698,time,2023-05
INJ,LONG,2023-05-20 08:00:00+00:00,2023-05-20 16:00:00+00:00,8.0,7.042,7.238,-0.0007515444,27.833001988071658,1.512248229025845,0.9,28.445250217097502,time,2023-05
CRV,LONG,2023-05-20 16:00:00+00:00,2023-05-21 00:00:00+00:00,8.0,0.826,0.833,-0.0005598635,8.47457627118645,0.6051406152542373,0.9,8.179716886440687,time,2023-05
INJ,LONG,2023-05-21 00:00:00+00:00,2023-05-21 08:00:00+00:00,8.0,7.267,7.039,-0.0006126812,-31.374707582221085,0.4774601065776799,0.9,-31.797247475643402,time,2023-05
CRV,LONG,2023-05-21 08:00:00+00:00,2023-05-21 16:00:00+00:00,8.0,0.827,0.833,-0.0005558389,7.25513905683193,0.8634617120918985,0.9,7.218600768923828,time,2023-05
CRV,LONG,2023-05-21 16:00:00+00:00,2023-05-22 00:00:00+00:00,8.0,0.833,0.829,-0.0008572423,-4.801920768307328,0.8453436404561826,0.9,-4.856577127851145,time,2023-05
CRV,LONG,2023-05-22 00:00:00+00:00,2023-05-22 08:00:00+00:00,8.0,0.829,0.843,-0.0008494225,16.88781664656214,0.746127504101327,0.9,16.73394415066347,time,2023-05
APE,LONG,2023-05-22 08:00:00+00:00,2023-05-22 16:00:00+00:00,8.0,3.445,3.42,-0.0007864115,-7.256894049346854,0.6874537532656023,0.9,-7.469440296081252,time,2023-05
APE,LONG,2023-05-22 16:00:00+00:00,2023-05-23 00:00:00+00:00,8.0,3.42,3.423,-0.000692479,0.8771929824561736,0.6965132410526316,0.9,0.6737062235088053,time,2023-05
APE,LONG,2023-05-23 00:00:00+00:00,2023-05-23 08:00:00+00:00,8.0,3.423,3.486,-0.0006959028,18.404907975460173,0.5805624932515338,0.9,18.08547046871171,time,2023-05
INJ,LONG,2023-05-23 08:00:00+00:00,2023-05-23 16:00:00+00:00,8.0,6.806,6.851,-0.0007000525,6.611813106082857,0.7615570996032912,0.9,6.473370205686148,time,2023-05
CRV,LONG,2023-05-23 16:00:00+00:00,2023-05-24 00:00:00+00:00,8.0,0.874,0.88,-0.0008223383,6.864988558352409,0.20332389931350114,0.9,6.16831245766591,time,2023-05
ETH,LONG,2023-05-24 00:00:00+00:00,2023-05-24 08:00:00+00:00,8.0,1848.88,1817.8,-0.0006643767,-16.810176972004754,0.6634504951213708,0.9,-17.046726476883382,time,2023-05
ETH,LONG,2023-05-24 08:00:00+00:00,2023-05-24 16:00:00+00:00,8.0,1817.8,1788.78,-0.0006747939,-15.964352514027937,0.5477881424678183,0.9,-16.31656437156012,time,2023-05
