target_coin,hedge_coins,n_hedges,hour,position_type,weights,target_funding,hedge_funding_total,funding_pnl,price_pnl,hedge_pnl,gross_pnl,trading_fee,net_pnl,valid,correlation,net_funding,reached_threshold
YZY,"ETH,PROMPT,MORPHO",3,2025-08-25 11:00:00,long,"1.3336,0.0892,0.3024",-0.001748359,0.0,0.001748359,-0.004421774628762365,-0.01646496131469464,-0.019138376943457006,0.00245258127949288,-0.021590958222949885,True,0.33208540311055185,0.001748359,False
YZY,"ETH,MORPHO,PROMPT",3,2025-08-25 12:00:00,long,"1.3735,0.3038,0.0803",-0.001579895,0.0,0.001579895,-0.011418279739110693,0.0026334003879004246,-0.0072049843512102685,0.0024818532540325216,-0.00968683760524279,True,0.3382495616814752,0.001579895,False
YZY,"ETH,PROMPT,MORPHO",3,2025-08-25 18:00:00,long,"1.3542,0.0932,0.3151",-0.0016562602,0.0,0.0016562602,0.032003436610642755,0.06287061869750998,0.09653031550815275,0.0024862979503734606,0.09404401755777929,True,0.34197520482850324,0.0016562602,False
YZY,"ETH,MORPHO,PROMPT",3,2025-08-25 19:00:00,long,"1.3360,0.3312,0.0836",-0.0020126794,0.0,0.0020126794,-0.04242329639072451,0.028269211190956635,-0.012141405799767871,0.0024757364152255545,-0.014617142214993425,True,0.3341819282295433,0.0020126794,False
YZY,"ETH,PROMPT,MNT",3,2025-08-25 20:00:00,long,"1.0945,0.0774,0.2646",-0.0013108966,0.0,0.0013108966,0.008875043016790096,0.009536625993643816,0.019722565610433913,0.002192840226837924,0.017529725383595988,True,0.28391424824633676,0.0013108966,False
YZY,"MAVIA,BIO,MAV,PAXG",4,2025-09-01 21:00:00,long,"0.5183,0.0671,0.0508,0.4576",-0.0010757958,0.0,0.0010757958,-0.006875115786006858,-0.003224002323671004,-0.009023322309677862,0.0018843791295182868,-0.010907701439196149,True,0.46730452093083014,0.0010757958,False
YZY,"MAVIA,BIO,MAV,PAXG",4,2025-09-01 22:00:00,long,"0.4974,0.0643,0.0529,0.5632",-0.001342208,0.0,0.001342208,0.008166310858706227,-0.00895230403257601,0.0005562148261302156,0.001959969533373145,-0.0014037547072429293,True,0.4531583620431004,0.001342208,False
YZY,"MAVIA,BIO,MAV,PAXG",4,2025-09-01 23:00:00,long,"0.4929,0.0655,0.0540,0.5780",-0.0011389216,0.0,0.0011389216,0.010998951501819398,-0.001545554863484437,0.010592318238334963,0.001971352479967681,0.008620965758367282,True,0.4506395584331491,0.0011389216,False
YZY,"MAVIA,BIO,MAV,PAXG",4,2025-09-02 00:00:00,long,"0.4960,0.0673,0.0555,0.4846",-0.0010186303,0.0,0.0010186303,-0.006913941760208098,-0.0068483519113549125,-0.01274366337156301,0.0018930944130121652,-0.014636757784575176,True,0.4562182229481614,0.0010186303,False
BIO,"TIA,PROMPT",2,2025-09-05 18:00:00,long,"0.9941,0.1507",-0.0017717782,1.4310238783544578e-05,0.0017860884387835446,0.003075438702285327,-0.004002711482389794,0.0008588156586790772,0.0019303371924152095,-0.0010715215337361323,True,0.5693139841289966,0.0017574679612164554,False
BIO,"DYM,PROMPT,WLFI",3,2025-09-05 19:00:00,long,"0.8268,0.1597,0.0291",-0.0019723595,1.1822385809165466e-05,0.001984181885809166,-0.023806661055669087,0.004078228605447734,-0.017744250564412187,0.0018141377488635336,-0.01955838831327572,True,0.5802948323180999,0.0019605371141908348,False
BIO,"DYM,PROMPT,WLFI",3,2025-09-05 20:00:00,long,"0.8398,0.1576,0.0291",-0.001102983,1.115353485192293e-05,0.0011141365348519231,0.029498706737282943,0.0028587781942978094,0.03347162146643267,0.001823857114307879,0.03164776435212479,True,0.5835380193262645,0.001091829465148077,False
BIO,"TIA,PROMPT",2,2025-09-05 21:00:00,long,"1.0041,0.1861",-0.0010360694,1.4876717278929282e-05,0.0010509461172789293,0.008733624454148492,-0.001988537180133947,0.007796033391293475,0.001971123644082908,0.005824909747210567,True,0.5816076422821412,0.0010211926827210708,False
BIO,"DYM,PROMPT,WLFI",3,2025-09-05 23:00:00,long,"0.8132,0.2138,0.0296",-0.0010420621,1.3206524736818796e-05,0.0010552686247368187,0.027307737192204362,0.0010627732649888936,0.029425779081930076,0.0018508697810509533,0.027574909300879122,True,0.5822197855163094,0.0010288555752631812,False
BIO,"ETHFI,PROMPT,WLFI",3,2025-09-06 02:00:00,long,"0.8129,0.2158,0.0274",-0.0011619111,1.320209072201585e-05,0.0011751131907220159,0.0077329624478441605,0.004171823017016329,0.013079898655582506,0.0018505505319851413,0.011229348123597365,True,0.5707625787473586,0.0011487090092779843,False
BIO,"ETHFI,PROMPT,WLFI",3,2025-09-06 03:00:00,long,"0.8235,0.2090,0.0289",-0.0013554528,1.326753076070487e-05,0.001368720330760705,0.014463950535497538,-0.001100033346973946,0.014732637519284296,0.0018552622147707505,0.012877375304513546,True,0.5679879100947408,0.0013421852692392952,False
BIO,"ETHFI,PROMPT,WLFI",3,2025-09-06 04:00:00,long,"0.8167,0.2081,0.0298",-0.0012877979,1.3183090038302833e-05,0.0013009809900383028,-0.027481497605572502,0.008659889875218593,-0.01752062674031561,0.0018491824827578038,-0.019369809223073412,True,0.5623153430405985,0.001274614809961697,False
BIO,"ETHFI,PROMPT,PAXG",3,2025-09-06 15:00:00,long,"0.8545,0.2109,0.5106",-0.0010157407,1.9698713759570186e-05,0.0010354394137595702,-0.0046122801960218895,-0.009644213549074129,-0.013221054331336447,0.0023183073906890535,-0.0155393617220255,True,0.5632071656071315,0.0009960419862404298,False
KAITO,"WCT,WLD,PAXG",3,2025-09-09 02:00:00,long,"1.4053,0.1452,0.8012",-0.0010180047,2.9395829247380356e-05,0.00104740052924738,-0.0008441193021946347,-0.028735884182925848,-0.028532602955873104,0.0030164997058113856,-0.03154910266168449,True,0.6415909273935859,0.0009886088707526195,False
KAITO,"ME,WLD,PAXG",3,2025-09-09 03:00:00,long,"1.6019,0.2028,0.7061",-0.0010775282,-0.0002811497513385807,0.0007963784486614193,-0.037313432835821,0.008193485850866388,-0.028323568536293194,0.0031597255262148585,-0.03148329406250805,True,0.6268645994109299,0.0013586779513385808,False
KAITO,"ME,WLD,PAXG,GRASS",4,2025-09-09 04:00:00,long,"1.5858,0.1695,0.8004,0.0819",-0.0011244215,-0.00019392162454908918,0.0009304998754509108,0.004972941348544868,-0.0052780240152672485,0.0006254172087285306,0.0032737192480363185,-0.002648302039307788,True,0.6171568662442433,0.0013183431245490892,False
KAITO,"ME,WLD,PAXG",3,2025-09-09 11:00:00,long,"1.6824,0.1734,0.5645",-0.0012906422,-0.0005057579985748016,0.0007848842014251983,-0.029803047194351562,0.031166467450208717,0.0021483044572823545,0.0030782028975300914,-0.0009298984402477369,True,0.6116484107067572,0.0017964001985748016,False
KAITO,"ME,WLD,PAXG",3,2025-09-09 12:00:00,long,"1.6665,0.1728,0.6558",-0.0011238827,-0.00028765025660961114,0.0008362324433903888,-0.00045962923241915643,-0.020195119493355958,-0.019818516282384725,0.003145588936667142,-0.022964105219051865,True,0.6008316768736656,0.001411532956609611,False
KAITO,"ME,WLD",2,2025-09-10 01:00:00,long,"1.7216,0.1711",-0.0037201704,-0.00015385579434156187,0.0035663146056584384,-0.014510364546104326,-0.010084222140954177,-0.021028272081400068,0.002603450580317514,-0.02363172266171758,True,0.5259546123835733,0.003874026194341562,False
KAITO,"ME,WLD",2,2025-09-10 02:00:00,long,"1.7221,0.1686",-0.0024410683,-0.00014660059549503795,0.002294467704504962,-0.030173351708130958,0.0024494655372720936,-0.025429418466353902,0.0026016790819365695,-0.028031097548290473,True,0.5276419166222621,0.002587668895495038,False
KAITO,"ME,WLD",2,2025-09-10 03:00:00,long,"1.6941,0.1718",-0.0021843355,-0.0001151569086295261,0.002069178591370474,-0.011741829332136744,0.008521030705913446,-0.0011516200348528228,0.002579333361115533,-0.0037309533959683557,True,0.5224682485653755,0.0022994924086295263,False
KAITO,"ME,WLD",2,2025-09-10 04:00:00,long,"1.6901,0.1842",-0.0014850689,-0.00014932182340976927,0.0013357470765902309,-0.008021795065839221,0.011223337644275935,0.004537289655026944,0.002586835169676235,0.0019504544853507092,True,0.5236050149986007,0.0016343907234097693,False
OMNI,"ORDI,OM",2,2025-09-10 04:00:00,long,"0.8595,0.2653",-0.0019533808,1.4060099153632456e-05,0.0019674408991536326,-0.0070725359284826705,0.03876866415416178,0.033663569124832746,0.0019123271390615367,0.03175124198577121,True,0.5041308660025482,0.0019393207008463675,False
KAITO,"ME,WLD",2,2025-09-10 05:00:00,long,"1.6932,0.1832",-0.001020611,-0.00010177722076340671,0.0009188337792365933,-0.005035093072932484,-0.006075852391250913,-0.010192111684946804,0.0025887061736358545,-0.01278081785858266,True,0.5249863360378645,0.0011223882207634067,False
OMNI,"OM,HYPER,LINEA",3,2025-09-10 05:00:00,long,"1.2067,0.1999,0.0404",-0.0021190544,1.8087409418578272e-05,0.0021371418094185786,0.0018804490284347608,-0.006782127622796385,-0.002764536784943046,0.0022022934781376355,-0.004966830263080682,True,0.5077391980441549,0.0021009669905814217,False
OMNI,"OM,HYPER,LINEA",3,2025-09-10 06:00:00,long,"1.2020,0.1950,0.0412",-0.00204736,1.7977092191304345e-05,0.002065337092191304,0.0455579570014788,0.0014986225068715628,0.04912191660054167,0.002194350637773913,0.04692756596276775,True,0.507494486865145,0.0020293829078086956,False
