coin,timestamp,price
0G,2025-12-29 08:00:00,1.0497
ANIME,2025-12-29 08:00:00,0.007902
BTC,2025-12-29 08:00:00,89513.0
KAITO,2025-12-29 08:00:00,0.54682
0G,2025-12-29 09:00:00,1.0637
ANIME,2025-12-29 09:00:00,0.007967
BTC,2025-12-29 09:00:00,88084.0
KAITO,2025-12-29 09:00:00,0.53559
0G,2025-12-29 10:00:00,1.0643
ANIME,2025-12-29 10:00:00,0.008001
BTC,2025-12-29 10:00:00,87742.0
KAITO,2025-12-29 10:00:00,0.53864
RESOLV,2025-12-29 10:00:00,0.072977
0G,2025-12-29 11:00:00,1.0686
ANIME,2025-12-29 11:00:00,0.008076
BTC,2025-12-29 11:00:00,87527.0
RESOLV,2025-12-29 11:00:00,0.072839
0G,2025-12-29 12:00:00,1.0448
ANIME,2025-12-29 12:00:00,0.007952
BTC,2025-12-29 12:00:00,87336.0
RESOLV,2025-12-29 12:00:00,0.074356
0G,2025-12-29 13:00:00,1.0415
ANIME,2025-12-29 13:00:00,0.007909
BTC,2025-12-29 13:00:00,87352.0
RESOLV,2025-12-29 13:00:00,0.073827
0G,2025-12-29 14:00:00,1.0201
ANIME,2025-12-29 14:00:00,0.007861
BTC,2025-12-29 14:00:00,87411.0
LAYER,2025-12-29 14:00:00,0.17206
RESOLV,2025-12-29 14:00:00,0.073025
0G,2025-12-29 15:00:00,1.0187
ANIME,2025-12-29 15:00:00,0.007883
BTC,2025-12-29 15:00:00,87667.0
LAYER,2025-12-29 15:00:00,0.17529
SOPH,2025-12-29 15:00:00,0.012715
0G,2025-12-29 16:00:00,1.0228
ANIME,2025-12-29 16:00:00,0.008245
BTC,2025-12-29 16:00:00,87609.0
LAYER,2025-12-29 16:00:00,0.17203
SOPH,2025-12-29 16:00:00,0.012723
0G,2025-12-29 17:00:00,1.0186
ANIME,2025-12-29 17:00:00,0.008061
BTC,2025-12-29 17:00:00,87835.0
LAYER,2025-12-29 17:00:00,0.17219
0G,2025-12-29 18:00:00,1.0081
ANIME,2025-12-29 18:00:00,0.007972
BTC,2025-12-29 18:00:00,87428.0
LAYER,2025-12-29 18:00:00,0.17036
RESOLV,2025-12-29 18:00:00,0.072259
0G,2025-12-29 19:00:00,1.0145
ANIME,2025-12-29 19:00:00,0.007893
BTC,2025-12-29 19:00:00,87337.0
RESOLV,2025-12-29 19:00:00,0.072696
0G,2025-12-29 20:00:00,1.0065
ANIME,2025-12-29 20:00:00,0.007859
BTC,2025-12-29 20:00:00,87215.0
RESOLV,2025-12-29 20:00:00,0.072121
0G,2025-12-29 21:00:00,1.0025
ANIME,2025-12-29 21:00:00,0.007907
BLAST,2025-12-29 21:00:00,0.000703
BTC,2025-12-29 21:00:00,87337.0
RESOLV,2025-12-29 21:00:00,0.072544
0G,2025-12-29 22:00:00,1.0099
ANIME,2025-12-29 22:00:00,0.008015
BLAST,2025-12-29 22:00:00,0.000701
BTC,2025-12-29 22:00:00,87343.0
KAITO,2025-12-29 22:00:00,0.53722
0G,2025-12-29 23:00:00,1.0017
ANIME,2025-12-29 23:00:00,0.007833
BTC,2025-12-29 23:00:00,87228.0
KAITO,2025-12-29 23:00:00,0.54102
0G,2025-12-30 00:00:00,0.99885
ANIME,2025-12-30 00:00:00,0.00759
BTC,2025-12-30 00:00:00,87250.0
KAITO,2025-12-30 00:00:00,0.5341
0G,2025-12-30 01:00:00,1.0066
ANIME,2025-12-30 01:00:00,0.007487
BTC,2025-12-30 01:00:00,87298.0
KAITO,2025-12-30 01:00:00,0.52932
0G,2025-12-30 02:00:00,0.98068
ANIME,2025-12-30 02:00:00,0.007431
BTC,2025-12-30 02:00:00,87094.0
KAITO,2025-12-30 02:00:00,0.53411
SOPH,2025-12-30 02:00:00,0.01286
0G,2025-12-30 03:00:00,0.98385
BTC,2025-12-30 03:00:00,87356.0
KAITO,2025-12-30 03:00:00,0.5249
SOPH,2025-12-30 03:00:00,0.012996
TST,2025-12-30 03:00:00,0.0194
0G,2025-12-30 04:00:00,0.97659
BTC,2025-12-30 04:00:00,87287.0
SOPH,2025-12-30 04:00:00,0.012824
TST,2025-12-30 04:00:00,0.01927
0G,2025-12-30 05:00:00,0.96197
BLAST,2025-12-30 05:00:00,0.000687
BTC,2025-12-30 05:00:00,87240.0
SOPH,2025-12-30 05:00:00,0.012606
TST,2025-12-30 05:00:00,0.0194
0G,2025-12-30 06:00:00,0.95998
BLAST,2025-12-30 06:00:00,0.000687
BTC,2025-12-30 06:00:00,87433.0
TST,2025-12-30 06:00:00,0.019289
0G,2025-12-30 07:00:00,0.96642
BLAST,2025-12-30 07:00:00,0.000688
BTC,2025-12-30 07:00:00,87482.0
TST,2025-12-30 07:00:00,0.0193
0G,2025-12-30 08:00:00,0.97551
BLAST,2025-12-30 08:00:00,0.000694
BTC,2025-12-30 08:00:00,87849.0
TST,2025-12-30 08:00:00,0.019424
0G,2025-12-30 09:00:00,1.0023
BLAST,2025-12-30 09:00:00,0.000697
BTC,2025-12-30 09:00:00,87982.0
SOPH,2025-12-30 09:00:00,0.012743
TST,2025-12-30 09:00:00,0.019466
0G,2025-12-30 10:00:00,0.98213
BLAST,2025-12-30 10:00:00,0.000694
BTC,2025-12-30 10:00:00,87940.0
SOPH,2025-12-30 10:00:00,0.012778
TST,2025-12-30 10:00:00,0.01945
0G,2025-12-30 11:00:00,0.98386
BLAST,2025-12-30 11:00:00,0.000699
BTC,2025-12-30 11:00:00,87874.0
TST,2025-12-30 11:00:00,0.01943
WCT,2025-12-30 11:00:00,0.090918
0G,2025-12-30 12:00:00,0.97847
BTC,2025-12-30 12:00:00,87999.0
TST,2025-12-30 12:00:00,0.019434
WCT,2025-12-30 12:00:00,0.095067
0G,2025-12-30 13:00:00,0.97703
BTC,2025-12-30 13:00:00,88096.0
TST,2025-12-30 13:00:00,0.019432
WCT,2025-12-30 13:00:00,0.09406
0G,2025-12-30 14:00:00,0.97977
BTC,2025-12-30 14:00:00,88845.0
TST,2025-12-30 14:00:00,0.019295
WCT,2025-12-30 14:00:00,0.09527
0G,2025-12-30 15:00:00,0.98675
BTC,2025-12-30 15:00:00,88973.0
TST,2025-12-30 15:00:00,0.019399
WCT,2025-12-30 15:00:00,0.093604
0G,2025-12-30 16:00:00,0.98604
BTC,2025-12-30 16:00:00,88721.0
TST,2025-12-30 16:00:00,0.019382
WCT,2025-12-30 16:00:00,0.089746
0G,2025-12-30 17:00:00,0.98736
BTC,2025-12-30 17:00:00,88338.0
TST,2025-12-30 17:00:00,0.019382
WCT,2025-12-30 17:00:00,0.094194
0G,2025-12-30 18:00:00,0.99799
BTC,2025-12-30 18:00:00,88273.0
TST,2025-12-30 18:00:00,0.019301
WCT,2025-12-30 18:00:00,0.093971
0G,2025-12-30 19:00:00,1.0127
BTC,2025-12-30 19:00:00,88184.0
TST,2025-12-30 19:00:00,0.01929
WCT,2025-12-30 19:00:00,0.093158
0G,2025-12-30 20:00:00,0.99897
BTC,2025-12-30 20:00:00,87894.0
TST,2025-12-30 20:00:00,0.019248
WCT,2025-12-30 20:00:00,0.091726
0G,2025-12-30 21:00:00,1.0075
BTC,2025-12-30 21:00:00,88251.0
TST,2025-12-30 21:00:00,0.019249
