coin,entry_hour,exit_hour,entry_price,exit_price,entry_fr,exit_fr,hold_hours,price_return,funding_paid,gross_pnl,net_pnl,exit_reason,fr_bucket,month
INJ,2023-05-12 08:00:00,2023-05-12 09:00:00,5.95,5.99,-0.0011414931,0.0,1,-0.006722689075630258,0.0011414931,-0.007864182175630258,-0.008764182175630257,normalized,-0.20% to -0.10%,2023-05
INJ,2023-05-12 16:00:00,2023-05-12 17:00:00,5.767,5.733,-0.0014033931,0.0,1,0.005895612970348655,0.0014033931,0.0044922198703486555,0.003592219870348656,normalized,-0.20% to -0.10%,2023-05
INJ,2023-05-13 00:00:00,2023-05-13 01:00:00,6.006,5.989,-0.0016208803,0.0,1,0.002830502830502888,0.0016208803,0.0012096225305028882,0.0003096225305028882,normalized,-0.20% to -0.10%,2023-05
INJ,2023-05-13 08:00:00,2023-05-13 09:00:00,6.085,6.138,-0.002066332,0.0,1,-0.008709942481511903,0.002066332,-0.010776274481511904,-0.011676274481511904,normalized,-0.30% to -0.20%,2023-05
OP,2023-05-13 08:00:00,2023-05-13 09:00:00,1.6488,1.6592,-0.0013074397,0.0,1,-0.00630761766132943,0.0013074397,-0.0076150573613294305,-0.008515057361329431,normalized,-0.20% to -0.10%,2023-05
INJ,2023-05-13 16:00:00,2023-05-13 17:00:00,6.056,5.991,-0.0018899542,0.0,1,0.010733157199471663,0.0018899542,0.008843202999471663,0.007943202999471663,normalized,-0.20% to -0.10%,2023-05
OP,2023-05-13 16:00:00,2023-05-13 17:00:00,1.6393,1.6381,-0.0012215588,0.0,1,0.0007320197645336973,0.0012215588,-0.0004895390354663027,-0.0013895390354663026,normalized,-0.20% to -0.10%,2023-05
INJ,2023-05-14 00:00:00,2023-05-14 01:00:00,5.994,5.906,-0.0014118121,0.0,1,0.014681348014681362,0.0014118121,0.013269535914681363,0.012369535914681363,normalized,-0.20% to -0.10%,2023-05
OP,2023-05-14 00:00:00,2023-05-14 01:00:00,1.623,1.6083,-0.0012820483,0.0,1,0.009057301293900146,0.0012820483,0.007775252993900146,0.006875252993900146,normalized,-0.20% to -0.10%,2023-05
OP,2023-05-14 08:00:00,2023-05-14 09:00:00,1.6483,1.6415,-0.0012361181,0.0,1,0.00412546259782815,0.0012361181,0.0028893444978281497,0.00198934449782815,normalized,-0.20% to -0.10%,2023-05
OP,2023-05-14 16:00:00,2023-05-14 17:00:00,1.6461,1.6449,-0.0012555717,0.0,1,0.0007289958082740222,0.0012555717,-0.0005265758917259778,-0.0014265758917259778,normalized,-0.20% to -0.10%,2023-05
OP,2023-05-15 00:00:00,2023-05-15 01:00:00,1.6113,1.6541,-0.0010207031,0.0,1,-0.026562403028610408,0.0010207031,-0.027583106128610407,-0.028483106128610408,normalized,-0.20% to -0.10%,2023-05
INJ,2023-05-20 00:00:00,2023-05-20 01:00:00,6.941,6.977,-0.0014232667,0.0,1,-0.005186572539979899,0.0014232667,-0.006609839239979899,-0.007509839239979899,normalized,-0.20% to -0.10%,2023-05
INJ,2023-05-20 16:00:00,2023-05-20 17:00:00,7.238,7.346,-0.0014712976,0.0,1,-0.014921248963802106,0.0014712976,-0.016392546563802107,-0.017292546563802108,normalized,-0.20% to -0.10%,2023-05
APE,2023-05-25 00:00:00,2023-05-25 01:00:00,3.303,3.23,-0.0011029491,0.0,1,0.022101120193763233,0.0011029491,0.020998171093763233,0.02009817109376323,normalized,-0.20% to -0.10%,2023-05
APE,2023-05-25 08:00:00,2023-05-25 09:00:00,3.222,3.231,-0.0012202699,0.0,1,-0.002793296089385443,0.0012202699,-0.004013565989385443,-0.0049135659893854424,normalized,-0.20% to -0.10%,2023-05
APE,2023-05-25 16:00:00,2023-05-25 17:00:00,3.238,3.246,-0.0011159333,0.0,1,-0.0024706609017912315,0.0011159333,-0.0035865942017912315,-0.004486594201791231,normalized,-0.20% to -0.10%,2023-05
APE,2023-05-26 00:00:00,2023-05-26 01:00:00,3.204,3.225,-0.0011408703,0.0,1,-0.00655430711610484,0.0011408703,-0.00769517741610484,-0.00859517741610484,normalized,-0.20% to -0.10%,2023-05
CRV,2023-05-31 00:00:00,2023-05-31 01:00:00,0.838,0.836,-0.0010200016,0.0,1,0.0023866348448687374,0.0010200016,0.0013666332448687374,0.0004666332448687374,normalized,-0.20% to -0.10%,2023-05
APE,2023-05-31 16:00:00,2023-05-31 17:00:00,3.125,3.144,-0.0010125628,0.0,1,-0.006080000000000041,0.0010125628,-0.007092562800000041,-0.007992562800000042,normalized,-0.20% to -0.10%,2023-05
CRV,2023-05-31 16:00:00,2023-05-31 17:00:00,0.81,0.814,-0.0010283701,0.0,1,-0.004938271604938139,0.0010283701,-0.005966641704938139,-0.006866641704938139,normalized,-0.20% to -0.10%,2023-05
APE,2023-06-01 00:00:00,2023-06-01 01:00:00,3.156,3.158,-0.0010896553,0.0,1,-0.0006337135614701456,0.0010896553,-0.0017233688614701455,-0.0026233688614701453,normalized,-0.20% to -0.10%,2023-06
APE,2023-06-06 00:00:00,2023-06-06 01:00:00,2.871,2.861,-0.00229366,0.0,1,0.0034831069313827193,0.00229366,0.0011894469313827195,0.0002894469313827195,normalized,-0.30% to -0.20%,2023-06
CRV,2023-06-06 00:00:00,2023-06-06 01:00:00,0.773,0.767,-0.0012796177,0.0,1,0.007761966364812425,0.0012796177,0.006482348664812425,0.005582348664812426,normalized,-0.20% to -0.10%,2023-06
APE,2023-06-06 08:00:00,2023-06-06 09:00:00,3.006,3.087,-0.001511535,0.0,1,-0.026946107784431274,0.001511535,-0.028457642784431275,-0.029357642784431277,normalized,-0.20% to -0.10%,2023-06
INJ,2023-06-06 08:00:00,2023-06-06 09:00:00,7.135,7.154,-0.0014267224,0.0,1,-0.0026629292221443768,0.0014267224,-0.0040896516221443765,-0.004989651622144376,normalized,-0.20% to -0.10%,2023-06
APE,2023-06-06 16:00:00,2023-06-06 17:00:00,3.187,3.182,-0.0010728399,0.0,1,0.001568873548791934,0.0010728399,0.0004960336487919339,-0.00040396635120806606,normalized,-0.20% to -0.10%,2023-06
SNX,2023-06-06 16:00:00,2023-06-06 17:00:00,2.243,2.274,-0.0011912125,0.0,1,-0.013820775746767783,0.0011912125,-0.015011988246767784,-0.015911988246767785,normalized,-0.20% to -0.10%,2023-06
FTM,2023-06-06 16:00:00,2023-06-06 17:00:00,0.302,0.3031,-0.0012258818,0.0,1,-0.0036423841059602313,0.0012258818,-0.004868265905960231,-0.005768265905960231,normalized,-0.20% to -0.10%,2023-06
APE,2023-06-07 08:00:00,2023-06-07 09:00:00,2.972,2.925,-0.0016805698,0.0,1,0.015814266487214047,0.0016805698,0.014133696687214047,0.013233696687214047,normalized,-0.20% to -0.10%,2023-06
APE,2023-06-07 16:00:00,2023-06-07 17:00:00,2.879,2.885,-0.0015865591,0.0,1,-0.0020840569642236136,0.0015865591,-0.0036706160642236136,-0.004570616064223614,normalized,-0.20% to -0.10%,2023-06
APE,2023-06-08 00:00:00,2023-06-09 06:00:00,2.885,2.893,-0.0011449636,-8.98095e-05,30,-0.002772963604852689,0.005449382000000001,-0.00822234560485269,-0.00912234560485269,normalized,-0.20% to -0.10%,2023-06
APE,2023-06-10 05:00:00,2023-06-12 11:00:00,2.334,2.285,-0.0010865877,-8.63978e-05,54,0.020994001713796027,0.012983711699999996,0.008010290013796032,0.007110290013796032,normalized,-0.20% to -0.10%,2023-06
COMP,2023-07-31 20:00:00,2023-07-31 23:00:00,67.2,66.27,-0.0010996452,-7.48057e-05,3,0.013839285714285816,0.0036035977,0.010235688014285815,0.009335688014285816,normalized,-0.20% to -0.10%,2023-07
SEI,2023-08-30 10:00:00,2023-08-30 15:00:00,0.1592,0.1553,-0.0018225418,-7.04245e-05,5,0.02449748743718602,0.006377007099999999,0.01812048033718602,0.01722048033718602,normalized,-0.20% to -0.10%,2023-08
SEI,2023-08-31 05:00:00,2023-08-31 08:00:00,0.145,0.1436,-0.0010528522,-4.30686e-05,3,0.009655172413792998,0.0015882841000000002,0.008066888313792998,0.007166888313792998,normalized,-0.20% to -0.10%,2023-08
TRB,2023-09-17 04:00:00,2023-09-17 19:00:00,38.912,31.381,-0.0039556609,-8.37582e-05,15,0.19353926809210523,0.047153345799999996,0.14638592229210523,0.14548592229210522,normalized,-0.50% to -0.30%,2023-09
