coin,entry_hour,exit_hour,entry_price,exit_price,entry_fr,exit_fr,hold_hours,price_return,funding_paid,gross_pnl,net_pnl,exit_reason,fr_bucket,month
SOPH,2025-05-28 15:00:00,2025-05-31 15:00:00,0.066381,0.049115,-0.0016590006,-0.000821328,72,0.2601045479881291,0.07697978510000003,0.18312476288812907,0.18222476288812905,timeout,-0.20% to -0.10%,2025-05
PROVE,2025-08-06 04:00:00,2025-08-06 23:00:00,1.3335,1.091,-0.0044716302,-7.44555e-05,19,0.18185226846644167,0.027602135099999994,0.15425013336644167,0.15335013336644165,normalized,-0.50% to -0.30%,2025-08
YZY,2025-08-21 13:00:00,2025-08-22 04:00:00,0.93686,0.77101,-0.0013888313,1.20506e-05,15,0.1770275174519139,0.013045477199999997,0.1639820402519139,0.1630820402519139,normalized,-0.20% to -0.10%,2025-08
WLFI,2025-08-23 21:00:00,2025-08-25 02:00:00,0.29558,0.22697,-0.0010395945,-7.64589e-05,29,0.2321198998579065,0.0177109844,0.2144089154579065,0.21350891545790648,normalized,-0.20% to -0.10%,2025-08
BIO,2025-09-05 18:00:00,2025-09-07 12:00:00,0.16583,0.16779,-0.0017717782,-9.65578e-05,42,-0.011819333051920579,0.027123300500000003,-0.03894263355192058,-0.03984263355192058,normalized,-0.20% to -0.10%,2025-09
KAITO,2025-09-09 02:00:00,2025-09-12 02:00:00,1.4216,1.231,-0.0010180047,-0.0001864851,72,0.13407428249859304,0.05054676319999998,0.08352751929859306,0.08262751929859306,timeout,-0.20% to -0.10%,2025-09
OMNI,2025-09-10 04:00:00,2025-09-13 04:00:00,3.5348,3.6185,-0.0019533808,-0.0003286143,72,-0.02367885028855943,0.08559126169999996,-0.10927011198855939,-0.11017011198855939,timeout,-0.20% to -0.10%,2025-09
LINEA,2025-09-10 17:00:00,2025-09-10 18:00:00,0.026561,0.025138,-0.0018308451,2.37206e-05,1,0.05357479010579423,0.0018308451,0.05174394500579423,0.050843945005794235,normalized,-0.20% to -0.10%,2025-09
MERL,2025-09-16 07:00:00,2025-09-17 09:00:00,0.22423,0.17988,-0.0012185075,-7.45835e-05,26,0.19778798555055077,0.0214568196,0.17633116595055076,0.17543116595055075,normalized,-0.20% to -0.10%,2025-09
ME,2025-09-21 14:00:00,2025-09-24 03:00:00,0.71753,0.68563,-0.0012002279,-6.95832e-05,61,0.04445807143952175,0.07940550810000001,-0.03494743666047826,-0.03584743666047826,normalized,-0.20% to -0.10%,2025-09
0G,2025-09-22 11:00:00,2025-09-25 03:00:00,5.4583,4.2788,-0.0079282935,-9.63401e-05,64,0.21609292270487146,0.11249870949999993,0.10359421320487153,0.10269421320487153,normalized,< -0.50%,2025-09
APEX,2025-10-10 22:00:00,2025-10-11 00:00:00,1.0116,1.042,-0.0014634218,1.25e-05,2,-0.030051403716884126,0.0022634127,-0.03231481641688413,-0.033214816416884126,normalized,-0.20% to -0.10%,2025-10
