Coin,Price,Funding Rate (1h),Funding Rate (Apr %)
RESOLV,0.10151,-0.0019575726,-1714.8335975999998
BERA,0.94165,-0.0006888846,-603.4629095999999
MOODENG,0.067839,-0.0004922661,-431.2251036
AXS,2.0179,-0.0004255134,-372.7497384
DASH,72.823,-0.0003702359,-324.3266484
AVNT,0.27614,-0.0003067975,-268.75461
WLFI,0.16284,-0.000237724,-208.24622399999998
MEME,0.001123,-0.0002360729,-206.7998604
ZORA,0.03166,-0.0001488027,-130.3511652
SKY,0.06213,-0.0001373033,-120.27769079999999
REZ,0.004609,-0.0001278151,-111.96602759999999
0G,0.76859,-0.0001130646,-99.0445896
BLUR,0.032965,-0.0001023811,-89.6858436
ACE,0.2567,-9.35005e-05,-81.90643800000001
WCT,0.07105,-8.93466e-05,-78.2676216
kLUNC,0.03787,-8.88457e-05,-77.8288332
EIGEN,0.333,-7.46081e-05,-65.3566956
ZRO,1.6658,-7.37302e-05,-64.5876552
BABY,0.017178,-7.30275e-05,-63.97209
KAITO,0.44994,-6.89803e-05,-60.4267428
NIL,0.068108,-6.70944e-05,-58.7746944
TNSR,0.06142,-6.63602e-05,-58.131535199999995
IP,2.3527,-6.59473e-05,-57.769834800000005
STRK,0.07831,-6.57856e-05,-57.628185599999995
DYM,0.0612,-6.28913e-05,-55.0927788
ANIME,0.006334,-5.01563e-05,-43.936918799999994
MOVE,0.034109,-4.74391e-05,-41.556651599999995
FET,0.236,-4.349e-05,-38.09724
MEGA,0.18486,-3.78234e-05,-33.1332984
BANANA,6.3071,-3.66868e-05,-32.1376368
STABLE,0.01711,-3.58312e-05,-31.388131199999997
TRUMP,4.9244,-3.47127e-05,-30.408325199999997
TRX,0.29834,-3.39919e-05,-29.776904400000003
2Z,0.1193,-2.91914e-05,-25.571666399999998
SNX,0.421,-2.77161e-05,-24.279303600000002
UNI,4.8093,-2.63385e-05,-23.072526
ETC,11.678,-2.61331e-05,-22.8925956
LAYER,0.1384,-2.61189e-05,-22.8801564
POPCAT,0.077334,-2.56856e-05,-22.5005856
MNT,0.88395,-2.44903e-05,-21.453502800000003
SUPER,0.18823,-2.42351e-05,-21.2299476
ENA,0.18364,-2.40608e-05,-21.077260799999998
BCH,572.03,-2.20162e-05,-19.2861912
POLYX,0.057504,-2.07667e-05,-18.1916292
AVAX,12.385,-2.03367e-05,-17.8149492
HEMI,0.013568,-1.74034e-05,-15.245378400000002
BTC,90544.0,-1.70737e-05,-14.9565612
ICP,3.7353,-1.66834e-05,-14.6146584
ZETA,0.06991,-1.66091e-05,-14.5495716
POL,0.13125,-1.48348e-05,-12.9952848
