Coin,Funding_Mainnet,Funding_Testnet,Diff_1h,Abs_Diff,Mainnet_APR%,Testnet_APR%
BSV,1.25e-05,-0.0055473428,0.0055598428,0.0055598428,10.950000000000001,-4859.472292799999
YZY,1.25e-05,0.0051114698,-0.0050989697999999995,0.0050989697999999995,10.950000000000001,4477.6475448
AAVE,1.25e-05,-0.0005291388,0.0005416388,0.0005416388,10.950000000000001,-463.52558880000004
TAO,1.25e-05,0.0004929542,-0.0004804542000000001,0.0004804542000000001,10.950000000000001,431.8278792000001
RESOLV,-0.0019014515,-0.0014439313,-0.00045752019999999996,0.00045752019999999996,-1665.671514,-1264.8838188000002
SOL,3.1035e-06,-0.0003829747,0.0003860782,0.0003860782,2.7186660000000002,-335.4858372
DASH,-0.0003735413,-7.37649e-05,-0.0002997764,0.0002997764,-327.22217880000005,-64.61805240000001
MEME,-0.0002331123,1.25e-05,-0.00024561229999999997,0.00024561229999999997,-204.2063748,10.950000000000001
WLFI,-0.0002351828,3.1686e-06,-0.00023835139999999998,0.00023835139999999998,-206.02013279999997,2.7756936
MORPHO,1.25e-05,-0.0002109811,0.00022348110000000002,0.00022348110000000002,10.950000000000001,-184.81944360000003
NEAR,2.4212e-06,-0.0002060475,0.0002084687,0.0002084687,2.1209712,-180.49761
BLAST,1.25e-05,-0.000151698,0.000164198,0.000164198,10.950000000000001,-132.88744799999998
DOGE,-7.012e-07,-0.0001592003,0.0001584991,0.0001584991,-0.6142511999999999,-139.45946279999998
BTC,-1.58531e-05,-0.0001737102,0.0001578571,0.0001578571,-13.887315599999999,-152.17013520000003
DOOD,-1.37352e-05,-0.0001559132,0.000142178,0.000142178,-12.0320352,-136.57996319999998
PROVE,-8.51e-07,-0.0001192804,0.0001184294,0.0001184294,-0.7454759999999999,-104.48963039999998
CC,1.10491e-05,-9.41423e-05,0.0001051914,0.0001051914,9.679011599999999,-82.4686548
SKY,-0.0001363746,-3.69904e-05,-9.93842e-05,9.93842e-05,-119.4641496,-32.4035904
2Z,-2.92627e-05,-0.0001282213,9.89586e-05,9.89586e-05,-25.634125200000003,-112.3218588
PROMPT,0.0001052514,1.25e-05,9.27514e-05,9.27514e-05,92.20022639999999,10.950000000000001
TRUMP,-3.43071e-05,-0.0001238423,8.95352e-05,8.95352e-05,-30.053019600000002,-108.48585480000001
IP,-6.67658e-05,1.25e-05,-7.926580000000001e-05,7.926580000000001e-05,-58.4868408,10.950000000000001
ZORA,-0.0001481315,-6.93866e-05,-7.87449e-05,7.87449e-05,-129.763194,-60.78266160000001
WCT,-8.98676e-05,-0.0001621687,7.230109999999999e-05,7.230109999999999e-05,-78.72401760000001,-142.0597812
ACE,-8.71357e-05,-0.000155445,6.830930000000001e-05,6.830930000000001e-05,-76.3308732,-136.16982
TNSR,-6.75535e-05,0.0,-6.75535e-05,6.75535e-05,-59.176866000000004,0.0
