date,yahoo_close,hl_close,basis,zscore,position,equity_net
2025-11-21,271.2362,271.15,-0.000318,,0,10000.0
2025-11-24,275.6621,275.69,0.000101,,0,10000.0
2025-11-25,276.7111,276.67,-0.000148,,0,10000.0
2025-11-26,277.2905,277.75,0.001657,,0,10000.0
2025-11-28,278.5893,278.51,-0.000285,,0,10000.0
2025-12-01,282.8354,283.12,0.001006,,0,10000.0
2025-12-02,285.9225,286.16,0.000831,,0,10000.0
2025-12-03,283.8844,284.4,0.001816,,0,10000.0
2025-12-04,280.4376,280.3,-0.000491,,0,10000.0
2025-12-05,278.5194,279.05,0.001905,,0,10000.0
2025-12-08,277.6302,277.29,-0.001225,,0,10000.0
2025-12-09,276.9209,276.92,-3e-06,,0,10000.0
2025-12-10,278.5194,278.68,0.000577,,0,10000.0
2025-12-11,277.7701,279.15,0.004968,,0,10000.0
2025-12-12,278.0199,277.64,-0.001366,,0,10000.0
2025-12-15,273.8537,274.15,0.001082,,0,10000.0
2025-12-16,274.3533,273.6,-0.002746,,0,10000.0
2025-12-17,271.5859,272.05,0.001709,,0,10000.0
2025-12-18,271.9355,271.57,-0.001344,,0,10000.0
2025-12-19,273.4142,272.79,-0.002283,,0,10000.0
2025-12-22,270.7167,270.67,-0.000172,-0.2558,0,10000.0
2025-12-23,272.1054,272.13,9e-05,-0.1089,0,10000.0
2025-12-24,273.554,273.82,0.000972,0.3995,0,10000.0
2025-12-26,273.1444,273.11,-0.000126,-0.265,0,10000.0
2025-12-29,273.5041,273.41,-0.000344,-0.3442,0,10000.0
2025-12-30,272.8247,272.88,0.000203,-0.0234,0,10000.0
2025-12-31,271.6058,272.17,0.002077,1.0995,0,10000.0
2026-01-02,270.7567,270.96,0.000751,0.2776,0,10000.0
2026-01-05,267.0102,267.22,0.000786,0.3343,0,10000.0
2026-01-06,262.1147,262.36,0.000936,0.3853,0,10000.0
2026-01-07,260.0866,260.55,0.001782,0.9262,0,10000.0
2026-01-08,258.7979,259.17,0.001438,0.6327,0,10000.0
2026-01-09,259.1275,259.12,-2.9e-05,-0.2832,0,10000.0
2026-01-12,260.0067,259.92,-0.000334,-0.4446,0,10000.0
2026-01-13,260.8059,260.98,0.000667,0.3899,0,10000.0
2026-01-14,259.717,259.51,-0.000797,-0.8286,0,10000.0
2026-01-15,257.9686,258.37,0.001556,1.0929,0,10000.0
2026-01-16,255.2911,255.42,0.000505,0.1151,0,10000.0
2026-01-20,246.4694,246.93,0.001869,1.454,0,10000.0
2026-01-21,247.4185,248.48,0.00429,3.6453,0,10000.0
