date,yahoo_close,hl_close,basis,zscore,position,equity_net
2025-11-18,222.55,223.11,0.002516,,0,10000.0
2025-11-19,222.69,226.48,0.017019,,0,10000.0
2025-11-20,217.14,217.14,0.0,,0,10000.0
2025-11-21,220.69,221.23,0.002447,,0,10000.0
2025-11-24,226.28,226.33,0.000221,,0,10000.0
2025-11-25,229.67,229.91,0.001045,,0,10000.0
2025-11-26,229.16,229.44,0.001222,,0,10000.0
2025-11-28,233.22,233.2,-8.6e-05,,0,10000.0
2025-12-01,233.88,234.47,0.002523,,0,10000.0
2025-12-02,234.42,234.59,0.000725,,0,10000.0
2025-12-03,232.38,232.46,0.000344,,0,10000.0
2025-12-04,229.11,228.95,-0.000698,,0,10000.0
2025-12-05,229.53,229.76,0.001002,,0,10000.0
2025-12-08,226.89,227.07,0.000793,,0,10000.0
2025-12-09,227.92,227.97,0.000219,,0,10000.0
2025-12-10,231.78,230.77,-0.004358,,0,10000.0
2025-12-11,230.28,230.59,0.001346,,0,10000.0
2025-12-12,226.19,226.16,-0.000133,,0,10000.0
2025-12-15,222.54,222.56,9e-05,,0,10000.0
2025-12-16,222.56,222.12,-0.001977,,0,10000.0
2025-12-17,221.27,221.3,0.000136,-0.2672,0,10000.0
2025-12-18,226.76,226.87,0.000485,-0.1512,0,10000.0
2025-12-19,227.35,227.86,0.002243,1.3391,0,10000.0
2025-12-22,228.43,228.64,0.000919,0.351,0,10000.0
2025-12-23,232.14,232.07,-0.000302,-0.4124,0,10000.0
2025-12-24,232.38,231.42,-0.004131,-2.9939,0,10000.0
2025-12-26,232.52,232.76,0.001032,0.5769,1,10047.1334
2025-12-29,232.07,232.01,-0.000259,-0.1526,1,10034.1653
2025-12-30,232.53,232.59,0.000258,0.1472,0,10029.6499
2025-12-31,230.82,231.05,0.000996,0.6721,0,10029.6499
2026-01-02,226.5,226.78,0.001236,0.8051,0,10029.6499
2026-01-05,233.06,232.88,-0.000772,-0.4261,0,10029.6499
2026-01-06,240.93,241.18,0.001038,0.6506,0,10029.6499
2026-01-07,241.56,241.7,0.00058,0.3774,0,10029.6499
2026-01-08,246.29,246.17,-0.000487,-0.2496,0,10029.6499
2026-01-09,247.38,247.69,0.001253,0.806,0,10029.6499
2026-01-12,246.47,246.01,-0.001866,-1.4861,0,10029.6499
2026-01-13,242.6,242.54,-0.000247,-0.1863,0,10029.6499
2026-01-14,236.65,236.71,0.000254,0.1707,0,10029.6499
2026-01-15,238.18,237.97,-0.000882,-0.6344,0,10029.6499
2026-01-16,239.12,238.82,-0.001255,-0.9776,0,10029.6499
2026-01-20,231.0,231.21,0.000909,0.6502,0,10029.6499
2026-01-21,231.31,231.84,0.002291,1.6159,0,10029.6499
2026-01-22,234.34,235.4,0.004523,3.1971,0,10029.6499
2026-01-23,239.16,238.85,-0.001296,-0.874,-1,10083.5049
2026-01-26,238.42,238.87,0.001887,0.9871,-1,10051.4025
2026-01-27,244.68,245.02,0.00139,0.6326,-1,10056.4064
2026-01-28,243.01,240.89,-0.008724,-6.2199,-1,10158.1119
2026-01-29,241.73,241.68,-0.000207,-0.103,1,10235.487
2026-01-30,239.3,239.39,0.000376,0.1361,0,10230.881
