date,yahoo_close,hl_close,basis,zscore,position,equity_net
2025-11-18,283.8943,284.67,0.002732,,0,10000.0
2025-11-19,292.4128,299.96,0.02581,,0,10000.0
2025-11-20,289.0573,288.13,-0.003208,,0,10000.0
2025-11-21,299.2535,301.58,0.007774,,0,10000.0
2025-11-24,318.1478,326.63,0.026661,,0,10000.0
2025-11-25,323.0012,324.91,0.00591,,0,10000.0
2025-11-26,319.516,320.75,0.003862,,0,10000.0
2025-11-28,319.7456,320.38,0.001984,,0,10000.0
2025-12-01,314.4628,315.61,0.003648,,0,10000.0
2025-12-02,315.3815,316.71,0.004212,,0,10000.0
2025-12-03,319.1964,320.76,0.004899,,0,10000.0
2025-12-04,317.1891,317.57,0.001201,,0,10000.0
2025-12-05,320.8341,320.37,-0.001447,,0,10000.0
2025-12-08,313.4993,314.56,0.003383,,0,10000.0
2025-12-09,316.8569,316.82,-0.000117,,0,10000.0
2025-12-10,319.9847,319.89,-0.000296,,0,10000.0
2025-12-11,312.2102,313.59,0.004419,,0,10000.0
2025-12-12,309.0724,308.23,-0.002726,,0,10000.0
2025-12-15,308.0032,307.62,-0.001244,,0,10000.0
2025-12-16,306.3543,305.94,-0.001352,,0,10000.0
2025-12-17,296.5113,296.56,0.000164,-0.5129,0,10000.0
2025-12-18,302.2472,302.05,-0.000653,-0.5947,0,10000.0
2025-12-19,306.9439,307.65,0.0023,-0.0868,0,10000.0
2025-12-22,309.5621,309.94,0.001221,-0.3067,0,10000.0
2025-12-23,314.1289,314.96,0.002646,-0.0254,0,10000.0
2025-12-24,313.869,314.34,0.0015,-0.0404,0,10000.0
2025-12-26,313.2895,313.35,0.000193,-0.5235,0,10000.0
2025-12-29,313.3394,313.11,-0.000732,-0.8753,0,10000.0
2025-12-30,313.6292,313.93,0.000959,-0.0457,0,10000.0
2025-12-31,312.7798,313.15,0.001184,0.1194,0,10000.0
2026-01-02,314.9283,315.22,0.000926,0.0751,0,10000.0
2026-01-05,316.3174,316.75,0.001368,0.449,0,10000.0
2026-01-06,314.1189,314.39,0.000863,0.1576,0,10000.0
2026-01-07,321.7535,322.56,0.002507,1.0623,0,10000.0
2026-01-08,325.2111,325.6,0.001196,0.3294,0,10000.0
2026-01-09,328.3389,329.32,0.002988,1.3891,0,10000.0
2026-01-12,331.6265,332.09,0.001398,0.3029,0,10000.0
2026-01-13,335.7337,337.29,0.004636,2.6409,0,10000.0
2026-01-14,335.6038,335.32,-0.000846,-1.3113,-1,10050.3112
2026-01-15,332.5459,333.04,0.001486,0.2491,-1,10026.8806
2026-01-16,329.7679,329.7,-0.000206,-1.1021,0,10022.3685
2026-01-20,321.7735,320.32,-0.004517,-4.2595,0,10022.3685
2026-01-21,328.149,329.84,0.005153,2.2397,1,10114.7771
2026-01-22,330.3075,330.82,0.001552,0.1749,-1,10142.1021
2026-01-23,327.6993,327.85,0.00046,-0.3701,0,10137.5382
2026-01-26,333.0256,333.92,0.002686,0.7866,0,10137.5382
2026-01-27,334.3146,334.71,0.001183,0.0098,0,10137.5382
2026-01-28,335.7737,341.32,0.016518,7.5453,0,10137.5382
2026-01-29,338.0121,338.01,-6e-06,-0.5291,-1,10300.491
2026-01-30,337.7622,337.52,-0.000717,-0.6941,-1,10307.8157
2026-02-02,343.4482,347.19,0.010895,2.2428,-1,10188.1228
2026-02-03,339.471,342.83,0.009895,1.674,-1,10198.3098
2026-02-04,332.8057,328.66,-0.012457,-3.2233,-1,10426.2591
