date,yahoo_close,hl_close,basis,zscore,position,equity_net
2025-11-20,588.1663,587.21,-0.001626,,0,10000.0
2025-11-21,593.2578,596.03,0.004673,,0,10000.0
2025-11-24,612.0264,615.44,0.005577,,0,10000.0
2025-11-25,635.1577,635.51,0.000555,,0,10000.0
2025-11-26,632.5521,633.56,0.001593,,0,10000.0
2025-11-28,646.8682,647.76,0.001379,,0,10000.0
2025-12-01,639.7999,642.01,0.003454,,0,10000.0
2025-12-02,646.0195,646.3,0.000434,,0,10000.0
2025-12-03,638.532,640.62,0.00327,,0,10000.0
2025-12-04,660.4255,661.98,0.002354,,0,10000.0
2025-12-05,672.2956,670.54,-0.002611,,0,10000.0
2025-12-08,665.6866,665.56,-0.00019,,0,10000.0
2025-12-09,655.8632,655.07,-0.001209,,0,10000.0
2025-12-10,649.0445,645.04,-0.00617,,0,10000.0
2025-12-11,651.6202,652.57,0.001458,,0,10000.0
2025-12-12,643.1544,642.58,-0.000893,,0,10000.0
2025-12-15,646.9561,646.25,-0.001091,,0,10000.0
2025-12-16,656.5879,656.2,-0.000591,,0,10000.0
2025-12-17,648.9444,649.5,0.000856,,0,10000.0
2025-12-18,663.8816,663.07,-0.001222,,0,10000.0
2025-12-19,658.2065,661.96,0.005703,1.9392,0,10000.0
2025-12-22,660.9341,661.3,0.000554,-0.109,0,10000.0
2025-12-23,664.3712,664.83,0.000691,0.0111,0,10000.0
2025-12-24,666.9789,663.8,-0.004766,-2.0972,0,10000.0
2025-12-26,662.7226,662.5,-0.000336,-0.1781,1,10039.803
2025-12-29,658.1265,657.42,-0.001074,-0.4161,0,10035.2851
2025-12-30,665.3803,665.67,0.000435,0.1868,0,10035.2851
2025-12-31,659.5253,659.57,6.8e-05,0.1117,0,10035.2851
2026-01-02,649.8536,649.86,1e-05,0.0965,0,10035.2851
2026-01-05,658.2264,658.42,0.000294,0.2853,0,10035.2851
2026-01-06,660.0549,660.57,0.00078,0.5451,0,10035.2851
2026-01-07,648.1351,649.09,0.001473,0.7796,0,10035.2851
2026-01-08,645.5073,644.64,-0.001344,-0.4639,0,10035.2851
2026-01-09,652.5013,653.37,0.001331,0.6743,0,10035.2851
2026-01-12,641.4208,642.5,0.001683,0.8138,0,10035.2851
2026-01-13,630.5502,630.68,0.000206,0.0403,0,10035.2851
2026-01-14,614.9935,614.86,-0.000217,-0.2086,0,10035.2851
2026-01-15,620.2689,621.24,0.001566,0.7057,0,10035.2851
2026-01-16,619.7194,620.13,0.000663,0.1718,0,10035.2851
2026-01-20,603.6032,603.87,0.000442,0.0614,0,10035.2851
2026-01-21,612.4357,615.86,0.005591,2.7685,0,10035.2851
2026-01-22,647.076,647.75,0.001042,0.3444,-1,10076.4268
2026-01-23,658.1965,658.04,-0.000238,-0.3571,0,10071.8924
2026-01-26,671.7848,673.16,0.002047,0.8933,0,10071.8924
2026-01-27,672.3943,673.06,0.00099,0.1851,0,10071.8924
2026-01-28,668.1579,722.53,0.081376,56.2708,0,10071.8924
2026-01-29,737.6784,731.99,-0.007711,-0.6992,-1,10964.6383
2026-01-30,715.8871,714.51,-0.001924,-0.3522,-1,10901.1792
2026-02-02,705.8057,707.11,0.001848,-0.1398,0,10896.2736
2026-02-03,691.1083,692.47,0.00197,-0.1383,0,10896.2736
2026-02-04,668.4177,671.22,0.004192,-0.0212,0,10896.2736
2026-02-05,669.6367,651.24,-0.027473,-1.7684,0,10896.2736
2026-02-06,660.8942,663.85,0.004472,0.0597,0,10896.2736
2026-02-09,676.6406,676.98,0.000502,-0.158,0,10896.2736
2026-02-10,670.1462,672.34,0.003274,-0.0142,0,10896.2736
2026-02-11,668.118,667.31,-0.001209,-0.2474,0,10896.2736
2026-02-12,649.2542,647.69,-0.002409,-0.3049,0,10896.2736
2026-02-13,639.2227,639.94,0.001122,-0.1187,0,10896.2736
2026-02-17,638.7431,643.44,0.007353,0.2001,0,10896.2736
2026-02-18,642.6697,641.88,-0.001229,-0.2544,0,10896.2736
2026-02-19,644.2285,644.82,0.000918,-0.1406,0,10896.2736
2026-02-20,655.0991,655.0,-0.000151,-0.1831,0,10896.2736
2026-02-23,636.7049,639.03,0.003652,0.0135,0,10896.2736
2026-02-24,638.7531,638.73,-3.6e-05,-0.1842,0,10896.2736
2026-02-25,653.1308,647.81,-0.008147,-0.5916,0,10896.2736
2026-02-26,656.448,652.29,-0.006334,-0.4721,0,10896.2736
2026-02-27,647.6255,645.2,-0.003745,-0.3245,0,10896.2736
2026-03-02,653.0009,652.4,-0.00092,0.0343,0,10896.2736
2026-03-03,654.5197,653.89,-0.000962,0.0216,0,10896.2736
2026-03-04,667.1588,667.07,-0.000133,0.1569,0,10896.2736
2026-03-05,660.0049,661.33,0.002008,0.4726,0,10896.2736
2026-03-06,644.3083,642.98,-0.002062,-0.0835,0,10896.2736
2026-03-09,646.8362,644.15,-0.004153,-1.1139,0,10896.2736
2026-03-10,653.5105,654.52,0.001545,0.6272,0,10896.2736
2026-03-11,654.2998,648.69,-0.008574,-2.2849,0,10896.2736
2026-03-12,637.6341,636.44,-0.001873,-0.184,1,10964.3869
2026-03-13,613.185,611.73,-0.002373,-0.3066,0,10959.4529
2026-03-16,627.45,623.09,-0.006949,-1.5102,0,10959.4529
2026-03-17,622.66,622.77,0.000177,0.4498,0,10959.4529
2026-03-18,615.68,614.89,-0.001283,0.2012,0,10959.4529
2026-03-19,606.7,608.55,0.003049,1.4769,0,10959.4529
2026-03-20,593.66,597.73,0.006856,2.4737,0,10959.4529
2026-03-23,604.06,605.54,0.00245,0.9864,-1,11002.8055
2026-03-24,592.92,598.15,0.008821,2.6349,-1,10932.7101
2026-03-25,594.89,592.75,-0.003597,-0.5395,-1,11068.4737
2026-03-26,547.54,550.49,0.005388,1.4589,-1,10969.0223
2026-03-27,525.72,520.72,-0.009511,-2.1228,-1,11132.4441
