date,yahoo_close,hl_close,basis,zscore,position,equity_net
2025-11-19,485.1028,491.28,0.012734,,0,10000.0
2025-11-20,477.3405,476.69,-0.001363,,0,10000.0
2025-11-21,471.0449,473.0,0.004151,,0,10000.0
2025-11-24,472.9206,473.91,0.002092,,0,10000.0
2025-11-25,475.9037,477.77,0.003921,,0,10000.0
2025-11-26,484.3944,486.2,0.003728,,0,10000.0
2025-11-28,490.8896,492.33,0.002934,,0,10000.0
2025-12-01,485.6316,486.87,0.00255,,0,10000.0
2025-12-02,488.8842,490.28,0.002855,,0,10000.0
2025-12-03,476.6421,479.32,0.005618,,0,10000.0
2025-12-04,479.745,480.63,0.001845,,0,10000.0
2025-12-05,482.0597,482.46,0.00083,,0,10000.0
2025-12-08,489.9018,490.16,0.000527,,0,10000.0
2025-12-09,490.8995,491.63,0.001488,,0,10000.0
2025-12-10,477.4702,477.94,0.000984,,0,10000.0
2025-12-11,482.369,484.65,0.004729,,0,10000.0
2025-12-12,477.4403,477.04,-0.000838,,0,10000.0
2025-12-15,473.7387,474.32,0.001227,,0,10000.0
2025-12-16,475.3051,475.25,-0.000116,,0,10000.0
2025-12-17,475.0357,477.04,0.004219,,0,10000.0
2025-12-18,482.8779,483.01,0.000274,-0.8055,0,10000.0
2025-12-19,484.8134,485.35,0.001107,-0.5056,0,10000.0
2025-12-22,483.8157,485.3,0.003068,0.4865,0,10000.0
2025-12-23,485.7413,486.7,0.001974,-0.1035,0,10000.0
2025-12-24,486.9086,487.64,0.001502,-0.3734,0,10000.0
2025-12-26,486.5994,487.48,0.00181,-0.1284,0,10000.0
2025-12-29,485.9908,485.96,-6.3e-05,-1.2227,0,10000.0
2025-12-30,486.3699,488.93,0.005264,2.0867,0,10000.0
2025-12-31,482.5187,484.01,0.003091,0.6398,-1,10017.2298
2026-01-02,471.863,473.0,0.00241,0.2617,-1,10024.0527
2026-01-05,471.7732,473.09,0.002791,0.6271,0,10019.5419
2026-01-06,477.4203,478.43,0.002115,0.1825,0,10019.5419
2026-01-07,482.369,483.68,0.002718,0.5137,0,10019.5419
2026-01-08,477.0212,478.05,0.002157,0.1049,0,10019.5419
2026-01-09,478.1886,478.96,0.001613,-0.2534,0,10019.5419
2026-01-12,476.0933,475.38,-0.001498,-2.2283,0,10019.5419
2026-01-13,469.5982,469.96,0.00077,-0.5881,1,10037.7653
2026-01-14,458.3339,459.58,0.002719,0.5772,1,10057.3216
2026-01-15,455.6201,457.56,0.004258,1.5137,1,10072.7995
2026-01-16,458.8128,460.95,0.004658,1.6202,1,10076.8329
2026-01-20,453.4849,454.58,0.002415,0.1734,1,10054.2269
2026-01-21,443.0986,446.55,0.007789,3.5941,0,10049.7025
2026-01-22,450.1126,451.24,0.002505,-0.0375,-1,10098.2882
2026-01-23,464.8889,465.97,0.002325,-0.1151,0,10093.744
2026-01-26,469.209,472.47,0.00695,2.2526,0,10093.744
2026-01-27,479.4856,482.03,0.005307,1.1429,-1,10105.7895
2026-01-28,480.5332,449.62,-0.064331,-30.4535,-1,10809.5322
2026-01-29,432.5128,433.88,0.003161,0.2205,1,11529.3613
2026-01-30,429.3101,429.48,0.000396,0.046,0,11524.1731
2026-02-02,422.4059,424.02,0.003821,0.2805,0,11524.1731
2026-02-03,410.2736,412.37,0.00511,0.3603,0,11524.1731
2026-02-04,413.2468,410.39,-0.006913,-0.4371,0,11524.1731
2026-02-05,392.7735,392.64,-0.00034,0.0238,0,11524.1731
2026-02-06,400.2265,402.59,0.005905,0.4426,0,11524.1731
2026-02-09,412.6581,416.35,0.008947,0.6269,0,11524.1731
2026-02-10,412.3289,414.41,0.005047,0.3455,0,11524.1731
2026-02-11,403.4491,404.8,0.003348,0.2141,0,11524.1731
2026-02-12,400.9249,402.45,0.003804,0.2348,0,11524.1731
2026-02-13,400.4061,400.64,0.000584,0.0242,0,11524.1731
