date,yahoo_close,hl_close,basis,zscore,position,equity_net
2025-11-12,193.7787,192.42,-0.007012,,0,10000.0
2025-11-13,186.8395,186.96,0.000645,,0,10000.0
2025-11-14,190.1491,190.8,0.003423,,0,10000.0
2025-11-17,186.5795,186.15,-0.002302,,0,10000.0
2025-11-18,181.3401,181.52,0.000992,,0,10000.0
2025-11-19,186.4995,196.29,0.052496,,0,10000.0
2025-11-20,180.6202,180.65,0.000165,,0,10000.0
2025-11-21,178.8604,180.33,0.008217,,0,10000.0
2025-11-24,182.53,179.75,-0.01523,,0,10000.0
2025-11-25,177.8005,176.88,-0.005177,,0,10000.0
2025-11-26,180.2402,179.74,-0.002775,,0,10000.0
2025-11-28,176.9806,176.88,-0.000568,,0,10000.0
2025-12-01,179.9003,179.82,-0.000446,,0,10000.0
2025-12-02,181.4401,181.68,0.001322,,0,10000.0
2025-12-03,179.5703,180.05,0.002671,,0,10000.0
2025-12-04,183.3701,183.16,-0.001146,,0,10000.0
2025-12-05,182.4001,182.32,-0.000439,,0,10000.0
2025-12-08,185.54,189.47,0.021182,,0,10000.0
2025-12-09,184.96,184.63,-0.001784,,0,10000.0
2025-12-10,183.7701,181.59,-0.011863,,0,10000.0
2025-12-11,180.9202,180.16,-0.004202,-0.4547,0,10000.0
2025-12-12,175.0105,174.83,-0.001032,-0.2382,0,10000.0
2025-12-15,176.2805,176.09,-0.00108,-0.2354,0,10000.0
2025-12-16,177.7104,177.06,-0.00366,-0.4051,0,10000.0
2025-12-17,170.9308,170.95,0.000113,-0.1276,0,10000.0
2025-12-18,174.1306,175.02,0.005108,0.2356,0,10000.0
2025-12-19,180.9802,181.13,0.000828,0.1881,0,10000.0
2025-12-22,183.6801,183.32,-0.00196,-0.2023,0,10000.0
2025-12-23,189.1998,188.45,-0.003963,-0.4263,0,10000.0
2025-12-24,188.5998,188.12,-0.002544,-0.3427,0,10000.0
2025-12-26,190.5197,190.32,-0.001048,-0.1217,0,10000.0
2025-12-29,188.2098,187.84,-0.001965,-0.2887,0,10000.0
2025-12-30,187.5298,187.24,-0.001546,-0.2071,0,10000.0
2025-12-31,186.4899,186.84,0.001877,0.3686,0,10000.0
2026-01-02,188.8398,188.88,0.000213,0.0885,0,10000.0
2026-01-05,188.1098,187.9,-0.001115,-0.1114,0,10000.0
2026-01-06,187.2299,188.33,0.005876,1.051,0,10000.0
2026-01-07,189.0998,189.06,-0.00021,-0.0133,0,10000.0
2026-01-08,185.03,185.07,0.000216,0.3914,0,10000.0
2026-01-09,184.85,184.97,0.000649,0.4821,0,10000.0
2026-01-12,184.93,184.78,-0.000811,-0.1301,0,10000.0
2026-01-13,185.7999,185.9,0.000539,0.3428,0,10000.0
2026-01-14,183.1301,182.86,-0.001475,-0.5094,0,10000.0
2026-01-15,187.0399,187.51,0.002513,1.1192,0,10000.0
2026-01-16,186.2199,186.38,0.00086,0.3314,0,10000.0
2026-01-20,178.0604,178.73,0.003761,1.5208,0,10000.0
2026-01-21,183.3101,183.87,0.003054,1.3283,0,10000.0
2026-01-22,184.83,184.13,-0.003787,-1.6618,0,10000.0
2026-01-23,187.6598,187.37,-0.001544,-0.6436,0,10000.0
2026-01-26,186.4599,186.45,-5.3e-05,-0.0981,0,10000.0
2026-01-27,188.5098,188.95,0.002335,0.9064,0,10000.0
2026-01-28,191.5096,190.76,-0.003914,-1.9349,0,10000.0
2026-01-29,192.4996,191.37,-0.005868,-2.5859,0,10000.0
2026-01-30,191.1197,189.88,-0.006486,-2.4047,1,9989.3162
2026-02-02,185.6,186.31,0.003826,1.3187,1,10092.3255
2026-02-03,180.3302,179.24,-0.006046,-1.8454,1,9992.7002
2026-02-04,174.1806,177.24,0.017565,5.1235,1,10228.6322
2026-02-05,171.8707,170.3,-0.009139,-1.8195,-1,10492.5669
2026-02-06,185.4,185.47,0.000378,0.1019,-1,10392.7135
2026-02-09,190.0297,190.19,0.000844,0.1839,0,10388.0367
2026-02-10,188.5298,189.21,0.003608,0.6778,0,10388.0367
2026-02-11,190.0397,190.56,0.002738,0.477,0,10388.0367
2026-02-12,186.9299,188.09,0.006206,1.0666,0,10388.0367
2026-02-13,182.8001,183.15,0.001914,0.236,0,10388.0367
2026-02-17,184.96,185.84,0.004758,0.7316,0,10388.0367
2026-02-18,187.9698,188.19,0.001171,0.0789,0,10388.0367
2026-02-19,187.8898,187.62,-0.001436,-0.345,0,10388.0367
2026-02-20,189.8097,190.09,0.001477,0.1929,0,10388.0367
2026-02-23,191.5396,191.81,0.001411,0.1384,0,10388.0367
2026-02-24,192.8396,193.01,0.000884,0.0209,0,10388.0367
2026-02-25,195.5494,196.04,0.002509,0.2967,0,10388.0367
2026-02-26,184.88,185.56,0.003678,0.4994,0,10388.0367
2026-02-27,177.1804,178.16,0.005529,0.767,0,10388.0367
2026-03-02,182.4701,181.97,-0.002741,-0.8252,0,10388.0367
2026-03-03,180.0403,179.44,-0.003334,-1.0122,0,10388.0367
2026-03-04,183.0301,183.15,0.000655,-0.1768,0,10388.0367
2026-03-05,183.3301,182.46,-0.004746,-1.3272,0,10388.0367
2026-03-06,177.8104,178.32,0.002866,0.5572,0,10388.0367
2026-03-09,182.6401,181.34,-0.007118,-2.9935,0,10388.0367
2026-03-10,184.76,184.74,-0.000108,-0.3359,1,10456.1833
2026-03-11,186.03,184.27,-0.009461,-3.0404,0,10451.4781
2026-03-12,183.14,182.94,-0.001092,-0.3503,1,10534.241
2026-03-13,180.25,180.21,-0.000222,-0.0917,0,10529.5006
2026-03-16,183.22,182.73,-0.002674,-0.6573,0,10529.5006
2026-03-17,181.93,182.38,0.002474,0.7531,0,10529.5006
2026-03-18,180.4,180.28,-0.000665,-0.041,0,10529.5006
2026-03-19,178.56,179.07,0.002856,0.945,0,10529.5006
2026-03-20,172.7,174.87,0.012565,3.4668,0,10529.5006
2026-03-23,175.64,175.81,0.000968,0.1704,-1,10646.8757
2026-03-24,175.2,177.04,0.010502,2.1967,0,10642.0846
2026-03-25,178.68,178.03,-0.003638,-0.8105,-1,10787.7753
2026-03-26,171.24,172.36,0.00654,1.1705,-1,10677.9747
2026-03-27,167.52,166.56,-0.005731,-1.1352,-1,10809.006
