date,yahoo_close,hl_close,basis,zscore,position,equity_net
2025-11-13,401.99,402.22,0.000572,,0,10000.0
2025-11-14,404.35,404.36,2.5e-05,,0,10000.0
2025-11-17,408.92,411.41,0.006089,,0,10000.0
2025-11-18,401.25,400.35,-0.002243,,0,10000.0
2025-11-19,403.99,410.83,0.016931,,0,10000.0
2025-11-20,395.23,397.72,0.0063,,0,10000.0
2025-11-21,391.09,393.77,0.006853,,0,10000.0
2025-11-24,417.78,418.63,0.002035,,0,10000.0
2025-11-25,419.4,418.55,-0.002027,,0,10000.0
2025-11-26,426.58,426.13,-0.001055,,0,10000.0
2025-11-28,430.17,430.25,0.000186,,0,10000.0
2025-12-01,430.14,429.5,-0.001488,,0,10000.0
2025-12-02,429.24,428.5,-0.001724,,0,10000.0
2025-12-03,446.74,447.81,0.002395,,0,10000.0
2025-12-04,454.53,453.51,-0.002244,,0,10000.0
2025-12-05,455.0,454.42,-0.001275,,0,10000.0
2025-12-08,439.58,440.12,0.001228,,0,10000.0
2025-12-09,445.17,445.01,-0.000359,,0,10000.0
2025-12-10,451.45,449.55,-0.004209,,0,10000.0
2025-12-11,446.89,446.23,-0.001477,,0,10000.0
2025-12-12,458.96,456.2,-0.006014,-1.5143,0,10000.0
2025-12-15,475.31,473.38,-0.004061,-0.9821,0,10000.0
2025-12-16,489.88,486.45,-0.007002,-1.4894,0,10000.0
2025-12-17,467.26,467.17,-0.000193,-0.0437,0,10000.0
2025-12-18,483.37,485.06,0.003496,0.6396,0,10000.0
2025-12-19,481.2,483.35,0.004468,1.3967,0,10000.0
2025-12-22,488.73,489.83,0.002251,0.8415,0,10000.0
2025-12-23,485.56,485.58,4.1e-05,0.2965,0,10000.0
2025-12-24,485.4,485.86,0.000948,0.6446,0,10000.0
2025-12-26,475.19,475.11,-0.000168,0.2144,0,10000.0
2025-12-29,459.64,458.38,-0.002741,-0.6673,0,10000.0
2025-12-30,454.43,455.18,0.00165,0.8545,0,10000.0
2025-12-31,449.72,450.27,0.001223,0.6484,0,10000.0
2026-01-02,438.07,441.31,0.007396,2.6108,0,10000.0
2026-01-05,451.67,451.86,0.000421,0.2211,-1,10065.2543
2026-01-06,432.96,435.1,0.004943,1.4877,0,10060.7249
2026-01-07,431.41,432.17,0.001762,0.4582,0,10060.7249
2026-01-08,435.8,435.75,-0.000115,-0.0639,0,10060.7249
2026-01-09,445.01,445.29,0.000629,0.1364,0,10060.7249
2026-01-12,448.96,448.67,-0.000646,-0.2904,0,10060.7249
2026-01-13,447.2,447.14,-0.000134,-0.1572,0,10060.7249
2026-01-14,439.2,438.07,-0.002573,-1.0412,0,10060.7249
2026-01-15,438.57,439.17,0.001368,0.192,0,10060.7249
2026-01-16,437.5,437.71,0.00048,-0.296,0,10060.7249
2026-01-20,419.25,419.02,-0.000549,-0.7366,0,10060.7249
2026-01-21,431.44,433.44,0.004636,1.5067,0,10060.7249
2026-01-22,449.36,448.96,-0.00089,-0.8033,0,10060.7249
2026-01-23,449.06,447.92,-0.002539,-1.4123,0,10060.7249
2026-01-26,435.2,435.9,0.001608,0.3364,0,10060.7249
2026-01-27,430.9,431.94,0.002414,0.639,0,10060.7249
2026-01-28,431.46,436.38,0.011403,4.0992,0,10060.7249
2026-01-29,416.56,430.61,0.033729,9.6361,-1,9831.5871
2026-01-30,430.41,429.52,-0.002068,-0.6692,-1,10183.523
2026-02-02,421.81,424.8,0.007089,0.5036,-1,10090.2795
2026-02-03,421.96,421.02,-0.002228,-0.6609,-1,10184.2824
2026-02-04,406.01,407.94,0.004754,0.2282,-1,10113.1836
2026-02-05,397.21,389.96,-0.018252,-2.6288,0,10108.6326
2026-02-06,411.11,411.36,0.000608,-0.1389,1,10294.7369
2026-02-09,417.32,417.85,0.00127,-0.072,0,10290.1043
2026-02-10,425.21,425.25,9.4e-05,-0.2015,0,10290.1043
2026-02-11,428.27,427.32,-0.002218,-0.4538,0,10290.1043
2026-02-12,417.07,416.1,-0.002326,-0.4524,0,10290.1043
2026-02-13,417.44,416.41,-0.002467,-0.4691,0,10290.1043
2026-02-17,410.63,409.08,-0.003775,-0.5852,0,10290.1043
2026-02-18,411.32,410.52,-0.001945,-0.365,0,10290.1043
2026-02-19,411.71,411.21,-0.001214,-0.2799,0,10290.1043
2026-02-20,411.82,411.32,-0.001214,-0.2495,0,10290.1043
2026-02-23,399.83,399.17,-0.001651,-0.2936,0,10290.1043
2026-02-24,409.38,409.0,-0.000928,-0.2226,0,10290.1043
2026-02-25,417.4,415.18,-0.005319,-0.6718,0,10290.1043
2026-02-26,408.58,406.76,-0.004454,-0.5344,0,10290.1043
