date,position,zscore,spread,beta,equity_net
2025-12-11,0,,0.0,,10000.0
2025-12-12,0,,0.0,,10000.0
2025-12-13,0,,0.0,,10000.0
2025-12-14,0,,0.0,,10000.0
2025-12-15,0,,0.0,,10000.0
2025-12-16,0,,0.0,,10000.0
2025-12-17,0,,0.0,,10000.0
2025-12-18,0,,0.0,,10000.0
2025-12-19,0,,0.0,,10000.0
2025-12-20,0,,0.0,,10000.0
2025-12-21,0,,0.0,,10000.0
2025-12-22,0,,0.0,,10000.0
2025-12-23,0,,0.0,,10000.0
2025-12-24,0,,0.0,,10000.0
2025-12-25,0,,0.0,,10000.0
2025-12-26,0,,0.0,,10000.0
2025-12-27,0,,0.0,,10000.0
2025-12-28,0,,0.0,,10000.0
2025-12-29,0,,0.0,,10000.0
2025-12-30,0,,0.0,,10000.0
2025-12-31,0,0.0,0.0,,10000.0
2026-01-01,0,0.0,0.0,,10000.0
2026-01-02,0,0.0,0.0,,10000.0
2026-01-03,0,0.0,0.0,,10000.0
2026-01-04,0,0.0,0.0,,10000.0
2026-01-05,0,0.0,0.0,,10000.0
2026-01-06,0,0.0,0.0,,10000.0
2026-01-07,0,0.0,0.0,,10000.0
2026-01-08,0,0.0,0.0,,10000.0
2026-01-09,0,0.0,0.0,,10000.0
2026-01-10,0,0.0,0.00570382,0.845765,10000.0
2026-01-11,0,0.232839,0.00058216,0.846658,10000.0
2026-01-12,0,-4.735648,-0.00572462,0.748456,10000.0
2026-01-13,1,-9.181855,-0.01703662,0.768061,9882.379999
2026-01-14,1,-6.586917,-0.0287827,0.800382,9766.300789
2026-01-15,1,-3.030306,-0.0251298,0.987102,9801.976116
2026-01-16,1,-1.761993,-0.01952665,1.017605,9856.898079
2026-01-17,1,-1.912081,-0.02306982,1.174349,9821.973441
2026-01-18,1,-1.459458,-0.02096008,1.193233,9842.695264
2026-01-19,1,-1.011386,-0.01775602,1.282793,9874.231851
2026-01-20,1,-0.408927,-0.01211664,1.301402,9929.916324
2026-01-21,0,-1.706157,-0.02691755,1.258973,9925.447862
2026-01-22,0,-1.751421,-0.02977236,1.090173,9925.447862
2026-01-23,0,-1.103004,-0.0244405,1.021148,9925.447862
2026-01-24,0,-0.967943,-0.02407948,1.044808,9925.447862
2026-01-25,0,-0.440536,-0.01879934,1.034731,9925.447862
2026-01-26,0,-1.535471,-0.03245681,1.020836,9925.447862
2026-01-27,0,0.154476,-0.01417381,0.891483,9925.447862
2026-01-28,0,-1.611987,-0.03496623,0.960499,9925.447862
2026-01-29,0,-0.856043,-0.02814341,0.914996,9925.447862
2026-01-30,0,-0.936622,-0.02981469,0.962832,9925.447862
2026-01-31,0,-0.987712,-0.03048735,0.971479,9925.447862
2026-02-01,0,-2.367821,-0.04085067,0.979356,9925.447862
2026-02-02,1,1.592665,-0.01341661,0.8893,10193.276668
2026-02-03,1,1.402384,-0.01426572,1.017305,10184.621516
2026-02-04,1,0.817024,-0.01769334,1.040146,10149.712432
2026-02-05,1,-12.701927,-0.12417879,1.035628,9068.915781
2026-02-06,1,-4.505974,-0.13596549,2.04168,8962.023152
2026-02-07,1,-3.03649,-0.13673327,1.978681,8955.142302
2026-02-08,1,-2.46675,-0.14014233,1.976265,8924.613734
2026-02-09,1,-2.476391,-0.15980152,1.983967,8749.163051
2026-02-10,1,-2.04029,-0.15890256,1.956914,8757.028149
2026-02-11,1,-1.86709,-0.16520486,1.955971,8701.838728
2026-02-12,1,-1.265272,-0.14342972,1.958388,8891.322524
2026-02-13,1,-0.831568,-0.12443221,1.874595,9060.23552
2026-02-14,1,-0.726536,-0.12288678,1.856587,9074.237429
2026-02-15,1,-0.634132,-0.12184066,1.8555,9083.730232
2026-02-16,1,-0.543628,-0.12046337,1.855728,9096.241157
2026-02-17,1,-0.463437,-0.11994736,1.857526,9100.934879
2026-02-18,0,-0.185832,-0.10790299,1.859643,9096.839459
2026-02-19,0,-0.129534,-0.10840861,1.876926,9096.839459
2026-02-20,0,-0.179478,-0.11455013,1.945284,9096.839459
2026-02-21,0,-0.101862,-0.11445704,1.98866,9096.839459
2026-02-22,0,-0.002121,-0.11332741,2.040851,9096.839459
2026-02-23,0,0.245867,-0.10867951,2.046575,9096.839459
2026-02-24,0,0.441654,-0.10954893,2.036586,9096.839459
2026-02-25,0,-0.414376,-0.13500476,2.052759,9096.839459
2026-02-26,0,0.774747,-0.11408158,2.076818,9096.839459
2026-02-27,0,2.833097,-0.07534103,2.005551,9096.839459
2026-02-28,-1,2.20359,-0.07676974,1.974647,9105.742663
2026-03-01,-1,3.034066,-0.04957061,1.97557,8858.07434
2026-03-02,-1,0.971014,-0.08945955,1.927682,9211.413595
2026-03-03,-1,1.262153,-0.08016862,1.795624,9125.830996
2026-03-04,-1,1.790218,-0.06708819,1.805692,9006.461204
2026-03-05,-1,2.096844,-0.05621819,1.808269,8908.560959
2026-03-06,-1,2.155483,-0.04764346,1.843701,8832.172405
2026-03-07,-1,2.07965,-0.04148043,1.850332,8777.739532
2026-03-08,-1,1.703867,-0.0440348,1.122249,8800.161102
2026-03-09,-1,1.172575,-0.05397112,0.938508,8887.602293
2026-03-10,-1,1.229181,-0.04898565,0.864959,8843.293457
2026-03-11,-1,0.69786,-0.06137796,0.876904,8952.882288
2026-03-12,-1,0.700665,-0.05915141,0.927041,8932.9482
