date,position,zscore,spread,beta,equity_net
2025-12-11,0,,0.0,,10000.0
2025-12-12,0,,0.0,,10000.0
2025-12-13,0,,0.0,,10000.0
2025-12-14,0,,0.0,,10000.0
2025-12-15,0,,0.0,,10000.0
2025-12-16,0,,0.0,,10000.0
2025-12-17,0,,0.0,,10000.0
2025-12-18,0,,0.0,,10000.0
2025-12-19,0,,0.0,,10000.0
2025-12-20,0,,0.0,,10000.0
2025-12-21,0,,0.0,,10000.0
2025-12-22,0,,0.0,,10000.0
2025-12-23,0,,0.0,,10000.0
2025-12-24,0,,0.0,,10000.0
2025-12-25,0,,0.0,,10000.0
2025-12-26,0,,0.0,,10000.0
2025-12-27,0,,0.0,,10000.0
2025-12-28,0,,0.0,,10000.0
2025-12-29,0,,0.0,,10000.0
2025-12-30,0,,0.0,,10000.0
2025-12-31,0,0.0,0.0,,10000.0
2026-01-01,0,0.0,0.0,,10000.0
2026-01-02,0,0.0,0.0,,10000.0
2026-01-03,0,0.0,0.0,,10000.0
2026-01-04,0,0.0,0.0,,10000.0
2026-01-05,0,0.0,0.0,,10000.0
2026-01-06,0,0.0,0.0,,10000.0
2026-01-07,0,0.0,0.0,,10000.0
2026-01-08,0,0.0,0.0,,10000.0
2026-01-09,0,0.0,0.0,,10000.0
2026-01-10,0,0.0,-0.0016583,0.988027,10000.0
2026-01-11,0,9.341531,0.00338099,0.960765,10000.0
2026-01-12,-1,11.099141,0.0096247,0.892998,9933.062932
2026-01-13,-1,12.153078,0.02850105,0.884882,9745.562924
2026-01-14,-1,5.049899,0.03556433,0.840284,9676.727348
2026-01-15,-1,2.359526,0.02736337,0.82835,9756.085738
2026-01-16,-1,1.235174,0.01903413,0.851438,9837.346554
2026-01-17,-1,0.759653,0.01489641,0.610253,9878.050773
2026-01-18,-1,0.813059,0.01631433,0.563205,9864.044422
2026-01-19,-1,0.272116,0.01084177,0.446016,9918.02603
2026-01-20,0,-0.251881,0.00527051,0.460045,9913.562918
2026-01-21,0,1.599298,0.02679482,0.588764,9913.562918
2026-01-22,0,0.5462,0.01633996,0.80376,9913.562918
2026-01-23,0,-0.750375,0.00173409,0.616385,9913.562918
2026-01-24,0,-0.816296,0.00110257,0.51832,9913.562918
2026-01-25,0,-0.918602,1.09e-06,0.522182,9913.562918
2026-01-26,0,0.450415,0.01602832,0.532257,9913.562918
2026-01-27,0,0.122726,0.01296541,0.648465,9913.562918
2026-01-28,0,1.609193,0.03015209,0.62504,9913.562918
2026-01-29,0,0.825607,0.02316592,0.700187,9913.562918
2026-01-30,0,1.164657,0.02786613,0.758746,9913.562918
2026-01-31,0,0.56083,0.02240603,0.751401,9913.562918
2026-02-01,0,0.832577,0.0259846,0.78794,9913.562918
2026-02-02,0,3.298584,0.05255685,0.853471,9913.562918
2026-02-03,-1,2.942902,0.05703476,0.953908,9864.709768
2026-02-04,-1,0.85085,0.03312725,0.943146,10100.550366
2026-02-05,-1,3.149631,0.06843685,1.130517,9743.903986
2026-02-06,-1,0.954925,0.0408459,0.823536,10012.747541
2026-02-07,-1,0.920708,0.04178342,0.62086,10003.360471
2026-02-08,-1,0.877695,0.04249289,0.61966,9996.263369
2026-02-09,-1,0.450431,0.03591735,0.610415,10061.994204
2026-02-10,0,-0.424267,0.02099638,0.601337,10057.466307
2026-02-11,0,-1.356527,0.00337114,0.606032,10057.466307
2026-02-12,0,-1.014975,0.00838796,0.619217,10057.466307
2026-02-13,0,-1.181103,0.00602775,0.603385,10057.466307
2026-02-14,0,-1.243497,0.00553005,0.615286,10057.466307
2026-02-15,0,-1.268005,0.00587695,0.619381,10057.466307
2026-02-16,0,-1.340324,0.00337788,0.619537,10057.466307
2026-02-17,0,-2.148814,-0.01324502,0.618045,10057.466307
2026-02-18,1,-1.572022,-0.00765926,0.606677,10109.119035
2026-02-19,1,-1.255754,-0.00410608,0.612906,10145.038575
2026-02-20,1,0.005237,0.02257901,0.610152,10415.75986
2026-02-21,0,0.038266,0.02335605,0.631031,10411.072768
2026-02-22,0,-0.027567,0.02169346,0.652458,10411.072768
2026-02-23,0,0.098754,0.02297733,0.680073,10411.072768
2026-02-24,0,-0.360552,0.01171597,0.677621,10411.072768
2026-02-25,0,-0.551441,0.00686039,0.658798,10411.072768
2026-02-26,0,-0.632932,0.00449729,0.602342,10411.072768
2026-02-27,0,0.0326,0.01362563,0.607852,10411.072768
2026-02-28,0,0.15878,0.013924,0.569907,10411.072768
2026-03-01,0,0.627422,0.01776278,0.569351,10411.072768
2026-03-02,0,-0.961523,-0.00068564,0.562879,10411.072768
2026-03-03,0,-1.575233,-0.00796443,0.498184,10411.072768
2026-03-04,0,-1.805361,-0.01195256,0.493623,10411.072768
2026-03-05,0,-2.299403,-0.02031107,0.432421,10411.072768
2026-03-06,1,-2.05867,-0.02181506,0.428224,10390.729634
2026-03-07,1,-1.861291,-0.02305362,0.341337,10377.860116
2026-03-08,1,-2.457703,-0.03611487,0.367401,10242.312221
2026-03-09,1,-0.276987,-0.00437023,0.499061,10567.450764
2026-03-10,0,-0.157555,-0.00174185,0.716973,10562.695411
2026-03-11,0,-0.190698,-0.00201299,0.726377,10562.695411
2026-03-12,0,-0.223541,-0.00248024,0.737564,10562.695411
2026-03-13,0,0.193197,0.00345441,0.728907,10562.695411
