date,position,zscore,spread,beta,equity_net
2025-12-11,0,,0.0,,10000.0
2025-12-12,0,,0.0,,10000.0
2025-12-13,0,,0.0,,10000.0
2025-12-14,0,,0.0,,10000.0
2025-12-15,0,,0.0,,10000.0
2025-12-16,0,,0.0,,10000.0
2025-12-17,0,,0.0,,10000.0
2025-12-18,0,,0.0,,10000.0
2025-12-19,0,,0.0,,10000.0
2025-12-20,0,,0.0,,10000.0
2025-12-21,0,,0.0,,10000.0
2025-12-22,0,,0.0,,10000.0
2025-12-23,0,,0.0,,10000.0
2025-12-24,0,,0.0,,10000.0
2025-12-25,0,,0.0,,10000.0
2025-12-26,0,,0.0,,10000.0
2025-12-27,0,,0.0,,10000.0
2025-12-28,0,,0.0,,10000.0
2025-12-29,0,,0.0,,10000.0
2025-12-30,0,,0.0,,10000.0
2025-12-31,0,0.0,0.0,,10000.0
2026-01-01,0,0.0,0.0,,10000.0
2026-01-02,0,0.0,0.0,,10000.0
2026-01-03,0,0.0,0.0,,10000.0
2026-01-04,0,0.0,0.0,,10000.0
2026-01-05,0,0.0,0.0,,10000.0
2026-01-06,0,0.0,0.0,,10000.0
2026-01-07,0,0.0,0.0,,10000.0
2026-01-08,0,0.0,0.0,,10000.0
2026-01-09,0,0.0,0.0,,10000.0
2026-01-10,0,0.0,0.0005508,0.714578,10000.0
2026-01-11,0,-3.459637,-0.00039856,0.73057,10000.0
2026-01-12,1,-100.602639,-0.01566401,0.670902,9842.845453
2026-01-13,1,-8.759849,-0.03150366,0.703198,9686.938245
2026-01-14,1,-5.564173,-0.04521908,0.740306,9554.077826
2026-01-15,1,-2.581728,-0.03627404,0.84598,9639.53943
2026-01-16,1,-2.128729,-0.03642367,0.820148,9638.097091
2026-01-17,1,-1.679822,-0.03428578,0.899055,9658.702236
2026-01-18,1,-1.538477,-0.03520782,0.779548,9649.796511
2026-01-19,1,-1.520216,-0.03780364,0.851576,9624.747438
2026-01-20,1,-1.258244,-0.03609062,0.869344,9641.2348
2026-01-21,1,-0.676742,-0.02775781,0.827725,9721.573326
2026-01-22,1,1.409543,0.00864892,0.92041,10075.504094
2026-01-23,1,1.53489,0.01214249,1.357164,10110.70355
2026-01-24,1,1.409309,0.01146887,1.372907,10103.892761
2026-01-25,1,1.577606,0.01632246,1.367044,10152.93289
2026-01-26,1,1.861443,0.02460186,1.348714,10236.993128
2026-01-27,1,1.148545,0.01268935,1.405208,10115.044808
2026-01-28,1,4.041206,0.08066005,1.349121,10802.57148
2026-01-29,-1,3.486947,0.09973374,1.544434,10586.804259
2026-01-30,-1,2.355852,0.08924132,1.651719,10697.885427
2026-01-31,-1,2.158893,0.09701896,1.706582,10614.681123
2026-02-01,-1,1.606618,0.08519489,1.686028,10740.189878
2026-02-02,-1,1.177898,0.0723093,1.656464,10878.583605
2026-02-03,-1,1.213355,0.0802268,1.602635,10792.452331
2026-02-04,-1,1.064829,0.07841921,1.563147,10811.960704
2026-02-05,-1,1.750117,0.11942793,1.581788,10368.576076
2026-02-06,-1,1.132084,0.09662831,1.221538,10604.975591
2026-02-07,-1,1.006374,0.09538815,1.082622,10618.127542
2026-02-08,-1,0.93001,0.09596886,1.082115,10611.961481
2026-02-09,-1,1.050455,0.10524489,1.076133,10513.524585
2026-02-10,-1,0.915512,0.1022364,1.086672,10545.154393
2026-02-11,-1,0.820386,0.10067932,1.089618,10561.57403
2026-02-12,-1,0.634706,0.09676546,1.08851,10602.910561
2026-02-13,-1,0.587763,0.0976857,1.107752,10593.15335
2026-02-14,-1,0.511119,0.09755512,1.086962,10594.53662
2026-02-15,-1,0.398356,0.09656968,1.082682,10604.976916
2026-02-16,0,0.404574,0.0985143,1.0823,10600.204677
2026-02-17,0,0.508633,0.09972243,1.081414,10600.204677
2026-02-18,0,-0.33834,0.09174933,1.079517,10600.204677
2026-02-19,0,0.134778,0.09620852,1.065721,10600.204677
2026-02-20,0,0.011211,0.09528965,1.075465,10600.204677
2026-02-21,0,0.093449,0.09603838,1.060204,10600.204677
2026-02-22,0,-0.023612,0.09539794,0.961017,10600.204677
2026-02-23,0,-1.543942,0.08408004,0.950928,10600.204677
2026-02-24,0,-2.744873,0.075409,0.974929,10600.204677
2026-02-25,1,-2.454942,0.07657156,0.958766,10607.758045
2026-02-26,1,0.528223,0.09870673,0.917539,10842.562543
2026-02-27,1,0.428903,0.0980725,0.877902,10835.685821
2026-02-28,0,0.110542,0.09577335,0.798355,10830.809763
2026-03-01,0,1.36474,0.10540651,0.801621,10830.809763
2026-03-02,0,1.569185,0.10700455,0.764599,10830.809763
2026-03-03,0,2.252166,0.11319146,0.774362,10830.809763
2026-03-04,-1,2.828908,0.12096089,0.778236,10741.786698
2026-03-05,-1,1.506375,0.11286344,0.80874,10828.767728
2026-03-06,-1,0.237433,0.10039378,0.791637,10963.798799
2026-03-07,0,0.11136,0.09913589,0.783498,10958.865089
2026-03-08,0,-0.214729,0.09563436,0.84059,10958.865089
2026-03-09,0,-0.485324,0.09247256,0.955028,10958.865089
2026-03-10,0,0.169943,0.09942099,0.935205,10958.865089
2026-03-11,0,-0.036742,0.09749301,0.953521,10958.865089
2026-03-12,0,-1.138358,0.08531388,0.936157,10958.865089
2026-03-13,0,-2.779241,0.06561935,0.95235,10958.865089
