date,position,zscore,spread,beta,equity_net
2025-12-11,0,,0.0,,10000.0
2025-12-12,0,,0.0,,10000.0
2025-12-13,0,,0.0,,10000.0
2025-12-14,0,,0.0,,10000.0
2025-12-15,0,,0.0,,10000.0
2025-12-16,0,,0.0,,10000.0
2025-12-17,0,,0.0,,10000.0
2025-12-18,0,,0.0,,10000.0
2025-12-19,0,,0.0,,10000.0
2025-12-20,0,,0.0,,10000.0
2025-12-21,0,,0.0,,10000.0
2025-12-22,0,,0.0,,10000.0
2025-12-23,0,,0.0,,10000.0
2025-12-24,0,,0.0,,10000.0
2025-12-25,0,,0.0,,10000.0
2025-12-26,0,,0.0,,10000.0
2025-12-27,0,,0.0,,10000.0
2025-12-28,0,,0.0,,10000.0
2025-12-29,0,,0.0,,10000.0
2025-12-30,0,,0.0,,10000.0
2025-12-31,0,0.0,0.0,,10000.0
2026-01-01,0,0.0,0.0,,10000.0
2026-01-02,0,0.0,0.0,,10000.0
2026-01-03,0,0.0,0.0,,10000.0
2026-01-04,0,0.0,0.0,,10000.0
2026-01-05,0,0.0,0.0,,10000.0
2026-01-06,0,0.0,0.0,,10000.0
2026-01-07,0,0.0,0.0,,10000.0
2026-01-08,0,0.0,0.0,,10000.0
2026-01-09,0,0.0,0.0,,10000.0
2026-01-10,0,0.0,0.00103487,0.46345,10000.0
2026-01-11,0,7.076484,0.00168927,0.483286,10000.0
2026-01-12,-1,-16.305683,-0.00691547,0.404428,10081.547318
2026-01-13,1,-10.126943,-0.01677992,0.422635,9973.024916
2026-01-14,1,-7.656836,-0.03204267,0.444383,9820.809191
2026-01-15,1,-4.341614,-0.03743388,0.588631,9767.86308
2026-01-16,1,-2.187653,-0.02886394,0.581668,9851.573172
2026-01-17,1,-1.953086,-0.03002277,0.77666,9840.156849
2026-01-18,1,-1.413244,-0.02631839,0.805521,9876.608519
2026-01-19,1,-1.364941,-0.02769011,0.809218,9863.060542
2026-01-20,1,-0.538601,-0.01787164,0.806509,9959.900769
2026-01-21,1,-2.350308,-0.04442062,0.638212,9695.475572
2026-01-22,1,-1.697844,-0.04004132,0.366586,9737.934914
2026-01-23,1,0.239982,-0.01132165,0.429716,10017.605213
2026-01-24,0,0.343524,-0.01030239,0.60771,10013.09729
2026-01-25,0,0.489945,-0.00863534,0.605017,10013.09729
2026-01-26,0,0.956003,-0.00205585,0.595668,10013.09729
2026-01-27,0,1.933809,0.01270302,0.654016,10013.09729
2026-01-28,0,-2.531055,-0.05746691,0.71573,10013.09729
2026-01-29,1,-3.902888,-0.09022337,0.581249,9680.59782
2026-01-30,1,-3.002398,-0.09450761,0.72259,9639.123823
2026-01-31,1,-2.44842,-0.09615323,0.720663,9623.261484
2026-02-01,1,-2.258403,-0.1023255,0.710328,9563.864118
2026-02-02,1,-2.133848,-0.10961695,0.655282,9494.1296
2026-02-03,1,-2.263333,-0.125778,0.633521,9340.694554
2026-02-04,1,-1.702713,-0.11721197,0.723535,9420.707223
2026-02-05,1,-1.837696,-0.13181654,0.640243,9283.121856
2026-02-06,1,-1.608818,-0.13201858,0.740042,9281.246236
2026-02-07,1,-1.34195,-0.12788087,0.757485,9319.64939
2026-02-08,1,-1.191195,-0.12716132,0.762455,9326.355349
2026-02-09,1,-0.663297,-0.10591171,0.764233,9524.536748
2026-02-10,1,-0.626844,-0.1077499,0.797268,9507.028811
2026-02-11,1,-0.939777,-0.1266132,0.795714,9327.694939
2026-02-12,1,-0.592798,-0.11356453,0.805201,9449.408899
2026-02-13,1,-0.430859,-0.1093752,0.746773,9488.995589
2026-02-14,0,-0.334568,-0.10852711,0.719544,9484.725541
2026-02-15,0,-0.213093,-0.10712572,0.722526,9484.725541
2026-02-16,0,-0.123011,-0.10792268,0.72288,9484.725541
2026-02-17,0,-0.691047,-0.12206622,0.724417,9484.725541
2026-02-18,0,-0.234681,-0.11613974,0.716613,9484.725541
2026-02-19,0,-0.536253,-0.12059431,0.727117,9484.725541
2026-02-20,0,-1.805081,-0.13466539,0.766911,9484.725541
2026-02-21,0,-1.623799,-0.13427012,0.798921,9484.725541
2026-02-22,0,-1.703995,-0.13662816,0.798948,9484.725541
2026-02-23,0,-3.314367,-0.15578218,0.74417,9484.725541
2026-02-24,1,-2.32096,-0.15272789,0.769626,9509.426476
2026-02-25,1,-1.114693,-0.14039139,0.79215,9626.739509
2026-02-26,1,-0.270236,-0.12844485,0.812663,9741.745799
2026-02-27,0,-0.186082,-0.12697897,0.739015,9737.362013
2026-02-28,0,-0.297186,-0.1286037,0.808418,9737.362013
2026-03-01,0,0.208353,-0.12106521,0.802487,9737.362013
2026-03-02,0,0.128607,-0.12310138,0.782975,9737.362013
2026-03-03,0,1.5767,-0.10381155,0.777871,9737.362013
2026-03-04,0,1.177397,-0.10724058,0.775117,9737.362013
2026-03-05,0,1.914558,-0.09546214,0.780181,9737.362013
2026-03-06,0,2.193303,-0.08835118,0.745274,9737.362013
2026-03-07,-1,1.918403,-0.08877712,0.749523,9737.127765
2026-03-08,-1,1.579799,-0.0918048,0.640397,9766.608703
2026-03-09,-1,1.369155,-0.09369565,0.630454,9785.075882
2026-03-10,-1,0.700604,-0.10490202,0.609073,9894.731063
2026-03-11,-1,0.456613,-0.10928681,0.576188,9938.117343
2026-03-12,0,0.630436,-0.10501027,0.538075,9933.64519
