date,position,zscore,spread,beta,equity_net
2025-12-11,0,,0.0,,10000.0
2025-12-12,0,,0.0,,10000.0
2025-12-13,0,,0.0,,10000.0
2025-12-14,0,,0.0,,10000.0
2025-12-15,0,,0.0,,10000.0
2025-12-16,0,,0.0,,10000.0
2025-12-17,0,,0.0,,10000.0
2025-12-18,0,,0.0,,10000.0
2025-12-19,0,,0.0,,10000.0
2025-12-20,0,,0.0,,10000.0
2025-12-21,0,,0.0,,10000.0
2025-12-22,0,,0.0,,10000.0
2025-12-23,0,,0.0,,10000.0
2025-12-24,0,,0.0,,10000.0
2025-12-25,0,,0.0,,10000.0
2025-12-26,0,,0.0,,10000.0
2025-12-27,0,,0.0,,10000.0
2025-12-28,0,,0.0,,10000.0
2025-12-29,0,,0.0,,10000.0
2025-12-30,0,,0.0,,10000.0
2025-12-31,0,0.0,0.0,,10000.0
2026-01-01,0,0.0,0.0,,10000.0
2026-01-02,0,0.0,0.0,,10000.0
2026-01-03,0,0.0,0.0,,10000.0
2026-01-04,0,0.0,0.0,,10000.0
2026-01-05,0,0.0,0.0,,10000.0
2026-01-06,0,0.0,0.0,,10000.0
2026-01-07,0,0.0,0.0,,10000.0
2026-01-08,0,0.0,0.0,,10000.0
2026-01-09,0,0.0,0.0,,10000.0
2026-01-10,0,0.0,-0.00366295,1.449246,10000.0
2026-01-11,0,0.352986,0.00010597,1.436874,10000.0
2026-01-12,0,1.205634,0.00081155,1.317535,10000.0
2026-01-13,0,13.90204,0.01167201,1.319699,10000.0
2026-01-14,-1,5.249311,0.0150145,1.28253,9962.075095
2026-01-15,-1,8.686435,0.03832421,1.252789,9729.862041
2026-01-16,-1,3.407631,0.03487497,1.291052,9763.422633
2026-01-17,-1,2.761623,0.03709366,1.106629,9741.760664
2026-01-18,-1,2.020854,0.03427937,1.118639,9769.17676
2026-01-19,-1,1.328516,0.02815888,0.872432,9828.968904
2026-01-20,-1,0.820736,0.02242329,0.906292,9885.343895
2026-01-21,-1,1.681728,0.03685719,1.029016,9742.659772
2026-01-22,-1,0.392223,0.0191542,1.14446,9915.134033
2026-01-23,0,0.969511,0.02924304,0.822196,9910.672223
2026-01-24,0,0.822048,0.0283602,0.881055,9910.672223
2026-01-25,0,0.59028,0.02597602,0.884083,9910.672223
2026-01-26,0,-0.078389,0.01672333,0.918427,9910.672223
2026-01-27,0,0.292419,0.02311817,0.837774,9910.672223
2026-01-28,0,0.648584,0.02914684,0.866303,9910.672223
2026-01-29,0,1.055769,0.03568323,0.862145,9910.672223
2026-01-30,0,0.917929,0.03502264,0.8791,9910.672223
2026-01-31,0,0.653631,0.03262198,0.89757,9910.672223
2026-02-01,0,0.626002,0.03297755,0.909425,9910.672223
2026-02-02,0,-2.09545,0.01161865,0.980433,9910.672223
2026-02-03,1,-4.867856,-0.01053102,0.884586,9686.69432
2026-02-04,1,-2.56286,-0.00240954,1.043538,9765.364606
2026-02-05,1,-1.703409,0.00301764,0.996406,9818.362951
2026-02-06,1,2.672964,0.05973683,0.937503,10375.252536
2026-02-07,-1,2.178047,0.05849321,1.289997,10378.817609
2026-02-08,-1,1.949859,0.05936337,1.291721,10369.7864
2026-02-09,-1,2.359058,0.07167549,1.30834,10242.112326
2026-02-10,-1,1.954171,0.07121061,1.324715,10246.873673
2026-02-11,-1,2.339194,0.08555372,1.325762,10099.901696
2026-02-12,-1,2.654812,0.10343819,1.317356,9919.2703
2026-02-13,-1,1.78064,0.09194325,1.269648,10033.291714
2026-02-14,-1,1.595269,0.09300326,1.292209,10022.656283
2026-02-15,-1,1.267468,0.08799682,1.279428,10072.834176
2026-02-16,-1,1.096784,0.08644299,1.278814,10088.485617
2026-02-17,-1,1.45761,0.10268685,1.277197,9924.609674
2026-02-18,-1,1.468743,0.10871431,1.287535,9864.789506
2026-02-19,-1,1.228003,0.10553906,1.288268,9896.112658
2026-02-20,-1,0.932082,0.09873027,1.285809,9963.493223
2026-02-21,-1,0.840528,0.09859537,1.240103,9964.837251
2026-02-22,-1,0.779838,0.09939378,1.30704,9956.881244
2026-02-23,-1,1.425746,0.12597309,1.301799,9692.234239
2026-02-24,-1,1.258721,0.12163293,1.259598,9734.300096
2026-02-25,-1,1.22632,0.12041035,1.242883,9746.201053
2026-02-26,-1,-0.209305,0.08827267,1.285363,10059.421309
2026-02-27,0,-1.565332,0.06444771,1.37703,10054.89457
2026-02-28,0,-1.472447,0.06730699,1.416544,10054.89457
2026-03-01,0,-0.453167,0.08668457,1.418184,10054.89457
2026-03-02,0,-0.846129,0.08114457,1.384427,10054.89457
2026-03-03,0,-1.343662,0.07408662,1.358136,10054.89457
2026-03-04,0,-1.326653,0.07302407,1.365743,10054.89457
2026-03-05,0,-1.359955,0.07013788,1.404697,10054.89457
2026-03-06,0,-1.042245,0.07375471,1.363145,10054.89457
2026-03-07,0,-1.272054,0.06799364,1.391299,10054.89457
2026-03-08,0,-0.840953,0.07442787,1.610523,10054.89457
2026-03-09,0,-0.231709,0.08557602,1.234489,10054.89457
2026-03-10,0,0.115501,0.09154789,1.305914,10054.89457
2026-03-11,0,0.538585,0.0986672,1.320229,10054.89457
2026-03-12,0,0.671079,0.10066297,1.286371,10054.89457
2026-03-13,0,1.241496,0.11152405,1.283552,10054.89457
2026-03-14,0,1.034959,0.10889855,1.250938,10054.89457
