date,position,zscore,spread,beta,equity_net
2025-12-11,0,,0.0,,10000.0
2025-12-12,0,,0.0,,10000.0
2025-12-13,0,,0.0,,10000.0
2025-12-14,0,,0.0,,10000.0
2025-12-15,0,,0.0,,10000.0
2025-12-16,0,,0.0,,10000.0
2025-12-17,0,,0.0,,10000.0
2025-12-18,0,,0.0,,10000.0
2025-12-19,0,,0.0,,10000.0
2025-12-20,0,,0.0,,10000.0
2025-12-21,0,,0.0,,10000.0
2025-12-22,0,,0.0,,10000.0
2025-12-23,0,,0.0,,10000.0
2025-12-24,0,,0.0,,10000.0
2025-12-25,0,,0.0,,10000.0
2025-12-26,0,,0.0,,10000.0
2025-12-27,0,,0.0,,10000.0
2025-12-28,0,,0.0,,10000.0
2025-12-29,0,,0.0,,10000.0
2025-12-30,0,,0.0,,10000.0
2025-12-31,0,0.0,0.0,,10000.0
2026-01-01,0,0.0,0.0,,10000.0
2026-01-02,0,0.0,0.0,,10000.0
2026-01-03,0,0.0,0.0,,10000.0
2026-01-04,0,0.0,0.0,,10000.0
2026-01-05,0,0.0,0.0,,10000.0
2026-01-06,0,0.0,0.0,,10000.0
2026-01-07,0,0.0,0.0,,10000.0
2026-01-08,0,0.0,0.0,,10000.0
2026-01-09,0,0.0,0.0,,10000.0
2026-01-10,0,0.0,-0.00292151,1.704971,10000.0
2026-01-11,0,-0.342983,-0.00037014,1.696447,10000.0
2026-01-12,0,17.05366,0.01099116,1.995659,10000.0
2026-01-13,-1,5.565074,0.01474525,1.970028,9957.959067
2026-01-14,-1,5.694436,0.02455413,1.959629,9860.282629
2026-01-15,-1,3.268119,0.02407172,1.769277,9865.039329
2026-01-16,-1,2.512255,0.0241471,1.703211,9864.295724
2026-01-17,-1,2.103591,0.02441754,1.607594,9861.628015
2026-01-18,-1,1.702501,0.02341813,1.398526,9871.483881
2026-01-19,-1,2.128105,0.03022723,1.538625,9804.267958
2026-01-20,-1,1.664678,0.02839531,1.525182,9822.228544
2026-01-21,-1,2.522676,0.04148168,1.532061,9693.691185
2026-01-22,-1,2.672844,0.04966496,1.653696,9614.365048
2026-01-23,-1,0.93996,0.02970062,1.932755,9806.309498
2026-01-24,-1,0.736464,0.02788696,1.811468,9824.09482
2026-01-25,-1,0.797877,0.03004907,1.817336,9802.854021
2026-01-26,-1,-1.989101,-0.01155317,1.79214,10210.674758
2026-01-27,-1,-3.143428,-0.03283223,1.456625,10427.948305
2026-01-28,1,-2.295574,-0.02816535,1.369344,10467.229211
2026-01-29,1,-2.382221,-0.03642705,1.281013,10380.752014
2026-01-30,1,-1.703709,-0.0281097,1.338462,10467.092404
2026-01-31,1,-1.602584,-0.02929293,1.299039,10454.707401
2026-02-01,1,-1.406954,-0.02777825,1.296361,10470.542918
2026-02-02,1,-1.84123,-0.0440886,1.260783,10299.764727
2026-02-03,1,-1.20939,-0.03160449,1.197289,10428.348153
2026-02-04,1,-1.436786,-0.04257534,1.087751,10313.940317
2026-02-05,1,-1.087058,-0.03603624,1.131197,10381.38417
2026-02-06,1,-0.424839,-0.01735895,1.048791,10575.280333
2026-02-07,0,-0.392271,-0.01815821,1.176013,10570.521457
2026-02-08,0,-0.295757,-0.01688407,1.174453,10570.521457
2026-02-09,0,-0.126043,-0.01360692,1.155049,10570.521457
2026-02-10,0,0.670886,0.00821189,1.161168,10570.521457
2026-02-11,0,1.191689,0.01934387,1.152152,10570.521457
2026-02-12,0,1.42286,0.01993878,1.146754,10570.521457
2026-02-13,0,2.089047,0.03400983,1.145595,10570.521457
2026-02-14,-1,2.150572,0.03710884,1.117932,10533.006572
2026-02-15,-1,2.072754,0.03708701,1.118864,10533.236549
2026-02-16,-1,1.795789,0.0371897,1.118794,10532.154874
2026-02-17,-1,0.744886,0.01292883,1.117817,10787.674079
2026-02-18,-1,0.601568,0.01080087,1.098861,10810.62987
2026-02-19,-1,0.586411,0.01235682,1.098618,10793.809047
2026-02-20,-1,-0.050806,-0.00385908,1.061121,10968.840416
2026-02-21,0,-0.156232,-0.00546214,0.969124,10963.904437
2026-02-22,0,-0.17419,-0.00472188,0.903709,10963.904437
2026-02-23,0,-0.910025,-0.02071574,0.92024,10963.904437
2026-02-24,0,-0.269737,-0.00405551,0.946911,10963.904437
2026-02-25,0,-0.30283,-0.00221866,0.974928,10963.904437
2026-02-26,0,-0.549976,-0.00478879,1.067693,10963.904437
2026-02-27,0,-0.587619,-0.00455668,1.107994,10963.904437
2026-02-28,0,-0.49419,-0.00173707,1.102676,10963.904437
2026-03-01,0,-0.051698,0.00724518,1.10155,10963.904437
2026-03-02,0,-0.843503,-0.00513284,1.090067,10963.904437
2026-03-03,0,-2.221747,-0.02989513,1.040344,10963.904437
2026-03-04,1,-0.803598,-0.00926523,1.049277,11185.154916
2026-03-05,1,-0.757068,-0.0098377,1.132017,11178.751753
2026-03-06,1,-0.642304,-0.00915488,1.159008,11186.384843
2026-03-07,1,-0.70239,-0.01128166,1.13095,11162.593843
2026-03-08,1,-0.932163,-0.01521663,1.191695,11118.669346
2026-03-09,1,-0.893327,-0.01434863,1.054182,11128.320399
2026-03-10,1,-1.090816,-0.01704268,1.061138,11098.340112
2026-03-11,1,1.131649,0.00279742,1.05301,11318.532331
2026-03-12,1,-0.481758,-0.01219873,1.011964,11148.797848
