date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,vntl_mag7_close
2025-12-10,278.68,230.77,319.89,645.04,477.94,181.59,449.55,66.936
2025-12-11,279.15,230.59,313.59,652.57,484.65,180.16,446.23,66.796
2025-12-12,277.64,226.16,308.23,642.58,477.04,174.83,456.2,66.1
2025-12-13,277.53,226.32,308.57,644.27,476.81,175.24,456.4,66.119
2025-12-14,276.85,225.97,308.33,641.73,475.26,173.54,454.39,65.973
2025-12-15,274.15,222.56,307.62,646.25,474.32,176.09,473.38,66.24
2025-12-16,273.6,222.12,305.94,656.2,475.25,177.06,486.45,66.536
2025-12-17,272.05,221.3,296.56,649.5,477.04,170.95,467.17,65.332
2025-12-18,271.57,226.87,302.05,663.07,483.01,175.02,485.06,66.579
2025-12-19,272.79,227.86,307.65,661.96,485.35,181.13,483.35,67.122
2025-12-20,272.0,228.14,309.51,660.29,486.35,181.38,482.86,67.266
2025-12-21,272.79,229.29,309.64,658.62,486.22,181.2,482.89,67.272
2025-12-22,270.67,228.64,309.94,661.3,485.3,183.32,489.83,67.429
2025-12-23,272.13,232.07,314.96,664.83,486.7,188.45,485.58,68.12
2025-12-24,273.82,231.42,314.34,663.8,487.64,188.12,485.86,68.142
2025-12-25,273.83,233.58,313.82,667.69,489.11,187.9,484.39,68.227
2025-12-26,273.11,232.76,313.35,662.5,487.48,190.32,475.11,67.959
2025-12-27,273.58,233.33,311.98,660.88,487.42,190.98,472.47,67.976
2025-12-28,273.51,233.95,311.83,659.26,489.02,190.18,475.76,67.996
2025-12-29,273.41,232.01,313.11,657.42,485.96,187.84,458.38,67.224
2025-12-30,272.88,232.59,313.93,665.67,488.93,187.24,455.18,66.51
2025-12-31,272.17,231.05,313.15,659.57,484.01,186.84,450.27,66.031
2026-01-01,271.62,231.83,312.84,658.32,483.08,187.76,451.53,66.055
2026-01-02,270.96,226.78,315.22,649.86,473.0,188.88,441.31,65.42
2026-01-03,270.82,224.6,318.06,647.21,474.56,190.14,441.79,65.601
2026-01-04,270.9,226.15,316.98,648.83,474.05,189.1,446.23,65.657
2026-01-05,267.22,232.88,316.75,658.42,473.09,187.9,451.86,65.904
2026-01-06,262.36,241.18,314.39,660.57,478.43,188.33,435.1,65.74
2026-01-07,260.55,241.7,322.56,649.09,483.68,189.06,432.17,65.933
2026-01-08,259.17,246.17,325.6,644.64,478.05,185.07,435.75,65.902
2026-01-09,259.12,247.69,329.32,653.37,478.96,184.97,445.29,66.372
2026-01-10,260.08,249.39,329.22,654.37,479.76,184.66,445.03,66.463
2026-01-11,259.15,248.1,330.86,653.72,480.06,185.34,446.12,66.459
2026-01-12,259.92,246.01,332.09,642.5,475.38,184.78,448.67,66.271
2026-01-13,260.98,242.54,337.29,630.68,469.96,185.9,447.14,66.03
2026-01-14,259.51,236.71,335.32,614.86,459.58,182.86,438.07,65.016
2026-01-15,258.37,237.97,333.04,621.24,457.56,187.51,439.17,65.126
2026-01-16,255.42,238.82,329.7,620.13,460.95,186.38,437.71,64.996
2026-01-17,254.68,236.99,327.63,619.5,459.16,186.07,435.36,64.768
2026-01-18,254.39,236.87,327.69,617.87,460.05,185.09,433.59,64.626
2026-01-19,253.55,236.43,325.32,614.19,457.95,183.32,433.91,64.371
2026-01-20,246.93,231.21,320.32,603.87,454.58,178.73,419.02,63.0
2026-01-21,248.48,231.84,329.84,615.86,446.55,183.87,433.44,63.877
2026-01-22,248.81,235.4,330.82,647.75,451.24,184.13,448.96,64.944
2026-01-23,247.96,238.85,327.85,658.04,465.97,187.37,447.92,65.537
2026-01-24,247.93,239.02,327.7,657.9,466.54,187.26,447.38,65.559
2026-01-25,246.6,238.26,325.94,653.74,465.01,185.46,441.7,65.023
2026-01-26,256.41,238.87,333.92,673.16,472.47,186.45,435.9,66.056
2026-01-27,258.18,245.02,334.71,673.06,482.03,188.95,431.94,66.609
2026-01-28,256.81,240.89,341.32,722.53,449.62,190.76,436.38,66.882
2026-01-29,260.23,241.68,338.01,731.99,433.88,191.37,430.61,66.623
2026-01-30,259.41,239.39,337.52,714.51,429.48,189.88,429.52,66.083
2026-01-31,257.6,237.04,333.29,708.59,425.86,187.82,423.76,65.461
2026-02-01,257.99,235.58,335.61,705.34,424.53,188.62,426.76,65.742
2026-02-02,268.58,243.99,347.19,707.11,424.02,186.31,424.8,66.353
2026-02-03,270.17,239.35,342.83,692.47,412.37,179.24,421.02,65.168
2026-02-04,274.64,233.93,328.66,671.22,410.39,177.24,407.94,63.964
2026-02-05,275.25,198.18,323.64,651.24,392.64,170.3,389.96,61.102
2026-02-06,277.05,209.81,323.91,663.85,402.59,185.47,411.36,63.211
2026-02-07,277.62,210.24,324.5,664.05,404.69,185.58,411.72,63.301
2026-02-08,277.74,210.37,325.14,665.9,405.61,186.23,413.23,63.43
2026-02-09,273.35,209.09,324.36,676.98,416.35,190.19,417.85,63.864
2026-02-10,274.48,207.83,318.83,672.34,414.41,189.21,425.25,63.638
2026-02-11,275.72,204.31,312.16,667.31,404.8,190.56,427.32,63.292
2026-02-12,262.05,199.39,309.2,647.69,402.45,188.09,416.1,61.81
2026-02-13,255.48,198.83,306.3,639.94,400.64,183.15,416.41,61.091
2026-02-14,255.56,199.24,306.2,640.05,401.06,183.41,417.83,61.108
2026-02-15,255.26,198.91,306.03,638.41,401.2,182.15,417.14,61.019
2026-02-16,255.87,199.68,305.52,640.58,401.27,182.18,417.81,61.101
2026-02-17,264.57,200.9,301.01,643.44,396.47,185.84,409.08,61.285
2026-02-18,263.69,205.24,303.63,641.88,400.28,188.19,410.52,61.6
2026-02-19,261.16,205.18,304.73,644.82,398.53,187.62,411.21,61.607
2026-02-20,264.43,210.12,315.75,655.0,397.67,190.09,411.32,62.564
2026-02-21,264.59,210.38,316.11,655.89,398.01,190.2,410.89,62.6
2026-02-22,263.93,209.63,315.11,654.02,396.34,189.78,410.34,62.456
2026-02-23,267.36,205.37,312.9,639.03,385.15,191.81,399.17,61.694
2026-02-24,271.56,208.71,311.16,638.73,388.82,193.01,409.0,62.213
2026-02-25,274.34,209.23,312.44,647.81,397.81,196.04,415.18,63.06
2026-02-26,271.56,206.4,308.58,652.29,397.2,185.56,406.76,62.014
