fee_bps,spread_bps_roundtrip,total_cost_bps,avg_sharpe,avg_return_pct,avg_mdd_pct,n_tickers
0.0,0.0,0.0,2.581,10.096,-1.081,7
0.0,5.0,5.0,2.42,9.475,-1.102,7
0.0,10.0,10.0,2.251,8.858,-1.132,7
0.0,15.0,15.0,2.074,8.243,-1.174,7
0.0,20.0,20.0,1.891,7.632,-1.218,7
0.0,30.0,30.0,1.511,6.419,-1.434,7
0.0,40.0,40.0,1.121,5.219,-1.744,7
0.0,50.0,50.0,0.734,4.031,-2.201,7
0.5,0.0,1.0,2.55,9.972,-1.085,7
0.5,5.0,6.0,2.387,9.351,-1.107,7
0.5,10.0,11.0,2.216,8.735,-1.14,7
0.5,15.0,16.0,2.038,8.121,-1.183,7
0.5,20.0,21.0,1.854,7.51,-1.232,7
0.5,30.0,31.0,1.472,6.299,-1.462,7
0.5,40.0,41.0,1.082,5.1,-1.78,7
0.5,50.0,51.0,0.696,3.913,-2.25,7
1.0,0.0,2.0,2.518,9.847,-1.09,7
1.0,5.0,7.0,2.353,9.228,-1.111,7
1.0,10.0,12.0,2.181,8.612,-1.149,7
1.0,15.0,17.0,2.002,7.999,-1.191,7
1.0,20.0,22.0,1.816,7.389,-1.246,7
1.0,30.0,32.0,1.433,6.178,-1.491,7
1.0,40.0,42.0,1.043,4.98,-1.821,7
1.0,50.0,52.0,0.658,3.795,-2.301,7
2.0,0.0,4.0,2.453,9.599,-1.098,7
2.0,5.0,9.0,2.285,8.981,-1.123,7
2.0,10.0,14.0,2.11,8.366,-1.166,7
2.0,15.0,19.0,1.928,7.754,-1.208,7
2.0,20.0,24.0,1.741,7.146,-1.289,7
2.0,30.0,34.0,1.355,5.938,-1.547,7
2.0,40.0,44.0,0.965,4.742,-1.914,7
2.0,50.0,54.0,0.583,3.559,-2.408,7
3.0,0.0,6.0,2.387,9.351,-1.107,7
3.0,5.0,11.0,2.216,8.735,-1.14,7
3.0,10.0,16.0,2.038,8.121,-1.183,7
3.0,15.0,21.0,1.854,7.51,-1.232,7
3.0,20.0,26.0,1.665,6.903,-1.338,7
3.0,30.0,36.0,1.277,5.698,-1.607,7
3.0,40.0,46.0,0.888,4.505,-2.007,7
3.0,50.0,56.0,0.508,3.324,-2.514,7
4.5,0.0,9.0,2.285,8.981,-1.123,7
4.5,5.0,14.0,2.11,8.366,-1.166,7
4.5,10.0,19.0,1.928,7.754,-1.208,7
4.5,15.0,24.0,1.741,7.146,-1.289,7
4.5,20.0,29.0,1.549,6.54,-1.41,7
4.5,30.0,39.0,1.16,5.339,-1.708,7
4.5,40.0,49.0,0.773,4.149,-2.152,7
4.5,50.0,59.0,0.398,2.973,-2.673,7
6.0,0.0,12.0,2.181,8.612,-1.149,7
6.0,5.0,17.0,2.002,7.999,-1.191,7
6.0,10.0,22.0,1.816,7.389,-1.246,7
6.0,15.0,27.0,1.626,6.782,-1.362,7
6.0,20.0,32.0,1.433,6.178,-1.491,7
6.0,30.0,42.0,1.043,4.98,-1.821,7
6.0,40.0,52.0,0.658,3.795,-2.301,7
6.0,50.0,62.0,0.288,2.622,-2.832,7
8.0,0.0,16.0,2.038,8.121,-1.183,7
8.0,5.0,21.0,1.854,7.51,-1.232,7
8.0,10.0,26.0,1.665,6.903,-1.338,7
8.0,15.0,31.0,1.472,6.299,-1.462,7
8.0,20.0,36.0,1.277,5.698,-1.607,7
8.0,30.0,46.0,0.888,4.505,-2.007,7
8.0,40.0,56.0,0.508,3.324,-2.514,7
8.0,50.0,66.0,0.146,2.156,-3.061,7
10.0,0.0,20.0,1.891,7.632,-1.218,7
10.0,5.0,25.0,1.703,7.024,-1.314,7
10.0,10.0,30.0,1.511,6.419,-1.434,7
10.0,15.0,35.0,1.316,5.818,-1.575,7
10.0,20.0,40.0,1.121,5.219,-1.744,7
10.0,30.0,50.0,0.734,4.031,-2.201,7
10.0,40.0,60.0,0.361,2.856,-2.726,7
10.0,50.0,70.0,0.007,1.692,-3.311,7
