sample,regime,feature,target,corr,n
FULL,high,rolling_beta,fwd_ret_1d,0.0004056102438990202,331
FULL,high,rolling_beta,fwd_ret_5d,-0.04776419934040403,331
FULL,high,rolling_beta,fwd_ret_10d,-0.051139296706874365,329
FULL,high,rolling_beta,z_reversion_1d,-0.013619028037012468,331
FULL,high,delta_beta,fwd_ret_1d,0.05496765556909991,331
FULL,high,delta_beta,fwd_ret_5d,-0.044145437800349976,331
FULL,high,delta_beta,fwd_ret_10d,-0.02527538506516609,329
FULL,high,delta_beta,z_reversion_1d,-0.042136358835165616,331
FULL,high,beta_adjustment,fwd_ret_1d,-0.007576643103441426,331
FULL,high,beta_adjustment,fwd_ret_5d,-0.12359880551573142,331
FULL,high,beta_adjustment,fwd_ret_10d,-0.07277295870857839,329
FULL,high,beta_adjustment,z_reversion_1d,-0.12654094680053204,331
FULL,high,zscore,fwd_ret_1d,0.10343257930640974,331
FULL,high,zscore,fwd_ret_5d,0.030335102501788065,331
FULL,high,zscore,fwd_ret_10d,-0.012746688402342884,329
FULL,high,zscore,z_reversion_1d,0.04070191148772738,331
FULL,high,ou_kappa,fwd_ret_1d,-0.03659712346404724,330
FULL,high,ou_kappa,fwd_ret_5d,-0.08168832711053536,330
FULL,high,ou_kappa,fwd_ret_10d,-0.08901215514202573,328
FULL,high,ou_kappa,z_reversion_1d,-0.022369712812442908,330
FULL,mid,rolling_beta,fwd_ret_1d,-0.005178812037141671,221
FULL,mid,rolling_beta,fwd_ret_5d,-0.05132165718729963,217
FULL,mid,rolling_beta,fwd_ret_10d,-0.07602366623989255,214
FULL,mid,rolling_beta,z_reversion_1d,-0.030567509024785448,221
FULL,mid,delta_beta,fwd_ret_1d,-0.04331955380168813,221
FULL,mid,delta_beta,fwd_ret_5d,0.06733106184721904,217
FULL,mid,delta_beta,fwd_ret_10d,0.01958912994221023,214
FULL,mid,delta_beta,z_reversion_1d,-0.052859825814326,221
FULL,mid,beta_adjustment,fwd_ret_1d,-0.04219185810040863,221
FULL,mid,beta_adjustment,fwd_ret_5d,-0.010860181537656085,217
FULL,mid,beta_adjustment,fwd_ret_10d,0.02822990284649952,214
FULL,mid,beta_adjustment,z_reversion_1d,-0.05984330210898069,221
FULL,mid,zscore,fwd_ret_1d,0.06734308031569182,221
FULL,mid,zscore,fwd_ret_5d,0.01374718318896765,217
FULL,mid,zscore,fwd_ret_10d,-0.12909277572400715,214
FULL,mid,zscore,z_reversion_1d,-0.03268251011835413,221
FULL,mid,ou_kappa,fwd_ret_1d,-0.045308758293211265,221
FULL,mid,ou_kappa,fwd_ret_5d,-0.10104147617529526,217
FULL,mid,ou_kappa,fwd_ret_10d,-0.0959060184204331,214
FULL,mid,ou_kappa,z_reversion_1d,-0.05493139244311677,221
FULL,low,rolling_beta,fwd_ret_1d,-0.06603180653482937,348
FULL,low,rolling_beta,fwd_ret_5d,-0.1160193203403592,348
FULL,low,rolling_beta,fwd_ret_10d,-0.12345419180282881,348
