date,asset_close,btc_close,a_ret,b_ret,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_net,source,beta_window,z_entry,z_exit,rolling_vol,rolling_corr,drawdown_depth,signal_density,ou_kappa,ou_half_life,ou_sigma,ou_regime,vol_regime,corr_regime,dd_regime,ret_baseline,ret_guard_ou,ret_guard_ou_corr,ret_guard_ou_corr_vol,ret_size_ou_soft,ret_size_ou_corr_soft,ret_size_adaptive,guard_ou_active,guard_ou_corr_active,guard_ou_corr_vol_active,horizon,fold,vol_thr_train_q75
2024-01-02,68.51499938964844,44957.96875,0.08475033638755125,0.06790040350001258,-0.07486959352248679,0.6842485430387008,1.0074432831820688,0,0.01634453095611134,0.0,0.0,yahoo_daily,120,2.25,0.75,0.02709932598381062,0.7613295072351439,-0.00045000000000006146,5.0,0.030681130909978382,22.591969722162816,0.03193020787767304,medium,low,high,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,1m,1,0.03940870673020537
2024-01-03,63.10599899291992,42848.17578125,-0.07894622265071105,-0.04692812036242189,-0.0751039811017975,0.6874220330513738,1.02059402836546,0,-0.031051663246407728,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.027552388850243616,0.7903960191444496,-0.00045000000000006146,5.0,0.03160545907841725,21.931248612467776,0.03196654396093522,medium,low,high,calm,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,True,True,1m,1,0.03940870673020537
2024-01-04,65.58100128173828,44179.921875,0.03921976243646874,0.03108057856532498,-0.08885225823424925,0.4781987847792716,1.008707737279645,0,0.00786854235849755,0.0,0.0,yahoo_daily,120,2.25,0.75,0.027375484247022592,0.7916660233140422,-0.00045000000000006146,5.0,0.024361466271944594,28.45260514381249,0.031129443280301813,medium,low,high,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,1m,1,0.03940870673020537
2024-01-05,63.108001708984375,44162.69140625,-0.03770908532075945,-0.0003900067727314882,-0.12662521515074943,-0.10046377534714208,1.0256300476365376,0,-0.03730908265586428,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.02824310091095667,0.7798760074057645,-0.00045000000000006146,5.0,0.027598643023697456,25.11526309336214,0.03101168368888384,medium,low,high,calm,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,True,True,1m,1,0.03940870673020537
2024-01-08,59.80099868774414,46970.50390625,-0.05240227755095328,0.06357883567763345,-0.2856120690281969,-2.5087737760355937,1.0258377812762602,1,-0.11762384927862471,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.03555694276989399,0.6424060101750261,-0.00045000000000006146,4.0,0.03187458409815354,21.74607764058947,0.03182646981083164,medium,mid,mid,calm,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,True,True,1m,1,0.03940870673020537
2024-01-09,57.729000091552734,46139.73046875,-0.03464822731490691,-0.017687130611972357,-0.29042914289097865,-2.281634399555016,0.944501048172768,1,-0.017942713912730366,0.00045,-0.018392713912730365,yahoo_daily,120,2.25,0.75,0.03550577505115533,0.6522958211265276,-0.01883443719146971,3.0,0.029623888680363412,23.39825091968453,0.03156954873635629,medium,mid,mid,calm,-0.018392713912730365,-0.018392713912730365,-0.018392713912730365,-0.018392713912730365,-0.018392713912730365,-0.018392713912730365,-0.005883572888496947,True,True,True,1m,1,0.03940870673020537
2024-01-10,56.56700134277344,46627.77734375,-0.02012850988128112,0.010577584004972662,-0.3287143795313803,-2.448676770796437,0.9491805273571786,1,-0.03016854664528593,0.0,-0.03016854664528593,yahoo_daily,120,2.25,0.75,0.035356701028196234,0.6420167135752036,-0.048434776239807076,2.0,0.02854360717740119,24.283797638188148,0.03136445377476074,medium,mid,mid,calm,-0.03016854664528593,-0.03016854664528593,-0.03016854664528593,-0.03016854664528593,-0.03016854664528593,-0.03016854664528593,-0.009705354936951615,True,True,True,1m,1,0.03940870673020537
2024-01-11,53.61800003051758,46368.5859375,-0.05213289094795903,-0.005558733892443213,-0.37274526702886934,-2.571236067229327,0.9448903224173003,1,-0.04688049708809639,0.0,-0.04688049708809639,yahoo_daily,120,2.25,0.75,0.03621841702087278,0.639796061087185,-0.09304462694143067,2.0,0.028729511589958564,24.12666078187739,0.03149344792446192,medium,mid,mid,elevated,-0.04688049708809639,-0.04688049708809639,-0.04688049708809639,-0.04688049708809639,-0.04688049708809639,-0.04688049708809639,-0.014603674920100828,True,True,True,1m,1,0.03940870673020537
2024-01-12,48.553001403808594,42853.16796875,-0.09446451982218951,-0.07581464687080208,-0.3374625648396883,-1.9379400743619006,0.9499573337994699,1,-0.022443840017854044,0.0,-0.022443840017854044,yahoo_daily,120,2.25,0.75,0.036344623203044824,0.6924207038462142,-0.11340018823769038,2.0,0.028443887613157783,24.368932615220437,0.03152137705105911,medium,mid,mid,elevated,-0.022443840017854044,-0.022443840017854044,-0.022443840017854044,-0.022443840017854044,-0.022443840017854044,-0.022443840017854044,-0.007743741496641165,True,True,True,1m,1,0.03940870673020537
2024-01-16,48.2140007019043,43154.9453125,-0.006982075095314344,0.007042124492874446,-0.35644142280343694,-1.9306363868687406,0.9716924373458342,1,-0.013824854207888312,0.0,-0.013824854207888312,yahoo_daily,120,2.25,0.75,0.036347381662393145,0.6911119514980576,-0.12565730137604547,2.0,0.028470270456966082,24.346350401119796,0.03143390460332111,medium,mid,mid,elevated,-0.013824854207888312,-0.013824854207888312,-0.013824854207888312,-0.013824854207888312,-0.013824854207888312,-0.013824854207888312,-0.004755526056004193,True,True,True,1m,1,0.03940870673020537
