horizon,ou_regime,vol_regime,count,avg_ret,total_ret,hit_rate
1m,fast,low,57,0.0002857314109788573,0.016286690425794864,0.10526315789473684
1m,fast,mid,0,,0.0,
1m,fast,high,0,,0.0,
1m,medium,low,48,-0.004066763557624769,-0.19520465076598892,0.16666666666666666
1m,medium,mid,69,0.00048510958620622533,0.03347256144822955,0.14492753623188406
1m,medium,high,101,0.001530860406883092,0.1546169010951923,0.0594059405940594
1m,slow,low,48,0.001973825410762086,0.09474361971658013,0.08333333333333333
1m,slow,mid,89,-0.003032492474308577,-0.26989183021346336,0.14606741573033707
1m,slow,high,120,0.003751551037044757,0.45018612444537087,0.08333333333333333
3m,fast,low,57,0.0002857314109788573,0.016286690425794864,0.10526315789473684
3m,fast,mid,0,,0.0,
3m,fast,high,0,,0.0,
3m,medium,low,48,-0.004066763557624769,-0.19520465076598892,0.16666666666666666
3m,medium,mid,69,0.00048510958620622533,0.03347256144822955,0.14492753623188406
3m,medium,high,101,0.001530860406883092,0.1546169010951923,0.0594059405940594
3m,slow,low,48,0.001973825410762086,0.09474361971658013,0.08333333333333333
3m,slow,mid,89,-0.003032492474308577,-0.26989183021346336,0.14606741573033707
3m,slow,high,120,0.003751551037044757,0.45018612444537087,0.08333333333333333
6m,fast,low,57,0.0002857314109788573,0.016286690425794864,0.10526315789473684
6m,fast,mid,0,,0.0,
6m,fast,high,0,,0.0,
6m,medium,low,48,-0.004066763557624769,-0.19520465076598892,0.16666666666666666
6m,medium,mid,69,0.00048510958620622533,0.03347256144822955,0.14492753623188406
6m,medium,high,101,0.001530860406883092,0.1546169010951923,0.0594059405940594
6m,slow,low,19,-2.368421052631579e-05,-0.00045,0.0
6m,slow,mid,68,-0.001444712589382958,-0.09824045607804113,0.08823529411764706
6m,slow,high,120,0.003751551037044757,0.45018612444537087,0.08333333333333333
