t,time,close
1764676800000,2025-12-02 12:00:00,180.81
1764691200000,2025-12-02 16:00:00,187.3
1764705600000,2025-12-02 20:00:00,182.1
1764720000000,2025-12-03 00:00:00,186.2
1764734400000,2025-12-03 04:00:00,186.12
1764748800000,2025-12-03 08:00:00,186.2
1764763200000,2025-12-03 12:00:00,182.06
1764777600000,2025-12-03 16:00:00,186.48
1764792000000,2025-12-03 20:00:00,189.62
1764806400000,2025-12-04 00:00:00,189.33
1764820800000,2025-12-04 04:00:00,188.15
1764835200000,2025-12-04 08:00:00,187.76
1764849600000,2025-12-04 12:00:00,190.75
1764864000000,2025-12-04 16:00:00,185.43
1764878400000,2025-12-04 20:00:00,185.6
1764892800000,2025-12-05 00:00:00,186.63
1764907200000,2025-12-05 04:00:00,186.62
1764921600000,2025-12-05 08:00:00,185.07
1764936000000,2025-12-05 12:00:00,182.97
1764950400000,2025-12-05 16:00:00,180.53
1764964800000,2025-12-05 20:00:00,178.88
1764979200000,2025-12-06 00:00:00,179.03
1764993600000,2025-12-06 04:00:00,179.0
1765008000000,2025-12-06 08:00:00,179.0
1765022400000,2025-12-06 12:00:00,179.19
1765036800000,2025-12-06 16:00:00,179.39
1765051200000,2025-12-06 20:00:00,178.99
1765065600000,2025-12-07 00:00:00,179.38
1765080000000,2025-12-07 04:00:00,178.74
1765094400000,2025-12-07 08:00:00,178.65
1765108800000,2025-12-07 12:00:00,177.37
1765123200000,2025-12-07 16:00:00,179.85
1765137600000,2025-12-07 20:00:00,179.3
1765152000000,2025-12-08 00:00:00,181.57
1765166400000,2025-12-08 04:00:00,182.5
1765180800000,2025-12-08 08:00:00,183.46
1765195200000,2025-12-08 12:00:00,180.15
1765209600000,2025-12-08 16:00:00,182.72
1765224000000,2025-12-08 20:00:00,182.86
1765238400000,2025-12-09 00:00:00,182.22
1765252800000,2025-12-09 04:00:00,181.97
1765267200000,2025-12-09 08:00:00,181.51
1765281600000,2025-12-09 12:00:00,188.01
1765296000000,2025-12-09 16:00:00,194.4
1765310400000,2025-12-09 20:00:00,188.96
1765324800000,2025-12-10 00:00:00,189.16
1765339200000,2025-12-10 04:00:00,189.81
1765353600000,2025-12-10 08:00:00,188.79
1765368000000,2025-12-10 12:00:00,186.6
1765382400000,2025-12-10 16:00:00,185.19
1765396800000,2025-12-10 20:00:00,183.41
1765411200000,2025-12-11 00:00:00,179.67
1765425600000,2025-12-11 04:00:00,179.53
1765440000000,2025-12-11 08:00:00,180.48
