beta_window,z_entry,z_exit,z_window,vol_window,quantile_lookback,min_history,mode,oos_ratio,split_date,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd,full_return,full_sharpe,full_mdd,oos_active_ratio
90,1.75,1.0,30,40,252,84,low_only,0.8,2025-05-16,-0.15497863790550825,-0.2678296884641696,-0.2584239503522643,0.10387107129353268,0.8340401836422088,-0.11253030481391402,-0.06720536375883301,-0.012529209887504642,-0.2819608788248772,0.330188679245283
90,1.75,1.0,30,40,252,84,high_low_only,0.8,2025-05-16,-0.11191479699603202,0.06412625611346573,-0.44201931651006177,0.10387107129353268,0.8340401836422088,-0.11253030481391402,-0.019668435560075248,0.16275543051753033,-0.44201931651006177,0.330188679245283
90,1.75,1.0,30,40,252,126,low_only,0.8,2025-05-16,-0.15497863790550825,-0.2678296884641696,-0.2584239503522643,0.10387107129353268,0.8340401836422088,-0.11253030481391402,-0.06720536375883301,-0.012529209887504642,-0.2819608788248772,0.330188679245283
90,1.75,1.0,30,40,252,126,high_low_only,0.8,2025-05-16,-0.021156690383344334,0.1603411295730214,-0.4420193165100623,0.10387107129353268,0.8340401836422088,-0.11253030481391402,0.0805168128150453,0.2492346345025884,-0.4420193165100623,0.330188679245283
120,1.75,1.0,30,40,252,84,low_only,0.8,2025-05-16,-0.0985238555727137,-0.1655053577922939,-0.2659890357047803,0.10008402996810584,0.7989762773536495,-0.1183544183954065,-0.008300490118321124,0.08095023528402949,-0.28808984376893054,0.330188679245283
120,1.75,1.0,30,40,252,126,low_only,0.8,2025-05-16,-0.0985238555727137,-0.1655053577922939,-0.2659890357047803,0.10008402996810584,0.7989762773536495,-0.1183544183954065,-0.008300490118321124,0.08095023528402949,-0.28808984376893054,0.330188679245283
90,2.0,1.0,30,40,252,84,low_only,0.8,2025-05-16,-0.0456513345013958,-0.023463204921020466,-0.25022478626939804,0.0949072872744201,0.7784593240077451,-0.1125303048139138,0.04492330845503867,0.17540208926789655,-0.2905869519083383,0.30660377358490565
90,2.0,1.0,30,40,252,84,high_low_only,0.8,2025-05-16,-0.1068636648077812,0.05049463812711372,-0.4479077341072677,0.0949072872744201,0.7784593240077451,-0.1125303048139138,-0.022098518068471185,0.14896054655100405,-0.4479077341072677,0.30660377358490565
90,2.0,1.0,30,40,252,126,low_only,0.8,2025-05-16,-0.0456513345013958,-0.023463204921020466,-0.25022478626939804,0.0949072872744201,0.7784593240077451,-0.1125303048139138,0.04492330845503867,0.17540208926789655,-0.2905869519083383,0.30660377358490565
90,2.0,1.0,30,40,252,126,high_low_only,0.8,2025-05-16,-0.015589356380102393,0.15306449068968944,-0.4479077341072679,0.0949072872744201,0.7784593240077451,-0.1125303048139138,0.07783838736992732,0.24085558431403165,-0.4479077341072679,0.30660377358490565
120,2.0,1.0,30,40,252,84,low_only,0.8,2025-05-16,-0.059482313211579596,-0.08011722494226764,-0.27160843522477474,0.09474043310956004,0.7695490512623363,-0.11835441839540617,0.02962273978195684,0.14663573479990197,-0.3111885734605012,0.30660377358490565
120,2.0,1.0,30,40,252,126,low_only,0.8,2025-05-16,-0.059482313211579596,-0.08011722494226764,-0.27160843522477474,0.09474043310956004,0.7695490512623363,-0.11835441839540617,0.02962273978195684,0.14663573479990197,-0.3111885734605012,0.30660377358490565
60,1.75,1.0,30,40,252,84,low_only,0.8,2025-05-16,0.08199565995803715,0.2752572927757011,-0.18161461851477245,0.0845430405861809,0.6888959155502618,-0.11722623307385782,0.17347086295194036,0.37566273882741835,-0.18317409307093435,0.30660377358490565
60,1.75,1.0,30,40,252,84,high_low_only,0.8,2025-05-16,-0.006895677292198754,0.17586534531879242,-0.3962352786642833,0.0845430405861809,0.6888959155502618,-0.11722623307385782,0.07706438176879837,0.2458916932707523,-0.3962352786642833,0.30660377358490565
60,1.75,1.0,30,40,252,126,low_only,0.8,2025-05-16,0.08199565995803715,0.2752572927757011,-0.18161461851477245,0.0845430405861809,0.6888959155502618,-0.11722623307385782,0.17347086295194036,0.37566273882741835,-0.18317409307093435,0.30660377358490565
