fold,train_start,train_end,oos_start,oos_end,train_bars,oos_bars,beta_window,z_entry,z_exit,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd,ou_kappa_is,ou_half_life_is,ou_sigma_is,ou_candidates_in_fold
1,2022-01-04,2023-12-29,2024-01-02,2024-02-01,500,22,120,2.25,0.75,1.116369102573894,1.9419297891711487,-0.19906089137256944,-0.07383858434025647,-3.475238746041948,-0.12526367002755756,0.033737787327622094,20.545128636590988,0.03194857555371654,64
2,2022-01-04,2024-02-01,2024-02-02,2024-03-01,522,20,120,2.25,0.75,0.9600994040983781,1.6810100801993717,-0.19906089137256944,0.0,nan,0.0,0.029952326260372423,23.141681034537676,0.03139743031513406,64
3,2022-01-04,2024-03-01,2024-03-04,2024-04-03,542,22,120,2.25,0.75,0.9600994040983781,1.6495259815131365,-0.19906089137256944,-0.15871955638803847,-1.5083228886726592,-0.3597563303504201,0.015088634964110925,45.93836236403297,0.033611849991045925,64
4,2022-01-04,2024-04-03,2024-04-04,2024-05-03,564,22,120,2.25,0.75,0.6489932962034244,1.0159083540385747,-0.3597563303504203,0.0,nan,0.0,nan,nan,0.03900476229241095,0
5,2022-01-04,2024-05-03,2024-05-06,2024-06-05,586,22,120,2.25,0.75,0.6489932962034244,0.9966362150326552,-0.3597563303504203,0.04143617805783495,1.6678841345346225,-0.07841978904759017,0.006443839309991745,107.56742172095431,0.04036988799162228,0
6,2022-01-04,2024-06-05,2024-06-06,2024-07-05,608,20,120,2.25,0.75,0.7173212760410856,1.026185868599309,-0.3597563303504203,0.1124796211118455,4.72746648617758,-0.026488290412493343,0.0035064657162543365,197.67687370985516,0.04093847089186907,0
7,2022-01-04,2024-07-05,2024-07-08,2024-08-07,628,23,120,2.25,0.75,0.910484922497498,1.1562216036211574,-0.3597563303504203,0.0,nan,0.0,0.002424157261085686,285.93325675971676,0.04119110014216076,0
8,2022-01-04,2024-08-07,2024-08-08,2024-09-06,651,21,120,2.25,0.75,0.910484922497498,1.1355715433729228,-0.3597563303504203,0.0,nan,0.0,0.003034092682346817,228.45286981273367,0.042172198927660165,0
9,2022-01-04,2024-09-06,2024-09-09,2024-10-08,672,22,120,2.25,0.75,0.910484922497498,1.1176524863610597,-0.3597563303504203,-0.10523936894306585,-4.0580425173459265,-0.15859744258980335,0.004987060133436137,138.98913628746632,0.042654877550590824,0
10,2022-01-04,2024-10-08,2024-10-09,2024-11-08,694,23,120,2.25,0.75,0.7094266948786196,0.9301860082934842,-0.3597563303504203,0.06544042173955278,1.7174656646444932,-0.11142680944703809,0.002941104792073763,235.67578497303717,0.04314670499609973,0
11,2022-01-04,2024-11-08,2024-11-11,2024-12-10,717,21,120,2.25,0.75,0.8212922987243267,0.96741163892149,-0.3597563303504203,0.21474587850972338,4.159889084151128,-0.00044999999999995044,0.004043991331370804,171.4017473734265,0.044529857803331754,0
12,2022-01-04,2024-12-10,2024-12-11,2025-01-10,738,20,120,2.25,0.75,1.2124073134368758,1.143752320715298,-0.3597563303504203,0.0,nan,0.0,0.006506659741524087,106.52888088437003,0.04962118222069577,0
13,2022-01-04,2025-01-10,2025-01-13,2025-02-12,758,22,120,2.25,0.75,1.2124073134368758,1.1285291431872428,-0.3597563303504203,0.0,nan,0.0,0.013048194954379774,53.12207420132718,0.050206464573776914,64
14,2022-01-04,2025-02-12,2025-02-13,2025-03-12,780,19,120,2.25,0.75,1.2124073134368758,1.1124660678822509,-0.3597563303504203,0.0,nan,0.0,0.020473829890735748,33.85527691981016,0.04930395772670278,64
15,2022-01-04,2025-03-12,2025-03-13,2025-04-11,799,22,120,2.25,0.75,1.2124073134368758,1.0991318261711829,-0.3597563303504203,0.01619563676198066,0.8479112095285797,-0.11136780007312619,0.01857681809212572,37.3124814552474,0.04779210787765427,64
16,2022-01-04,2025-04-11,2025-04-14,2025-05-13,821,21,120,2.25,0.75,1.2482386586548495,1.0929841568233403,-0.3597563303504203,0.0,nan,0.0,0.012482916328783955,55.527663752871554,0.046297720248142736,64
17,2022-01-04,2025-05-13,2025-05-14,2025-06-13,842,22,120,2.25,0.75,1.2482386586548495,1.0792405578944857,-0.3597563303504203,0.021699644861854273,1.161887068904773,-0.07040982606026247,0.017900050923346997,38.72319601369821,0.045174095018450454,64
18,2022-01-04,2025-06-13,2025-06-16,2025-07-15,864,20,120,2.25,0.75,1.2970246391123514,1.081551880326745,-0.3597563303504203,0.0,nan,0.0,0.0205804685035975,33.67985429674655,0.04484149601430073,64
19,2022-01-04,2025-07-15,2025-07-16,2025-08-15,884,23,120,2.25,0.75,1.2970246391123514,1.0692223437939403,-0.3597563303504203,-0.12973620699823651,-4.448666528891711,-0.15123015279538743,0.022832850893916384,30.35745224196372,0.044232134640388505,64
20,2022-01-04,2025-08-15,2025-08-18,2025-09-17,907,22,120,2.25,0.75,0.999017375052422,0.9006424690953139,-0.3597563303504203,0.03125186855091866,2.193573921111674,-0.03129155966451247,0.035027550447004896,19.788628428603527,0.04268119678340438,64
21,2022-01-04,2025-09-17,2025-09-18,2025-10-17,929,22,120,2.25,0.75,1.061490403288563,0.9186487453753375,-0.3597563303504203,-0.004451573454533397,-0.28371801661874907,-0.02730901146769693,0.06040363217237954,11.47525662996301,0.04244322781346392,64
22,2022-01-04,2025-10-17,2025-10-20,2025-11-19,951,23,120,2.25,0.75,1.0523135273325086,0.9020263459187275,-0.3597563303504203,0.002482627722701247,0.2749054471597904,-0.06466589276102397,0.06184940499823754,11.207014531177741,0.04063785301144597,64
23,2022-01-04,2025-11-19,2025-11-20,2025-12-19,974,21,120,2.25,0.75,1.0574086577911386,0.8902862168407749,-0.3597563303504203,0.0,nan,0.0,0.016456837043438102,42.119100938434975,0.03914062996295616,64
24,2022-01-04,2025-12-19,2025-12-22,2026-01-21,995,20,120,2.25,0.75,1.0574086577911386,0.8808304828953164,-0.3597563303504203,0.04840120138915549,2.769006781870832,-0.03950179229981554,0.0031150307896173454,222.5169596622486,0.03419465345099024,0
25,2022-01-04,2026-01-21,2026-01-22,2026-02-20,1015,21,120,2.25,0.75,1.1569897085766794,0.9133365281340438,-0.3597563303504203,-0.13950365530822217,-4.487157618898789,-0.14671802153715108,0.0026031183221195547,266.27571043161777,0.032106583233381274,0
26,2022-01-04,2026-02-20,2026-02-23,2026-03-20,1036,20,120,2.25,0.75,0.8560817597680157,0.7554280828919726,-0.3597563303504203,-0.02593951191804278,-2.7461556307055823,-0.025689188992357503,0.005583975612656417,124.13148420435174,0.03241218704226302,0
