beta_window,z_entry,z_exit,rows_aligned,split_ratio,split_date,split_method,returns_corr,price_beta_static,full_return,full_sharpe,full_mdd,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd
40,1.5,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.4773789342039384,-0.04695415364638989,-0.6526684593424233,-0.19213940905715288,0.17629339661776333,-0.6526684593424233,-0.35308013331097676,-1.0750336699781697,-0.5605387030310365
40,1.5,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.31449640288365466,0.07286729386190761,-0.6767038958410192,-0.1956987816909359,0.1446860664007675,-0.6767038958410192,-0.14770289847686158,-0.45992366441621574,-0.4296315335348897
40,1.5,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.20295039029800055,0.38346209153510563,-0.49421534035392956,0.23803271716177576,0.4627825368101813,-0.49421534035392956,-0.02833715650439539,-0.19022784828373826,-0.32514163039901867
40,1.5,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.24664988627742068,0.4016555801444002,-0.45813927713248015,0.21762068616404417,0.44433903011428,-0.45813927713248015,0.023840922253734576,-0.06581196307837647,-0.3210397209050473
40,1.75,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.2944283527936826,0.1058296876383945,-0.5979891849483352,-0.004211929492220601,0.32079548561399285,-0.5979891849483352,-0.29144396473184475,-0.9069855218968175,-0.521984497826137
40,1.75,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.10784332438909361,0.21369554078864844,-0.6295697223517074,-0.10407140760586242,0.21457827117086858,-0.6295697223517074,-0.004210064077931341,-0.08757700870143166,-0.3381952757303496
40,1.75,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.041378046036607774,0.2740627359370856,-0.441240508925839,-0.01699791942313522,0.2485968693852972,-0.441240508925839,0.05938539359498041,0.01732815865212773,-0.2458209817327538
40,1.75,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.06023658481916705,0.280231047936023,-0.43943882745012286,0.01272858177348657,0.26872553662024934,-0.43943882745012286,0.04691089389664871,-0.04245602038854714,-0.21576503385347445
40,2.0,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.09819052386563043,0.340897254568971,-0.5630567995191512,0.24625822446233103,0.47770280444984403,-0.5630567995191512,-0.11880980818448028,-0.3978451881492761,-0.4329384905463004
40,2.0,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.2956625982186454,0.4315255396797994,-0.5630567995191512,0.11918800505818505,0.37586679147329727,-0.5630567995191512,0.15768091899026793,0.31725944394996647,-0.2606361106525421
40,2.0,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.3593423934482636,0.45712970420901505,-0.4074068693652245,0.20714153405978641,0.429392047102065,-0.4074068693652245,0.1260836903495508,0.20825509301636327,-0.2500163734857245
40,2.0,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.3359145334566256,0.44383380159003083,-0.42155936076787937,0.30755982710694796,0.5055622423813919,-0.42155936076787937,0.021685207637813564,0.24275916946158366,-0.2148764874676785
40,2.25,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.1942931527748455,0.37484189061280015,-0.5313353632879172,0.7637603668772197,0.7661345872065574,-0.5313353632879172,-0.3228710797661415,-1.0647746660317685,-0.3988950453156843
40,2.25,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.6529825383433912,0.6004205319147707,-0.5313353632879172,0.9992113984388771,0.9039450470974865,-0.5313353632879172,-0.17318271612789238,-0.514039179025033,-0.24229648071129994
40,2.25,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.7866589142297198,0.6871151551636681,-0.3456402211390548,1.212972060575943,1.0667844514549893,-0.3456402211390548,-0.1926428055468864,-0.7775061096352682,-0.24359292882299788
40,2.25,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.6543411253281959,0.6264282753914067,-0.345640221139055,0.9107551580236168,0.9152632584573493,-0.345640221139055,-0.1341951278365986,-0.5234898746323016,-0.19519874537119908
60,1.5,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.45429601625706373,-0.028142978781926186,-0.6370989417198616,-0.1562835021523744,0.20367079626996692,-0.6370989417198616,-0.35321404152335345,-1.0827349337150665,-0.533470976769586
60,1.5,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.38006868255663906,0.006713496713929262,-0.6547799391314313,-0.2592181660176579,0.0744290562191971,-0.6547799391314313,-0.16313914704050536,-0.5233238479968189,-0.4095812065772141
60,1.5,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.03676104809943581,0.2856352871830974,-0.49439127880099254,0.07633260318303292,0.3425787536090309,-0.49439127880099254,-0.03676517367082699,-0.22754662646876342,-0.3059827839498508
60,1.5,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.045489280390759834,0.28331276361611235,-0.47958244221925594,0.039750774592129945,0.30591643629265625,-0.47958244221925594,0.005519116637235255,-0.13302803611355618,-0.32029784641956105
60,1.75,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.22556639772276743,0.15495497407883022,-0.5645272381560877,0.056309616887405545,0.36133076996025687,-0.5645272381560877,-0.26684980436017247,-0.8147184248427244,-0.4959856778015277
60,1.75,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.1233048236413139,0.19802739534574437,-0.5911603650055535,-0.13497242980898927,0.17984721739078652,-0.5911603650055535,0.013488132135602626,-0.04397332194060705,-0.3185132338111132
60,1.75,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.00697020719853092,0.2513111595875929,-0.44511348767615977,-0.07566512041237217,0.19395518818860166,-0.44511348767615977,0.08939977213428252,0.10519657965152851,-0.22387048646434504
60,1.75,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.009666882564803081,0.23218798261633208,-0.4484659455804113,-0.056047111662287596,0.20427968491090476,-0.4484659455804113,0.04913405072488275,-0.03694260463664723,-0.2120624081262361
60,2.0,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.2043716098524908,0.39710266787500254,-0.5578308214750273,0.3340502870870703,0.5317377121395924,-0.5578308214750273,-0.09720673837396043,-0.326301246194791,-0.41751380361093315
60,2.0,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.2613716317649988,0.4142400436610503,-0.5578308214750274,0.08080892202713863,0.3458274750527037,-0.5578308214750274,0.16706256402769237,0.338539880839022,-0.24530945346398847
